unit_code,ACTCompositeScore_UNCMin_All,ACTEnglish_ACTBenchmark_All,ACTMath_ACTBenchmark_All,ACTReading_ACTBenchmark_All,ACTScience_ACTBenchmark_All,ACTSubtests_BenchmarksMet_All,ACTWorkKeys_SilverPlus_All,ACTWriting_ACTBenchmark_All,EOCBiology_CACR_All,EOCBiology_GLP_All,EOCEnglish2_CACR_All,EOCEnglish2_GLP_All,EOCMathI_CACR_All,EOCMathI_GLP_All,EOCSubjects_CACR_All,EOCSubjects_GLP_All,EOG/EOCSubjects_CACR_All,EOG/EOCSubjects_GLP_All,EOGGr3_CACR_All,EOGGr3_GLP_All,EOGGr4_CACR_All,EOGGr4_GLP_All,EOGGr5_CACR_All,EOGGr5_GLP_All,EOGGr6_CACR_All,EOGGr6_GLP_All,EOGGr7_CACR_All,EOGGr7_GLP_All,EOGGr8_CACR_All,EOGGr8_GLP_All,EOGMathGr3_CACR_All,EOGMathGr3_GLP_All,EOGMathGr3-8_CACR_All,EOGMathGr3-8_GLP_All,EOGMathGr4_CACR_All,EOGMathGr4_GLP_All,EOGMathGr5_CACR_All,EOGMathGr5_GLP_All,EOGMathGr6_CACR_All,EOGMathGr6_GLP_All,EOGMathGr7_CACR_All,EOGMathGr7_GLP_All,EOGMathGr8_CACR_All,EOGMathGr8_GLP_All,EOGReadingGr3_CACR_All,EOGReadingGr3_GLP_All,EOGReadingGr3-8_CACR_All,EOGReadingGr3-8_GLP_All,EOGReadingGr4_CACR_All,EOGReadingGr4_GLP_All,EOGReadingGr5_CACR_All,EOGReadingGr5_GLP_All,EOGReadingGr6_CACR_All,EOGReadingGr6_GLP_All,EOGReadingGr7_CACR_All,EOGReadingGr7_GLP_All,EOGReadingGr8_CACR_All,EOGReadingGr8_GLP_All,EOGScienceGr5_CACR_All,EOGScienceGr5_GLP_All,EOGScienceGr5&8_CACR_All,EOGScienceGr5&8_GLP_All,EOGScienceGr8_CACR_All,EOGScienceGr8_GLP_All,EOGSubjects_CACR_All,EOGSubjects_GLP_All,GraduationRate_4yr_All,GraduationRate_5yr_All
010,51.2,34.7,27.3,21.5,15.6,26.3,74.0,32.4,39.6,48.5,41.6,51.0,44.8,58.0,42.3,53.0,39.4,49.3,41.2,54.0,40.0,49.4,40.5,51.0,38.3,47.3,36.2,44.3,36.2,45.4,39.9,53.1,36.1,44.2,39.5,47.6,44.2,50.0,36.3,42.3,32.7,40.0,25.3,33.7,42.6,54.9,37.9,49.2,40.4,51.2,32.8,46.2,40.2,52.3,39.8,48.6,32.2,42.5,44.6,56.7,48.1,58.3,51.3,59.9,38.6,48.4,79.0,81.2
010303,61.0,39.0,24.4,26.8,9.8,26.8,57.1,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0
010304,,,,,,,,,,,,,,,,,51.4,62.6,40.8,55.4,51.3,60.0,58.4,68.8,,,,,,,38.0,52.2,49.8,59.6,50.0,57.5,61.3,68.8,,,,,,,43.5,58.7,49.4,61.9,52.5,62.5,52.7,64.5,,,,,,,61.3,73.1,61.3,73.1,,,51.4,62.6,,
010308,,,,,,,,,,,,,,,,,54.2,65.0,55.5,67.0,66.3,75.3,45.9,57.2,,,,,,,64.0,72.0,57.7,65.0,62.9,69.7,46.4,53.6,,,,,,,47.0,62.0,50.0,65.0,69.7,80.9,35.1,53.6,,,,,,,56.3,64.6,56.3,64.6,,,54.2,65.0,,
010310,,,,,,,,,,,,,73.1,100.0,73.1,100.0,23.2,30.8,,,,,,,21.2,29.3,23.0,29.0,23.1,30.9,,,16.7,22.3,,,,,17.8,23.6,16.6,21.1,15.6,22.2,,,24.9,33.8,,,,,24.6,35.1,29.3,36.8,20.5,29.1,,,33.2,41.4,33.2,41.4,22.5,29.9,,
010312,,,,,,,,,,,,,,,,,58.6,71.1,55.6,71.4,64.7,74.0,56.5,69.1,,,,,,,49.0,64.3,57.8,67.9,67.6,73.5,56.5,65.7,,,,,,,62.2,78.6,57.5,72.7,61.8,74.5,49.1,65.7,,,,,,,63.9,75.9,63.9,75.9,,,58.6,71.1,,
010320,,,,,,,,,,,,,,,,,54.4,65.4,51.2,61.6,49.1,59.1,59.3,71.2,,,,,,,44.2,55.8,51.0,58.0,40.0,49.1,66.1,67.8,,,,,,,58.1,67.4,54.1,68.2,58.2,69.1,47.5,67.8,,,,,,,64.4,78.0,64.4,78.0,,,54.4,65.4,,
010324,57.5,38.7,36.8,21.5,17.6,30.9,85.7,40.4,53.6,61.7,43.0,52.4,43.0,57.3,46.3,57.1,46.3,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.9,87.1
010326,,,,,,,,,,,,,,,,,15.1,22.6,18.2,32.4,10.2,13.3,16.7,23.0,,,,,,,16.2,35.1,16.0,24.2,7.2,10.8,25.7,28.4,,,,,,,20.3,29.7,13.9,21.6,13.3,15.7,8.1,20.3,,,,,,,16.2,20.3,16.2,20.3,,,15.1,22.6,,
010328,,,,,,,,,,,,,,,,,51.2,63.2,57.0,69.6,52.4,63.1,45.6,58.2,,,,,,,59.1,71.3,54.0,65.2,53.4,66.0,48.4,56.8,,,,,,,54.8,67.8,48.6,60.7,51.5,60.2,37.9,52.6,,,,,,,50.5,65.3,50.5,65.3,,,51.2,63.2,,
