unit_code,ACTCompositeScore_UNCMin_LEP,ACTEnglish_ACTBenchmark_LEP,ACTMath_ACTBenchmark_LEP,ACTReading_ACTBenchmark_LEP,ACTScience_ACTBenchmark_LEP,ACTSubtests_BenchmarksMet_LEP,ACTWorkKeys_SilverPlus_LEP,ACTWriting_ACTBenchmark_LEP,EOCBiology_CACR_LEP,EOCBiology_GLP_LEP,EOCEnglish2_CACR_LEP,EOCEnglish2_GLP_LEP,EOCMathI_CACR_LEP,EOCMathI_GLP_LEP,EOCSubjects_CACR_LEP,EOCSubjects_GLP_LEP,EOG/EOCSubjects_CACR_LEP,EOG/EOCSubjects_GLP_LEP,EOGGr3_CACR_LEP,EOGGr3_GLP_LEP,EOGGr4_CACR_LEP,EOGGr4_GLP_LEP,EOGGr5_CACR_LEP,EOGGr5_GLP_LEP,EOGGr6_CACR_LEP,EOGGr6_GLP_LEP,EOGGr7_CACR_LEP,EOGGr7_GLP_LEP,EOGGr8_CACR_LEP,EOGGr8_GLP_LEP,EOGMathGr3_CACR_LEP,EOGMathGr3_GLP_LEP,EOGMathGr3-8_CACR_LEP,EOGMathGr3-8_GLP_LEP,EOGMathGr4_CACR_LEP,EOGMathGr4_GLP_LEP,EOGMathGr5_CACR_LEP,EOGMathGr5_GLP_LEP,EOGMathGr6_CACR_LEP,EOGMathGr6_GLP_LEP,EOGMathGr7_CACR_LEP,EOGMathGr7_GLP_LEP,EOGMathGr8_CACR_LEP,EOGMathGr8_GLP_LEP,EOGReadingGr3_CACR_LEP,EOGReadingGr3_GLP_LEP,EOGReadingGr3-8_CACR_LEP,EOGReadingGr3-8_GLP_LEP,EOGReadingGr4_CACR_LEP,EOGReadingGr4_GLP_LEP,EOGReadingGr5_CACR_LEP,EOGReadingGr5_GLP_LEP,EOGReadingGr6_CACR_LEP,EOGReadingGr6_GLP_LEP,EOGReadingGr7_CACR_LEP,EOGReadingGr7_GLP_LEP,EOGReadingGr8_CACR_LEP,EOGReadingGr8_GLP_LEP,EOGScienceGr5_CACR_LEP,EOGScienceGr5_GLP_LEP,EOGScienceGr5&8_CACR_LEP,EOGScienceGr5&8_GLP_LEP,EOGScienceGr8_CACR_LEP,EOGScienceGr8_GLP_LEP,EOGSubjects_CACR_LEP,EOGSubjects_GLP_LEP,GraduationRate_4yr_LEP,GraduationRate_5yr_LEP
010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.3,9.3,0.0,6.5,16.8,24.0,9.1,14.3,9.4,16.2,20.0,34.7,0.0,8.3,0.0,9.7,0.0,0.0,0.0,5.7,7.2,11.2,19.3,34.9,9.4,17.2,7.4,11.6,6.3,11.5,0.0,0.0,0.0,0.0,0.0,7.2,20.7,34.6,9.1,15.8,0.0,5.0,0.0,0.0,0.0,0.0,6.7,6.7,0.0,8.6,5.2,13.5,10.6,16.2,14.4,18.0,9.4,16.4,36.2,45.5
010303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
010304,,,,,,,,,,,,,,,,,9.8,22.0,9.4,25.0,0.0,0.0,11.1,11.1,,,,,,,6.3,25.0,10.5,26.3,0.0,0.0,0.0,0.0,,,,,,,12.5,25.0,10.5,21.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,9.8,22.0,,
010308,,,,,,,,,,,,,,,,,32.1,46.4,50.0,62.5,0.0,0.0,8.3,25.0,,,,,,,62.5,75.0,41.7,50.0,0.0,0.0,0.0,0.0,,,,,,,37.5,50.0,25.0,41.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,32.1,46.4,,
010310,,,,,,,,,,,,,0.0,0.0,0.0,0.0,5.2,7.4,,,,,,,0.0,0.0,0.0,0.0,8.1,11.8,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,5.7,9.4,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,7.4,,,14.8,18.5,14.8,18.5,5.2,7.4,,
010312,,,,,,,,,,,,,,,,,17.9,39.3,28.6,35.7,0.0,0.0,8.3,50.0,,,,,,,14.3,14.3,8.3,25.0,0.0,0.0,0.0,0.0,,,,,,,42.9,57.1,25.0,41.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,17.9,39.3,,
010320,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
010324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,8.3,16.7,33.3,38.9,22.5,27.5,22.5,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
010326,,,,,,,,,,,,,,,,,9.3,16.4,18.2,31.8,0.0,0.0,0.0,0.0,,,,,,,15.2,33.3,9.2,20.0,0.0,0.0,10.0,10.0,,,,,,,21.2,30.3,10.8,15.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,9.3,16.4,,
010328,,,,,,,,,,,,,,,,,37.5,37.5,50.0,50.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,37.5,37.5,,
010340,,,,,,,,,,,,,,,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,5.0,,
010346,,,,,,,,,,,,,,,,,11.4,25.7,25.0,41.7,0.0,0.0,6.7,26.7,,,,,,,33.3,50.0,20.0,26.7,0.0,0.0,20.0,20.0,,,,,,,16.7,33.3,6.7,26.7,0.0,0.0,0.0,40.0,,,,,,,0.0,20.0,0.0,20.0,,,11.4,25.7,,
010347,,,,,,,,,,,,,,,,,19.0,32.8,32.1,53.6,8.3,16.7,5.6,11.1,,,,,,,35.7,57.1,23.1,42.3,16.7,33.3,0.0,16.7,,,,,,,28.6,50.0,15.4,26.9,0.0,0.0,0.0,0.0,,,,,,,16.7,16.7,16.7,16.7,,,19.0,32.8,,
010348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4,42.9
010350,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.3,,,,,,,6.3,9.4,0.0,0.0,6.7,8.0,,,0.0,0.0,,,,,6.3,6.3,0.0,0.0,0.0,0.0,,,0.0,5.6,,,,,6.3,12.5,0.0,0.0,0.0,8.0,,,12.0,12.0,12.0,12.0,0.0,5.3,,
010351,,,,,,,,,,,,,,,,,6.7,11.1,9.1,13.6,7.1,14.3,0.0,0.0,,,,,,,0.0,0.0,0.0,9.5,14.3,28.6,0.0,0.0,,,,,,,18.2,27.3,9.5,14.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,6.7,11.1,,
010353,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,0.0,0.0,0.0,0.0,0.0,16.7,,,0.0,10.7,,,,,0.0,0.0,0.0,0.0,0.0,21.4,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,7.1,,,14.3,21.4,14.3,21.4,0.0,10.0,,
010354,,,,,,,,,,,,,,,,,9.1,18.9,13.8,30.0,13.2,18.4,0.0,0.0,,,,,,,12.5,30.0,11.5,21.8,21.1,26.3,0.0,0.0,,,,,,,15.0,30.0,9.0,17.9,5.3,10.5,0.0,0.0,,,,,,,0.0,10.5,0.0,10.5,,,9.1,18.9,,
010357,,,,,,,,,,,,,,,,,11.9,16.1,23.1,30.8,5.6,5.6,0.0,0.0,,,,,,,23.1,30.8,14.8,18.5,11.1,11.1,0.0,0.0,,,,,,,23.1,30.8,11.1,14.8,0.0,0.0,0.0,0.0,,,,,,,0.0,10.0,0.0,10.0,,,11.9,16.1,,
010358,,,,,,,,,,,,,,,,,10.0,36.7,11.5,42.3,0.0,0.0,0.0,0.0,,,,,,,7.7,46.2,6.7,40.0,0.0,0.0,0.0,0.0,,,,,,,15.4,38.5,13.3,33.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,10.0,36.7,,
010360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,5.9,0.0,5.1,16.7,30.6,7.6,15.2,7.6,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,30.0
010362,,,,,,,,,,,,,,,,,24.1,41.4,27.8,50.0,12.5,25.0,0.0,0.0,,,,,,,22.2,66.7,21.4,50.0,0.0,0.0,0.0,0.0,,,,,,,33.3,33.3,21.4,28.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,24.1,41.4,,
