unit_code,ACTCompositeScore_UNCMin_White,ACTEnglish_ACTBenchmark_White,ACTMath_ACTBenchmark_White,ACTReading_ACTBenchmark_White,ACTScience_ACTBenchmark_White,ACTSubtests_BenchmarksMet_White,ACTWorkKeys_SilverPlus_White,ACTWriting_ACTBenchmark_White,EOCBiology_CACR_White,EOCBiology_GLP_White,EOCEnglish2_CACR_White,EOCEnglish2_GLP_White,EOCMathI_CACR_White,EOCMathI_GLP_White,EOCSubjects_CACR_White,EOCSubjects_GLP_White,EOG/EOCSubjects_CACR_White,EOG/EOCSubjects_GLP_White,EOGGr3_CACR_White,EOGGr3_GLP_White,EOGGr4_CACR_White,EOGGr4_GLP_White,EOGGr5_CACR_White,EOGGr5_GLP_White,EOGGr6_CACR_White,EOGGr6_GLP_White,EOGGr7_CACR_White,EOGGr7_GLP_White,EOGGr8_CACR_White,EOGGr8_GLP_White,EOGMathGr3_CACR_White,EOGMathGr3_GLP_White,EOGMathGr3-8_CACR_White,EOGMathGr3-8_GLP_White,EOGMathGr4_CACR_White,EOGMathGr4_GLP_White,EOGMathGr5_CACR_White,EOGMathGr5_GLP_White,EOGMathGr6_CACR_White,EOGMathGr6_GLP_White,EOGMathGr7_CACR_White,EOGMathGr7_GLP_White,EOGMathGr8_CACR_White,EOGMathGr8_GLP_White,EOGReadingGr3_CACR_White,EOGReadingGr3_GLP_White,EOGReadingGr3-8_CACR_White,EOGReadingGr3-8_GLP_White,EOGReadingGr4_CACR_White,EOGReadingGr4_GLP_White,EOGReadingGr5_CACR_White,EOGReadingGr5_GLP_White,EOGReadingGr6_CACR_White,EOGReadingGr6_GLP_White,EOGReadingGr7_CACR_White,EOGReadingGr7_GLP_White,EOGReadingGr8_CACR_White,EOGReadingGr8_GLP_White,EOGScienceGr5_CACR_White,EOGScienceGr5_GLP_White,EOGScienceGr5&8_CACR_White,EOGScienceGr5&8_GLP_White,EOGScienceGr8_CACR_White,EOGScienceGr8_GLP_White,EOGSubjects_CACR_White,EOGSubjects_GLP_White,GraduationRate_4yr_White,GraduationRate_5yr_White
010,66.6,49.1,36.9,31.3,23.1,35.8,77.7,38.6,50.9,59.8,51.8,61.3,52.8,66.3,52.0,62.9,51.2,61.5,54.4,67.2,55.4,65.6,54.9,65.4,50.3,59.7,46.3,55.0,46.4,56.3,52.7,66.1,47.4,56.2,54.0,63.2,56.9,63.0,47.2,53.8,42.8,51.2,33.4,42.7,56.0,68.3,50.4,62.2,56.7,68.0,46.7,61.4,53.3,65.5,49.8,58.7,41.9,53.2,61.2,71.9,62.7,72.4,64.1,72.9,51.0,61.2,82.5,85.1
010303,71.4,46.4,28.6,35.7,14.3,31.4,0.0,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0
010304,,,,,,,,,,,,,,,,,60.4,69.1,47.2,61.3,56.6,63.9,70.4,76.9,,,,,,,43.4,56.6,57.4,65.3,55.7,62.3,71.0,75.8,,,,,,,50.9,66.0,58.5,67.6,57.4,65.6,66.1,71.0,,,,,,,74.2,83.9,74.2,83.9,,,60.4,69.1,,
010308,,,,,,,,,,,,,,,,,61.8,72.6,61.5,73.1,69.7,77.6,56.6,68.8,,,,,,,70.5,79.5,64.5,72.4,65.8,71.1,56.8,66.2,,,,,,,52.6,66.7,56.6,71.9,73.7,84.2,43.2,64.9,,,,,,,69.9,75.3,69.9,75.3,,,61.8,72.6,,
010310,,,,,,,,,,,,,0.0,0.0,0.0,0.0,23.4,33.3,,,,,,,19.4,25.0,18.7,28.0,29.8,42.1,,,12.2,18.9,,,,,11.1,16.7,10.8,16.2,15.8,26.3,,,28.0,40.0,,,,,27.8,33.3,26.3,39.5,31.6,47.4,,,42.1,52.6,42.1,52.6,22.6,32.1,,
010312,,,,,,,,,,,,,,,,,64.8,76.1,58.1,75.0,68.3,77.5,66.7,75.8,,,,,,,52.9,69.1,64.2,73.6,71.8,78.9,67.1,72.6,,,,,,,63.2,80.9,62.3,76.4,64.8,76.1,58.9,72.6,,,,,,,74.0,82.2,74.0,82.2,,,64.8,76.1,,
010320,,,,,,,,,,,,,,,,,60.1,71.5,59.1,68.2,52.8,65.3,64.0,76.0,,,,,,,51.5,60.6,55.5,63.0,41.7,55.6,68.0,70.0,,,,,,,66.7,75.8,59.7,74.8,63.9,75.0,52.0,74.0,,,,,,,72.0,84.0,72.0,84.0,,,60.1,71.5,,
010324,70.3,49.7,47.3,28.5,23.0,39.5,89.5,49.1,66.5,73.0,50.0,60.6,48.7,64.0,54.7,65.7,54.7,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7,88.1
010326,,,,,,,,,,,,,,,,,25.7,34.3,0.0,12.5,41.7,41.7,26.7,40.0,,,,,,,0.0,0.0,20.0,20.0,33.3,33.3,20.0,20.0,,,,,,,0.0,0.0,26.7,46.7,50.0,50.0,20.0,60.0,,,,,,,40.0,40.0,40.0,40.0,,,25.7,34.3,,
010328,,,,,,,,,,,,,,,,,51.9,64.0,58.0,70.5,52.7,63.6,46.7,59.4,,,,,,,59.0,72.0,54.5,65.2,53.3,65.2,50.6,57.5,,,,,,,57.0,69.0,49.8,62.4,52.2,62.0,39.1,55.2,,,,,,,50.6,65.5,50.6,65.5,,,51.9,64.0,,
010340,,,,,,,,,,,,,,,,,56.8,68.5,47.2,61.3,46.0,56.9,69.9,80.9,,,,,,,45.1,59.2,54.6,64.2,41.4,51.7,76.8,81.7,,,,,,,49.3,63.4,52.1,66.7,50.6,62.1,56.1,74.4,,,,,,,76.8,86.6,76.8,86.6,,,56.8,68.5,,
010346,,,,,,,,,,,,,,,,,41.9,50.8,47.9,57.3,44.7,55.3,34.2,41.4,,,,,,,43.8,54.2,40.9,49.2,42.6,53.2,35.1,37.8,,,,,,,52.1,60.4,45.5,55.3,46.8,57.4,35.1,45.9,,,,,,,32.4,40.5,32.4,40.5,,,41.9,50.8,,
010347,,,,,,,,,,,,,,,,,55.7,66.4,62.5,71.1,59.2,74.2,50.8,60.5,,,,,,,59.4,71.9,58.1,68.6,66.7,78.3,51.2,59.3,,,,,,,65.6,70.3,51.9,63.3,51.7,70.0,41.9,53.5,,,,,,,59.3,68.6,59.3,68.6,,,55.7,66.4,,
010348,44.2,30.8,25.0,23.1,11.5,22.0,75.0,19.6,38.0,46.0,43.3,56.7,32.8,44.8,38.1,49.4,38.1,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.1,75.5
010350,,,,,,,,,,,,,83.3,100.0,83.3,100.0,35.1,44.2,,,,,,,32.8,38.8,34.3,44.1,33.6,44.1,,,26.8,32.5,,,,,27.6,31.0,29.4,39.2,22.9,27.1,,,34.4,45.2,,,,,37.9,46.6,39.2,49.0,25.0,39.6,,,53.2,66.0,53.2,66.0,33.5,42.4,,
010351,,,,,,,,,,,,,,,,,43.8,54.9,27.5,45.0,47.7,54.5,50.7,60.9,,,,,,,20.0,35.0,40.0,52.3,40.9,54.5,56.5,65.2,,,,,,,35.0,55.0,43.1,53.8,54.5,54.5,39.1,52.2,,,,,,,56.5,65.2,56.5,65.2,,,43.8,54.9,,
010353,,,,,,,,,,,,,88.1,100.0,88.1,100.0,52.2,60.7,,,,,,,48.3,58.8,47.0,54.4,54.4,62.3,,,39.8,48.3,,,,,41.2,48.6,41.5,49.6,36.8,46.7,,,51.0,61.1,,,,,55.4,68.9,52.6,59.3,45.4,55.3,,,80.9,84.9,80.9,84.9,50.7,59.2,,
010354,,,,,,,,,,,,,,,,,23.8,36.6,28.3,45.7,40.0,40.0,15.6,26.7,,,,,,,26.1,43.5,20.9,34.9,20.0,20.0,13.3,26.7,,,,,,,30.4,47.8,30.2,41.9,60.0,60.0,20.0,26.7,,,,,,,13.3,26.7,13.3,26.7,,,23.8,36.6,,
010357,,,,,,,,,,,,,,,,,29.8,44.7,36.1,50.0,28.6,42.9,23.3,40.0,,,,,,,33.3,50.0,28.6,40.5,35.7,42.9,10.0,20.0,,,,,,,38.9,50.0,33.3,47.6,21.4,42.9,40.0,50.0,,,,,,,20.0,50.0,20.0,50.0,,,29.8,44.7,,
010358,,,,,,,,,,,,,,,,,44.2,56.5,44.4,55.6,51.9,61.5,37.9,53.0,,,,,,,38.9,55.6,39.4,48.5,46.2,53.8,31.8,36.4,,,,,,,50.0,55.6,48.5,59.1,57.7,69.2,36.4,50.0,,,,,,,45.5,72.7,45.5,72.7,,,44.2,56.5,,
010360,43.8,25.0,25.0,25.0,25.0,23.8,100.0,18.8,70.0,70.0,25.0,33.3,46.7,46.7,45.9,48.6,45.9,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.8,55.0
010362,,,,,,,,,,,,,,,,,75.0,85.7,83.7,93.5,70.5,84.6,70.6,79.4,,,,,,,87.0,91.3,73.1,82.4,64.1,84.6,64.7,67.6,,,,,,,80.4,100.0,72.3,86.6,76.9,84.6,55.9,76.5,,,,,,,91.2,94.1,91.2,94.1,,,75.0,85.7,,
010364,,,,,,,,,,,,,,,,,28.7,40.7,34.6,50.0,50.0,54.5,18.3,31.7,,,,,,,38.5,53.8,34.1,43.2,45.5,45.5,25.0,35.0,,,,,,,30.8,46.2,27.3,43.2,54.5,63.6,10.0,30.0,,,,,,,20.0,30.0,20.0,30.0,,,28.7,40.7,,
