closed_ind,title1_type_cd,student_num,lea_avg_student_num,Grad_project_status,Biology_Size,English II_Size,Math I_Size,lea_total_expense_num,lea_salary_expense_pct,lea_benefits_expense_pct,lea_services_expense_pct,lea_supplies_expense_pct,lea_instruct_equip_exp_pct,lea_federal_perpupil_num,lea_local_perpupil_num,lea_state_perpupil_num,SBE Region,SPG Score,Reading  SPG Score,Math SPG Score,EVAAS Growth Score,Overall Achievement Score,Read Score,Math Score,Science Score,Math I Score,English II Score,Biology Score,The ACT Score,ACT WorkKeys Score,Math Course Rigor Score,Cohort Graduation Rate Standard Score,ACT_pTarget_PctMet,ACTWorkKeys_pTarget_PctMet,CurrentYearEOC_pTarget_PctMet,MathGr10_pTarget_PctMet,MathGr3-8_pTarget_PctMet,ReadingGr10_pTarget_PctMet,ReadingGr3-8_pTarget_PctMet,SciGr11_pTarget_PctMet,SciGr5&8_pTarget_PctMet,TotalTargets_pTarget_PctMet,sat_avg_score_num,lea_sat_avg_score_num,sat_participation_pct,lea_sat_participation_pct,ap_participation_pct,lea_ap_participation_pct,ap_pct_3_or_above,lea_ap_pct_3_or_above,ib_participation_pct,ib_pct_4_or_above,lea_ib_pct_4_or_above,total_specialized_courses,ap_ib_courses,cte_courses,univ_college_courses,lea_total_specialized_courses,lea_ap_ib_courses,lea_cte_courses,lea_univ_college_courses,AM7_American Indian_ENROLL_sch_pct,AM7_American Indian_NOENROLL_sch_pct,AS7_Asian_ENROLL_sch_pct,AS7_Asian_NOENROLL_sch_pct,All_All Student (Total or subtotal)_ENROLL_sch_pct,All_All Student (Total or subtotal)_NOENROLL_sch_pct,BL7_Black_ENROLL_sch_pct,BL7_Black_NOENROLL_sch_pct,ECODIS_Economically Disadvantaged_ENROLL_sch_pct,ECODIS_Economically Disadvantaged_NOENROLL_sch_pct,F_Female_ENROLL_sch_pct,F_Female_NOENROLL_sch_pct,HI7_Hispanic_ENROLL_sch_pct,HI7_Hispanic_NOENROLL_sch_pct,LEP_Limited English Proficiency_ENROLL_sch_pct,LEP_Limited English Proficiency_NOENROLL_sch_pct,M_Male_ENROLL_sch_pct,M_Male_NOENROLL_sch_pct,MU7_Multiracial_ENROLL_sch_pct,MU7_Multiracial_NOENROLL_sch_pct,PI7_Pacific Islander_ENROLL_sch_pct,PI7_Pacific Islander_NOENROLL_sch_pct,WDIS_Students with Disabilities_ENROLL_sch_pct,WDIS_Students with Disabilities_NOENROLL_sch_pct,WH7_White_ENROLL_sch_pct,WH7_White_NOENROLL_sch_pct,avg_daily_attend_pct,crime_per_c_num,short_susp_per_c_num,long_susp_per_c_num,expelled_per_c_num,stud_internet_comp_num,lea_avg_daily_attend_pct,lea_crime_per_c_num,lea_short_susp_per_c_num,lea_long_susp_per_c_num,lea_expelled_per_c_num,lea_stud_internet_comp_num,flicensed_teach_pct,tchyrs_0thru3_pct,tchyrs_4thru10_pct,tchyrs_11plus_pct,class_teach_num,nbpts_num,advance_dgr_pct,_1yr_tchr_trnovr_pct,emer_prov_teach_pct,lateral_teach_pct,lea_flicensed_teach_pct,lea_tchyrs_0thru3_pct,lea_tchyrs_4thru10_pct,lea_tchyrs_11plus_pct,lea_class_teach_num,lea_nbpts_num,lea_advance_dgr_pct,lea_1yr_tchr_trnovr_pct,lea_emer_prov_teach_pct,lea_lateral_teach_pct,0-3 Years_Exp_Pct_Tch,10+ Years_Exp_Pct_Tch,4-10 Years_Exp_Pct_Tch,0-3 Years_LEA_Exp_Pct_Prin,10+ Years_LEA_Exp_Pct_Prin,4-10 Years_LEA_Exp_Pct_Prin,Accomplished_TCHR_Standard 1_Pct,Accomplished_TCHR_Standard 2_Pct,Accomplished_TCHR_Standard 3_Pct,Accomplished_TCHR_Standard 4_Pct,Accomplished_TCHR_Standard 5_Pct,Developing_TCHR_Standard 1_Pct,Developing_TCHR_Standard 2_Pct,Developing_TCHR_Standard 3_Pct,Developing_TCHR_Standard 4_Pct,Developing_TCHR_Standard 5_Pct,Distinguished_TCHR_Standard 1_Pct,Distinguished_TCHR_Standard 2_Pct,Distinguished_TCHR_Standard 3_Pct,Distinguished_TCHR_Standard 4_Pct,Distinguished_TCHR_Standard 5_Pct,Does Not Meet Expected Growth_TCHR_Standard 6_Pct,Exceeds Expected Growth_TCHR_Standard 6_Pct,Meets Expected Growth_TCHR_Standard 6_Pct,Not Demostrated_TCHR_Standard 1_Pct,Not Demostrated_TCHR_Standard 2_Pct,Not Demostrated_TCHR_Standard 3_Pct,Not Demostrated_TCHR_Standard 4_Pct,Not Demostrated_TCHR_Standard 5_Pct,Proficient_TCHR_Standard 1_Pct,Proficient_TCHR_Standard 2_Pct,Proficient_TCHR_Standard 3_Pct,Proficient_TCHR_Standard 4_Pct,Proficient_TCHR_Standard 5_Pct,AsianFemalePct,AsianMalePct,AsianPct,BlackFemalePct,BlackMalePct,BlackPct,HispanicFemalePct,HispanicMalePct,HispanicPct,IndianFemalePct,IndianMalePct,IndianPct,MinorityFemalePct,MinorityMalePct,MinorityPct,PacificIslandFemalePct,PacificIslandMalePct,PacificIslandPct,TwoOrMoreFemalePct,TwoOrMoreMalePct,TwoOrMorePct,WhiteFemalePct,WhiteMalePct,WhitePct,LPS,category_cd_H,category_cd_T,grade_range_cd_11-12,grade_range_cd_6-11,grade_range_cd_6-12,grade_range_cd_6-13,grade_range_cd_7-12,grade_range_cd_7-13,grade_range_cd_8-12,grade_range_cd_8-13,grade_range_cd_9-10,grade_range_cd_9-11,grade_range_cd_9-12,grade_range_cd_9-13,grade_range_cd_9-9,grade_range_cd_K-12,grade_range_cd_PK-12,"calendar_type_txt_Regular School, Year-Round Calendar",sna_pgm_type_cd_Y,calendar_only_txt_Year-Round Calendar,esea_status_Esea_Pass,esea_status_Non_Esea,SPG Grade_B,SPG Grade_C,SPG Grade_D,SPG Grade_F,Reading SPG Grade_B,Reading SPG Grade_C,Reading SPG Grade_D,Reading SPG Grade_F,Math SPG Grade_B,Math SPG Grade_C,Math SPG Grade_D,Math SPG Grade_F,EVAAS Growth Status_Met,EVAAS Growth Status_NotMet,Category_Cd_H,Category_Cd_T,esea_attendance_Met,unit_code
0.0,0,78.0,954.0,0,0.0,0.0,0.0,8028.59,0.613,0.212,0.078,0.086,0.011,1006.4,1845.78,5176.41,5.0,85.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,57.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,925.0,964.0,0.0012,0.58,0.0,0.08,0.0,0.62,0.0,0.0,0.0,1.0,0.025,0.7,0.7625,0.809530878859858,0.147268408551069,0.7415380047505941,0.0528503562945368,0.95,0.95,0.0,0.0,0.575,0.575,0.3333,0.3333,0.55,0.55,0.5517,0.5517,0.0,0.0,0.0,0.0,0.6363,0.6363,0.0,0.0,0.0,0.0,0.95,0.95,0.7142000000000001,0.7142000000000001,0.872,0.0,4.11,0.0,0.0,0.67,0.939,0.73,11.75,0.03,0.0,1.46,1.0,0.0,0.2,0.8,5.0,1.0,0.0,0.0,0.0,0.0,0.933,0.179,0.279,0.5429999999999999,52.0,6.0,0.248,0.13699999999999998,0.006999999999999999,0.055,0.0,0.8,0.2,0.611,0.083,0.306,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.10810810810810813,0.040540540540540536,0.14864864864864866,0.13513513513513514,0.013513513513513514,0.14864864864864866,0.0,0.0,0.0,0.2432432432432433,0.06756756756756757,0.3108108108108108,0.0,0.0,0.0,0.0,0.013513513513513514,0.013513513513513514,0.4864864864864865,0.20270270270270271,0.6891891891891891,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,010303
0.0,0,1192.0,954.0,0,22.0,29.0,30.0,8028.59,0.613,0.212,0.078,0.086,0.011,1006.4,1845.78,5176.41,5.0,69.0,0.0,0.0,84.2,65.0,0.0,0.0,0.0,57.0,52.0,62.0,58.0,86.0,88.0,81.0,0.583,0.5,1.0,0.857,0.0,0.643,0.0,0.846,0.0,0.731,979.0,964.0,0.0063,0.58,0.07,0.08,0.7,0.62,0.0,0.0,0.0,0.752285951787199,0.103075644222776,0.70407315045719,0.08478802992518697,0.809530878859858,0.147268408551069,0.7415380047505941,0.0528503562945368,0.0,0.0,0.95,0.95,0.7040000000000001,0.7040000000000001,0.6222,0.6222,0.41659999999999997,0.41659999999999997,0.7121,0.7121,0.3333,0.3333,0.0,0.0,0.6949,0.6949,0.6666,0.6666,0.0,0.0,0.46149999999999997,0.46149999999999997,0.75,0.75,0.926,1.31,21.41,0.0,0.0,1.95,0.939,0.73,11.75,0.03,0.0,1.46,0.956,0.17600000000000002,0.309,0.515,68.0,9.0,0.265,0.109,0.0,0.03,0.933,0.179,0.279,0.5429999999999999,52.0,6.0,0.248,0.13699999999999998,0.006999999999999999,0.055,0.17600000000000002,0.515,0.309,0.611,0.083,0.306,0.5,0.5,0.583,0.5,0.583,0.0,0.0,0.0,0.0,0.0,0.278,0.16699999999999998,0.16699999999999998,0.333,0.16699999999999998,0.545,0.091,0.364,0.0,0.0,0.0,0.0,0.0,0.222,0.333,0.25,0.16699999999999998,0.25,0.0016515276630883564,0.002477291494632535,0.0041288191577208925,0.10404624277456648,0.0990916597853014,0.20313790255986788,0.05615194054500413,0.05945499587118084,0.11560693641618495,0.0041288191577208925,0.003303055326176713,0.007431874483897605,0.18497109826589594,0.18827415359207267,0.37324525185796864,0.0008257638315441782,0.003303055326176713,0.0041288191577208925,0.018166804293971925,0.02064409578860446,0.03881090008257639,0.2947976878612717,0.3319570602807597,0.6267547481420314,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,010324
0.0,0,809.0,954.0,0,11.0,16.0,20.0,8028.59,0.613,0.212,0.078,0.086,0.011,1006.4,1845.78,5176.41,5.0,51.0,0.0,0.0,56.4,49.0,0.0,0.0,0.0,31.0,39.0,31.0,31.0,62.0,100.0,76.0,0.545,1.0,1.0,0.5,0.0,0.25,0.0,0.417,0.0,0.597,884.0,964.0,0.006999999999999999,0.58,0.0,0.08,0.18,0.62,0.0,0.0,0.0,0.7688504326328801,0.161928306551298,0.709517923362176,0.0135970333745365,0.809530878859858,0.147268408551069,0.7415380047505941,0.0528503562945368,0.0,0.0,0.0,0.0,0.5925,0.5925,0.6388,0.6388,0.5698,0.5698,0.6506000000000001,0.6506000000000001,0.4375,0.4375,0.1666,0.1666,0.5316,0.5316,0.95,0.95,0.0,0.0,0.35710000000000003,0.35710000000000003,0.6225999999999999,0.6225999999999999,0.912,0.38,8.8,0.13,0.0,1.49,0.939,0.73,11.75,0.03,0.0,1.46,0.867,0.264,0.321,0.415,53.0,4.0,0.17,0.255,0.0,0.114,0.933,0.179,0.279,0.5429999999999999,52.0,6.0,0.248,0.13699999999999998,0.006999999999999999,0.055,0.264,0.415,0.321,0.611,0.083,0.306,0.18600000000000005,0.04,0.04,0.14,0.08,0.047,0.12,0.04,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.042,0.583,0.0,0.0,0.0,0.0,0.0,0.767,0.84,0.92,0.605,0.92,0.004842615012106539,0.006053268765133172,0.010895883777239709,0.14891041162227606,0.16707021791767554,0.3159806295399516,0.1973365617433414,0.1815980629539952,0.3789346246973366,0.0036319612590799033,0.0,0.0036319612590799033,0.3740920096852301,0.3692493946731235,0.7433414043583535,0.0,0.0,0.0,0.01937046004842615,0.014527845036319613,0.03389830508474576,0.1089588377723971,0.14769975786924938,0.2566585956416465,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,010348
0.0,0,847.0,954.0,0,20.0,18.0,18.0,8028.59,0.613,0.212,0.078,0.086,0.011,1006.4,1845.78,5176.41,5.0,58.0,0.0,0.0,89.2,50.0,0.0,0.0,0.0,48.0,39.0,41.0,28.0,72.0,81.0,67.0,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.365,824.0,964.0,0.0045000000000000005,0.58,0.0,0.08,0.33,0.62,0.0,0.0,0.0,0.7964285714285709,0.0880952380952381,0.782142857142857,0.0,0.809530878859858,0.147268408551069,0.7415380047505941,0.0528503562945368,0.0,0.0,0.5,0.5,0.5605,0.5605,0.6705,0.6705,0.5454,0.5454,0.6341,0.6341,0.42100000000000004,0.42100000000000004,0.1333,0.1333,0.48,0.48,0.95,0.95,0.0,0.0,0.3,0.3,0.4,0.4,0.916,0.48,12.62,0.0,0.0,1.57,0.939,0.73,11.75,0.03,0.0,1.46,0.915,0.333,0.2,0.467,59.0,4.0,0.237,0.125,0.0,0.085,0.933,0.179,0.279,0.5429999999999999,52.0,6.0,0.248,0.13699999999999998,0.006999999999999999,0.055,0.333,0.467,0.2,0.611,0.083,0.306,0.852,0.879,0.848,0.852,0.848,0.0,0.0,0.0,0.0,0.0,0.093,0.061,0.061,0.093,0.061,0.171,0.14300000000000002,0.6859999999999999,0.0,0.0,0.0,0.0,0.0,0.056,0.061,0.091,0.056,0.091,0.004608294930875576,0.0034562211981566822,0.008064516129032258,0.2292626728110599,0.1912442396313364,0.4205069124423963,0.2119815668202765,0.2488479262672811,0.4608294930875576,0.002304147465437788,0.001152073732718894,0.0034562211981566822,0.4631336405529954,0.4619815668202765,0.925115207373272,0.0,0.002304147465437788,0.002304147465437788,0.014976958525345618,0.014976958525345618,0.029953917050691243,0.039170506912442386,0.03571428571428571,0.0748847926267281,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,010360
0.0,0,1443.0,954.0,0,23.0,21.0,24.0,8028.59,0.613,0.212,0.078,0.086,0.011,1006.4,1845.78,5176.41,5.0,66.0,0.0,0.0,71.8,64.0,0.0,0.0,0.0,47.0,54.0,55.0,58.0,74.0,93.0,83.0,0.5,0.5,0.875,0.583,0.0,0.667,0.0,0.875,0.0,0.677,962.0,964.0,0.0055000000000000005,0.58,0.06,0.08,0.7,0.62,0.0,0.0,0.0,0.8627034677990091,0.141542816702052,0.805378627034678,0.00920028308563341,0.809530878859858,0.147268408551069,0.7415380047505941,0.0528503562945368,0.95,0.95,0.95,0.95,0.6622,0.6622,0.6363,0.6363,0.5802,0.5802,0.7092,0.7092,0.4814,0.4814,0.3333,0.3333,0.6211,0.6211,0.0,0.0,0.0,0.0,0.45159999999999995,0.45159999999999995,0.6827,0.6827,0.923,1.38,6.91,0.07,0.0,1.94,0.939,0.73,11.75,0.03,0.0,1.46,0.953,0.141,0.306,0.5529999999999999,85.0,9.0,0.221,0.14400000000000002,0.0,0.047,0.933,0.179,0.279,0.5429999999999999,52.0,6.0,0.248,0.13699999999999998,0.006999999999999999,0.055,0.141,0.5529999999999999,0.306,0.611,0.083,0.306,0.5,0.471,0.353,0.513,0.382,0.013,0.0,0.0,0.013,0.0,0.064,0.0,0.0,0.013,0.0,0.102,0.327,0.5710000000000001,0.0,0.0,0.0,0.0,0.0,0.423,0.529,0.647,0.462,0.618,0.0033715441672285905,0.004045853000674309,0.007417397167902898,0.03236682400539447,0.04248145650708024,0.07484828051247472,0.04248145650708024,0.05866486850977747,0.10114632501685772,0.0033715441672285905,0.0013486176668914365,0.004720161834120027,0.09912339851652056,0.1186783546864464,0.21780175320296696,0.0020229265003371545,0.0006743088334457181,0.0026972353337828725,0.015509103169251515,0.011463250168577207,0.026972353337828724,0.3830074173971679,0.3991908293998652,0.7821982467970331,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,010388
0.0,0,1141.0,954.0,0,24.0,27.0,23.0,8028.59,0.613,0.212,0.078,0.086,0.011,1006.4,1845.78,5176.41,5.0,66.0,0.0,0.0,80.0,63.0,0.0,0.0,0.0,51.0,57.0,39.0,55.0,74.0,92.0,90.0,0.462,0.429,1.0,0.75,0.0,0.917,0.0,0.583,0.0,0.688,1024.0,964.0,0.006,0.58,0.12,0.08,0.55,0.62,0.0,0.0,0.0,0.8457538994800692,0.214038128249567,0.7608318890814559,0.13778162911611802,0.809530878859858,0.147268408551069,0.7415380047505941,0.0528503562945368,0.0,0.0,0.7777,0.7777,0.7237,0.7237,0.6555,0.6555,0.6068,0.6068,0.8064,0.8064,0.4523,0.4523,0.25,0.25,0.6259,0.6259,0.5,0.5,0.0,0.0,0.15,0.15,0.8613,0.8613,0.911,0.28,20.94,0.0,0.0,2.38,0.939,0.73,11.75,0.03,0.0,1.46,0.955,0.091,0.28800000000000003,0.621,66.0,12.0,0.455,0.063,0.0,0.045,0.933,0.179,0.279,0.5429999999999999,52.0,6.0,0.248,0.13699999999999998,0.006999999999999999,0.055,0.091,0.621,0.28800000000000003,0.611,0.083,0.306,0.629,0.5,0.6920000000000001,0.6940000000000001,0.5379999999999999,0.016,0.038,0.038,0.032,0.038,0.081,0.077,0.038,0.048,0.038,0.086,0.229,0.6859999999999999,0.0,0.0,0.0,0.0,0.0,0.274,0.385,0.231,0.226,0.385,0.014617368873602753,0.01719690455717971,0.03181427343078246,0.15133276010318142,0.1642304385210662,0.31556319862424764,0.11263972484952707,0.07738607050730867,0.19002579535683575,0.0025795356835769567,0.0034393809114359416,0.0060189165950128975,0.29750644883920896,0.2768701633705933,0.5743766122098022,0.0,0.0,0.0,0.016337059329320718,0.014617368873602753,0.030954428202923476,0.21410146173688732,0.2115219260533104,0.42562338779019776,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,010396
0.0,0,1171.0,954.0,0,24.0,22.0,22.0,8028.59,0.613,0.212,0.078,0.086,0.011,1006.4,1845.78,5176.41,5.0,69.0,0.0,0.0,68.6,70.0,0.0,0.0,0.0,55.0,60.0,54.0,64.0,76.0,100.0,91.0,0.75,1.0,1.0,0.6,0.0,0.5,0.0,0.875,0.0,0.797,1008.0,964.0,0.0064,0.58,0.12,0.08,0.78,0.62,0.0,0.0,0.0,0.802197802197802,0.18089602704987304,0.6889264581572271,0.0084530853761623,0.809530878859858,0.147268408551069,0.7415380047505941,0.0528503562945368,0.0,0.0,0.95,0.95,0.7015,0.7015,0.6756,0.6756,0.5849,0.5849,0.7317,0.7317,0.7333,0.7333,0.3333,0.3333,0.674,0.674,0.6666,0.6666,0.0,0.0,0.4545,0.4545,0.7014,0.7014,0.915,0.25,1.83,0.0,0.0,2.27,0.939,0.73,11.75,0.03,0.0,1.46,0.942,0.159,0.275,0.565,69.0,6.0,0.159,0.16399999999999998,0.015,0.044,0.933,0.179,0.279,0.5429999999999999,52.0,6.0,0.248,0.13699999999999998,0.006999999999999999,0.055,0.159,0.565,0.275,0.611,0.083,0.306,0.435,0.774,0.516,0.629,0.5479999999999999,0.0,0.0,0.0,0.0,0.0,0.32299999999999995,0.097,0.161,0.177,0.129,0.158,0.263,0.579,0.0,0.0,0.0,0.0,0.0,0.242,0.129,0.32299999999999995,0.194,0.32299999999999995,0.010109519797809604,0.006739679865206402,0.016849199663016002,0.04633529907329402,0.06065711878685761,0.10699241786015164,0.03706823925863521,0.04296545914069082,0.08003369839932603,0.0008424599831508003,0.0008424599831508003,0.0016849199663016006,0.10951979780960404,0.12215669755686605,0.2316764953664701,0.0,0.0,0.0,0.015164279696714406,0.010951979780960405,0.02611625947767481,0.3984835720303286,0.36983993260320136,0.7683235046335299,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,010400
0.0,0,1584.0,1584.0,1,18.0,18.0,16.0,8251.49,0.614,0.219,0.059,0.093,0.015,1001.44,1570.07,5679.98,7.0,73.0,0.0,0.0,87.9,69.0,0.0,0.0,0.0,56.0,57.0,60.0,64.0,66.0,94.0,85.0,0.875,0.667,1.0,0.8,0.0,0.8,0.0,0.75,0.0,0.81,983.0,983.0,0.0032,0.32,0.08,0.08,0.51,0.51,0.0,0.0,0.0,0.848562300319489,0.0837060702875399,0.7974440894568691,0.0,0.848562300319489,0.0837060702875399,0.7974440894568691,0.0,0.0,0.0,0.8823000000000001,0.8823000000000001,0.547,0.547,0.38880000000000003,0.38880000000000003,0.3354,0.3354,0.6104999999999999,0.6104999999999999,0.1818,0.1818,0.3333,0.3333,0.49060000000000004,0.49060000000000004,0.2,0.2,0.0,0.0,0.225,0.225,0.5689,0.5689,0.937,1.55,6.47,0.0,0.0,1.69,0.958,1.55,6.47,0.0,0.0,1.83,0.929,0.152,0.313,0.535,99.0,24.0,0.32299999999999995,0.15,0.051,0.02,0.929,0.152,0.313,0.535,99.0,24.0,0.32299999999999995,0.15,0.051,0.02,0.152,0.535,0.313,0.3,0.3,0.4,0.581,0.682,0.727,0.7959999999999999,0.659,0.011,0.0,0.0,0.0,0.0,0.29,0.182,0.023,0.097,0.0,0.15,0.25,0.6,0.0,0.0,0.0,0.0,0.0,0.118,0.136,0.25,0.108,0.341,0.006191950464396285,0.013622291021671827,0.019814241486068116,0.022291021671826627,0.01609907120743034,0.038390092879256967,0.02786377708978328,0.021052631578947368,0.04891640866873065,0.0018575851393188851,0.001238390092879257,0.0030959752321981426,0.06811145510835913,0.06191950464396285,0.13003095975232198,0.0,0.0,0.0,0.009907120743034056,0.009907120743034056,0.019814241486068116,0.4130030959752322,0.4569659442724458,0.8699690402476781,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,020302
0.0,0,448.0,448.0,1,16.0,20.0,14.0,11538.34,0.58,0.194,0.08,0.1,0.046,1265.8,3203.61,7068.93,7.0,71.0,0.0,0.0,82.5,68.0,0.0,0.0,0.0,54.0,62.0,60.0,66.0,52.0,87.0,92.0,1.0,0.0,1.0,0.667,0.0,0.833,0.0,1.0,0.0,0.7070000000000001,959.0,959.0,0.0042,0.42,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.935632183908046,0.0505747126436782,0.910344827586207,0.00459770114942529,0.935632183908046,0.0505747126436782,0.910344827586207,0.00459770114942529,0.0,0.0,0.0,0.0,0.5904,0.5904,0.0,0.0,0.5483,0.5483,0.7954000000000001,0.7954000000000001,0.5714,0.5714,0.0,0.0,0.4426,0.4426,0.0,0.0,0.0,0.0,0.4705,0.4705,0.6,0.6,0.931,1.45,23.43,0.24,0.0,0.69,0.948,1.45,23.43,0.24,0.0,0.92,0.944,0.083,0.278,0.639,36.0,7.0,0.444,0.06,0.056,0.0,0.944,0.083,0.278,0.639,36.0,7.0,0.444,0.059,0.056,0.0,0.083,0.639,0.278,0.25,0.0,0.75,0.621,0.385,0.308,0.586,0.231,0.034,0.077,0.077,0.034,0.077,0.0,0.0,0.0,0.034,0.0,0.17600000000000002,0.294,0.529,0.0,0.0,0.0,0.0,0.0,0.345,0.5379999999999999,0.615,0.345,0.6920000000000001,0.0,0.0,0.0,0.0,0.0021691973969631237,0.0021691973969631237,0.054229934924078085,0.07158351409978309,0.12581344902386118,0.0,0.0,0.0,0.06724511930585682,0.0911062906724512,0.15835140997830802,0.0,0.0,0.0,0.013015184381778741,0.01735357917570499,0.030368763557483733,0.4555314533622561,0.386117136659436,0.8416485900216921,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,030304
0.0,0,186.0,260.0,1,18.0,23.0,37.0,10046.67,0.573,0.192,0.096,0.132,0.006999999999999999,1783.94,1234.47,7028.26,6.0,65.0,0.0,0.0,81.1,61.0,0.0,0.0,0.0,33.0,64.0,51.0,62.0,0.0,100.0,100.0,1.0,0.0,1.0,0.5,0.0,1.0,0.0,0.5,0.0,0.833,883.0,819.0,0.0062,0.53,0.0,0.12,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.95,0.6097,0.6097,0.647,0.647,0.7058,0.7058,0.68,0.68,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5909,0.5909,0.995,0.0,0.59,0.0,0.0,0.95,0.998,0.94,75.37,2.81,0.0,0.53,1.0,0.1,0.3,0.6,10.0,2.0,0.3,0.0,0.0,0.0,0.948,0.269,0.205,0.526,20.0,3.0,0.247,0.213,0.0,0.052000000000000005,0.1,0.6,0.3,0.455,0.182,0.364,0.7,0.9,0.3,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.1,0.3,0.25,0.125,0.625,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.3,0.0374331550802139,0.016042780748663103,0.053475935828877004,0.24598930481283424,0.1176470588235294,0.3636363636363637,0.0213903743315508,0.0106951871657754,0.032085561497326213,0.0,0.0053475935828877,0.0053475935828877,0.32620320855614976,0.1497326203208556,0.4759358288770054,0.0,0.0,0.0,0.0213903743315508,0.0,0.0213903743315508,0.32620320855614976,0.19786096256684493,0.5240641711229946,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,040304
