closed_ind,title1_type_cd,student_num,lea_avg_student_num,st_avg_student_num,Grad_project_status,Biology_Size,English II_Size,Math I_Size,lea_total_expense_num,lea_salary_expense_pct,lea_benefits_expense_pct,lea_services_expense_pct,lea_supplies_expense_pct,lea_instruct_equip_exp_pct,lea_federal_perpupil_num,lea_local_perpupil_num,lea_state_perpupil_num,SBE Region,SPG Score,Reading  SPG Score,Math SPG Score,EVAAS Growth Score,Overall Achievement Score,Read Score,Math Score,Science Score,Math I Score,English II Score,Biology Score,The ACT Score,ACT WorkKeys Score,Math Course Rigor Score,Cohort Graduation Rate Standard Score,ACT_pTarget_PctMet,ACTWorkKeys_pTarget_PctMet,CurrentYearEOC_pTarget_PctMet,MathGr10_pTarget_PctMet,MathGr3-8_pTarget_PctMet,ReadingGr10_pTarget_PctMet,ReadingGr3-8_pTarget_PctMet,SciGr11_pTarget_PctMet,SciGr5&8_pTarget_PctMet,TotalTargets_pTarget_PctMet,sat_avg_score_num,lea_sat_avg_score_num,sat_participation_pct,lea_sat_participation_pct,ap_participation_pct,lea_ap_participation_pct,ap_pct_3_or_above,lea_ap_pct_3_or_above,ib_participation_pct,ib_pct_4_or_above,lea_ib_pct_4_or_above,total_specialized_courses,ap_ib_courses,cte_courses,univ_college_courses,lea_total_specialized_courses,lea_ap_ib_courses,lea_cte_courses,lea_univ_college_courses,st_total_specialized_courses,st_ap_ib_courses,st_cte_courses,st_univ_college_courses,AM7_American Indian_ENROLL_sch_pct,AM7_American Indian_NOENROLL_sch_pct,AS7_Asian_ENROLL_sch_pct,AS7_Asian_NOENROLL_sch_pct,All_All Student (Total or subtotal)_ENROLL_sch_pct,All_All Student (Total or subtotal)_NOENROLL_sch_pct,BL7_Black_ENROLL_sch_pct,BL7_Black_NOENROLL_sch_pct,ECODIS_Economically Disadvantaged_ENROLL_sch_pct,ECODIS_Economically Disadvantaged_NOENROLL_sch_pct,F_Female_ENROLL_sch_pct,F_Female_NOENROLL_sch_pct,HI7_Hispanic_ENROLL_sch_pct,HI7_Hispanic_NOENROLL_sch_pct,LEP_Limited English Proficiency_ENROLL_sch_pct,LEP_Limited English Proficiency_NOENROLL_sch_pct,M_Male_ENROLL_sch_pct,M_Male_NOENROLL_sch_pct,MU7_Multiracial_ENROLL_sch_pct,MU7_Multiracial_NOENROLL_sch_pct,PI7_Pacific Islander_ENROLL_sch_pct,PI7_Pacific Islander_NOENROLL_sch_pct,WDIS_Students with Disabilities_ENROLL_sch_pct,WDIS_Students with Disabilities_NOENROLL_sch_pct,WH7_White_ENROLL_sch_pct,WH7_White_NOENROLL_sch_pct,avg_daily_attend_pct,crime_per_c_num,short_susp_per_c_num,long_susp_per_c_num,expelled_per_c_num,stud_internet_comp_num,lea_avg_daily_attend_pct,lea_crime_per_c_num,lea_short_susp_per_c_num,lea_long_susp_per_c_num,lea_expelled_per_c_num,lea_stud_internet_comp_num,st_avg_daily_attend_pct,st_crime_per_c_num,st_short_susp_per_c_num,st_long_susp_per_c_num,st_expelled_per_c_num,st_stud_internet_comp_num,flicensed_teach_pct,tchyrs_0thru3_pct,tchyrs_4thru10_pct,tchyrs_11plus_pct,class_teach_num,nbpts_num,advance_dgr_pct,_1yr_tchr_trnovr_pct,emer_prov_teach_pct,lateral_teach_pct,lea_flicensed_teach_pct,lea_tchyrs_0thru3_pct,lea_tchyrs_4thru10_pct,lea_tchyrs_11plus_pct,lea_class_teach_num,lea_nbpts_num,lea_advance_dgr_pct,lea_1yr_tchr_trnovr_pct,lea_emer_prov_teach_pct,lea_lateral_teach_pct,st_flicensed_teach_pct,st_tchyrs_0thru3_pct,st_tchyrs_4thru10_pct,st_tchyrs_11plus_pct,st_class_teach_num,st_nbpts_num,st_advance_dgr_pct,st_1yr_tchr_trnovr_pct,st_emer_prov_teach_pct,st_lateral_teach_pct,st_prinyrs_0thru3_pct,st_prinyrs_4thru10_pct,st_prinyrs_11plus_pct,st_prin_advance_dgr_pct,st_1yr_prin_trnovr_pct,st_prin_male_pct,st_prin_female_pct,st_prin_black_pct,st_prin_white_pct,st_prin_other_pct,0-3 Years_Exp_Pct_Tch,10+ Years_Exp_Pct_Tch,4-10 Years_Exp_Pct_Tch,0-3 Years_LEA_Exp_Pct_Prin,10+ Years_LEA_Exp_Pct_Prin,4-10 Years_LEA_Exp_Pct_Prin,Accomplished_TCHR_Standard 1_Pct,Accomplished_TCHR_Standard 2_Pct,Accomplished_TCHR_Standard 3_Pct,Accomplished_TCHR_Standard 4_Pct,Accomplished_TCHR_Standard 5_Pct,Developing_TCHR_Standard 1_Pct,Developing_TCHR_Standard 2_Pct,Developing_TCHR_Standard 3_Pct,Developing_TCHR_Standard 4_Pct,Developing_TCHR_Standard 5_Pct,Distinguished_TCHR_Standard 1_Pct,Distinguished_TCHR_Standard 2_Pct,Distinguished_TCHR_Standard 3_Pct,Distinguished_TCHR_Standard 4_Pct,Distinguished_TCHR_Standard 5_Pct,Does Not Meet Expected Growth_TCHR_Standard 6_Pct,Exceeds Expected Growth_TCHR_Standard 6_Pct,Meets Expected Growth_TCHR_Standard 6_Pct,Not Demostrated_TCHR_Standard 1_Pct,Not Demostrated_TCHR_Standard 2_Pct,Not Demostrated_TCHR_Standard 3_Pct,Not Demostrated_TCHR_Standard 4_Pct,Not Demostrated_TCHR_Standard 5_Pct,Proficient_TCHR_Standard 1_Pct,Proficient_TCHR_Standard 2_Pct,Proficient_TCHR_Standard 3_Pct,Proficient_TCHR_Standard 4_Pct,Proficient_TCHR_Standard 5_Pct,AsianFemalePct,AsianMalePct,AsianPct,BlackFemalePct,BlackMalePct,BlackPct,HispanicFemalePct,HispanicMalePct,HispanicPct,IndianFemalePct,IndianMalePct,IndianPct,MinorityFemalePct,MinorityMalePct,MinorityPct,PacificIslandFemalePct,PacificIslandMalePct,PacificIslandPct,TwoOrMoreFemalePct,TwoOrMoreMalePct,TwoOrMorePct,WhiteFemalePct,WhiteMalePct,WhitePct,LPS,category_cd_I,category_cd_M,category_cd_T,"calendar_type_txt_Regular School, Year-Round Calendar",sna_pgm_type_cd_Y,calendar_only_txt_Year-Round Calendar,esea_status_Esea_Pass,esea_status_Non_Esea,SPG Grade_B,SPG Grade_C,SPG Grade_D,SPG Grade_F,Reading SPG Grade_B,Reading SPG Grade_C,Reading SPG Grade_D,Reading SPG Grade_F,Math SPG Grade_B,Math SPG Grade_C,Math SPG Grade_D,Math SPG Grade_F,EVAAS Growth Status_Met,EVAAS Growth Status_NotMet,Category_Cd_I,Category_Cd_M,Category_Cd_T,esea_attendance_Met,unit_code
0.0,1,800.0,768.0,665.0,0,0.0,0.0,26.0,8028.59,0.613,0.212,0.078,0.086,0.011,1006.4,1845.78,5176.41,5.0,36.0,42.0,30.0,58.6,31.0,34.0,22.0,41.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.6,0.535,0.0,964.0,0.0,0.58,0.0,0.08,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.943,1.75,32.66,0.0,0.0,0.99,0.943,1.3,18.48,0.0,0.0,1.46,0.955,0.85,13.49,0.07,0.0,1.79,0.98,0.269,0.327,0.404,51.0,3.0,0.25,0.29600000000000004,0.0,0.02,0.968,0.235,0.32299999999999995,0.442,49.0,5.0,0.238,0.185,0.0,0.032,0.944,0.237,0.274,0.49,42.0,6.0,0.304,0.153,0.005,0.05,0.436,0.418,0.146,0.22,0.092,0.41,0.59,0.245,0.726,0.029,0.269,0.404,0.327,0.611,0.083,0.306,0.517,0.6,0.4,0.483,0.4,0.069,0.1,0.05,0.034,0.05,0.207,0.05,0.2,0.172,0.25,0.28600000000000003,0.048,0.667,0.0,0.0,0.0,0.0,0.0,0.207,0.25,0.35,0.31,0.3,0.005025125628140704,0.008793969849246231,0.013819095477386936,0.1922110552763819,0.19597989949748745,0.3881909547738693,0.2349246231155779,0.2449748743718593,0.4798994974874372,0.002512562814070352,0.0,0.002512562814070352,0.44597989949748745,0.4635678391959799,0.9095477386934674,0.0,0.0,0.0,0.011306532663316585,0.013819095477386936,0.02512562814070352,0.043969849246231166,0.046482412060301515,0.09045226130653268,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,010310
0.0,1,668.0,768.0,665.0,0,0.0,0.0,21.0,8028.59,0.613,0.212,0.078,0.086,0.011,1006.4,1845.78,5176.41,5.0,42.0,43.0,35.0,78.4,33.0,34.0,23.0,45.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.6,0.545,0.0,964.0,0.0,0.58,0.0,0.08,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.946,1.91,34.02,0.0,0.0,0.96,0.943,1.3,18.48,0.0,0.0,1.46,0.955,0.85,13.49,0.07,0.0,1.79,0.943,0.358,0.302,0.34,53.0,4.0,0.264,0.173,0.0,0.057,0.968,0.235,0.32299999999999995,0.442,49.0,5.0,0.238,0.185,0.0,0.032,0.944,0.237,0.274,0.49,42.0,6.0,0.304,0.153,0.005,0.05,0.436,0.418,0.146,0.22,0.092,0.41,0.59,0.245,0.726,0.029,0.358,0.34,0.302,0.611,0.083,0.306,0.591,0.643,0.35700000000000004,0.5,0.679,0.0,0.0,0.0,0.0,0.0,0.318,0.071,0.25,0.136,0.036000000000000004,0.179,0.214,0.607,0.0,0.0,0.0,0.0,0.0,0.091,0.28600000000000003,0.393,0.364,0.28600000000000003,0.008902077151335312,0.007418397626112759,0.016320474777448073,0.12759643916913946,0.15578635014836795,0.28338278931750743,0.2255192878338279,0.2002967359050445,0.4258160237388724,0.001483679525222552,0.004451038575667656,0.005934718100890208,0.3783382789317508,0.3872403560830861,0.7655786350148368,0.0,0.0,0.0,0.014836795252225518,0.01928783382789317,0.034124629080118686,0.09643916913946587,0.13798219584569732,0.2344213649851632,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,010350
0.0,0,700.0,768.0,665.0,0,0.0,0.0,27.0,8028.59,0.613,0.212,0.078,0.086,0.011,1006.4,1845.78,5176.41,5.0,58.0,58.0,47.0,76.5,53.0,53.0,42.0,78.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.563,0.0,0.75,0.0,1.0,0.78,0.0,964.0,0.0,0.58,0.0,0.08,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.943,0.72,15.25,0.0,0.0,1.32,0.943,1.3,18.48,0.0,0.0,1.46,0.955,0.85,13.49,0.07,0.0,1.79,1.0,0.175,0.425,0.4,40.0,9.0,0.225,0.289,0.0,0.0,0.968,0.235,0.32299999999999995,0.442,49.0,5.0,0.238,0.185,0.0,0.032,0.944,0.237,0.274,0.49,42.0,6.0,0.304,0.153,0.005,0.05,0.436,0.418,0.146,0.22,0.092,0.41,0.59,0.245,0.726,0.029,0.175,0.4,0.425,0.611,0.083,0.306,0.579,0.474,0.158,0.316,0.316,0.026,0.0,0.0,0.0,0.0,0.158,0.105,0.158,0.105,0.158,0.14800000000000002,0.185,0.667,0.0,0.0,0.0,0.0,0.0,0.237,0.421,0.684,0.579,0.526,0.0014367816091954025,0.004310344827586207,0.005747126436781609,0.06321839080459771,0.08045977011494253,0.14367816091954022,0.09195402298850576,0.08908045977011493,0.1810344827586207,0.0,0.0,0.0,0.1839080459770115,0.19540229885057472,0.3793103448275862,0.0014367816091954025,0.0,0.0014367816091954025,0.02586206896551724,0.02155172413793104,0.047413793103448267,0.2902298850574713,0.3304597701149425,0.6206896551724138,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,010353
0.0,0,836.0,768.0,665.0,0,0.0,0.0,28.0,8028.59,0.613,0.212,0.078,0.086,0.011,1006.4,1845.78,5176.41,5.0,56.0,57.0,53.0,68.3,53.0,52.0,47.0,62.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.643,0.0,0.7140000000000001,0.0,0.9,0.762,0.0,964.0,0.0,0.58,0.0,0.08,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.934,1.67,21.84,0.0,0.0,5.52,0.943,1.3,18.48,0.0,0.0,1.46,0.955,0.85,13.49,0.07,0.0,1.79,0.942,0.231,0.269,0.5,52.0,3.0,0.231,0.136,0.0,0.058,0.968,0.235,0.32299999999999995,0.442,49.0,5.0,0.238,0.185,0.0,0.032,0.944,0.237,0.274,0.49,42.0,6.0,0.304,0.153,0.005,0.05,0.436,0.418,0.146,0.22,0.092,0.41,0.59,0.245,0.726,0.029,0.231,0.5,0.269,0.611,0.083,0.306,0.568,0.5710000000000001,0.5710000000000001,0.591,0.429,0.0,0.0,0.0,0.0,0.0,0.205,0.048,0.095,0.136,0.095,0.258,0.194,0.5479999999999999,0.0,0.0,0.0,0.0,0.0,0.227,0.381,0.333,0.273,0.476,0.005966587112171838,0.008353221957040573,0.014319809069212413,0.01909307875894988,0.032219570405727926,0.0513126491646778,0.034606205250596656,0.041766109785202864,0.07637231503579953,0.0011933174224343676,0.0035799522673031032,0.00477326968973747,0.07398568019093077,0.10023866348448687,0.17422434367541767,0.0,0.0,0.0,0.013126491646778043,0.014319809069212413,0.027446300715990454,0.3866348448687351,0.4391408114558473,0.8257756563245824,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,010390
0.0,1,904.0,768.0,665.0,0,0.0,0.0,26.0,8028.59,0.613,0.212,0.078,0.086,0.011,1006.4,1845.78,5176.41,5.0,47.0,52.0,39.0,52.0,46.0,48.0,36.0,57.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.667,0.0,0.769,0.66,0.0,964.0,0.0,0.58,0.0,0.08,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.952,1.08,10.7,0.0,0.0,1.1,0.943,1.3,18.48,0.0,0.0,1.46,0.955,0.85,13.49,0.07,0.0,1.79,0.95,0.233,0.333,0.433,60.0,5.0,0.233,0.145,0.0,0.05,0.968,0.235,0.32299999999999995,0.442,49.0,5.0,0.238,0.185,0.0,0.032,0.944,0.237,0.274,0.49,42.0,6.0,0.304,0.153,0.005,0.05,0.436,0.418,0.146,0.22,0.092,0.41,0.59,0.245,0.726,0.029,0.233,0.433,0.333,0.611,0.083,0.306,0.621,0.6859999999999999,0.629,0.759,0.657,0.0,0.0,0.0,0.0,0.0,0.19,0.114,0.029,0.069,0.057,0.375,0.075,0.55,0.0,0.0,0.0,0.0,0.0,0.19,0.2,0.343,0.172,0.28600000000000003,0.010976948408342482,0.012074643249176727,0.02305159165751921,0.1756311745334797,0.15587266739846325,0.3315038419319429,0.11086717892425904,0.1185510428100988,0.22941822173435786,0.0010976948408342481,0.003293084522502744,0.004390779363336993,0.3238199780461032,0.3150384193194292,0.6388583973655324,0.0010976948408342481,0.003293084522502744,0.004390779363336993,0.024149286498353455,0.021953896816684963,0.04610318331503842,0.1756311745334797,0.18551042810098792,0.3611416026344676,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,010394
0.0,0,871.0,768.0,665.0,0,0.0,0.0,30.0,8028.59,0.613,0.212,0.078,0.086,0.011,1006.4,1845.78,5176.41,5.0,61.0,63.0,53.0,76.5,57.0,59.0,47.0,70.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.643,0.0,0.7859999999999999,0.0,1.0,0.81,0.0,964.0,0.0,0.58,0.0,0.08,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.949,0.56,6.56,0.0,0.0,2.21,0.943,1.3,18.48,0.0,0.0,1.46,0.955,0.85,13.49,0.07,0.0,1.79,1.0,0.115,0.308,0.5770000000000001,52.0,5.0,0.269,0.075,0.0,0.0,0.968,0.235,0.32299999999999995,0.442,49.0,5.0,0.238,0.185,0.0,0.032,0.944,0.237,0.274,0.49,42.0,6.0,0.304,0.153,0.005,0.05,0.436,0.418,0.146,0.22,0.092,0.41,0.59,0.245,0.726,0.029,0.115,0.5770000000000001,0.308,0.611,0.083,0.306,0.604,0.75,0.75,0.8540000000000001,0.375,0.0,0.0,0.0,0.0,0.0,0.271,0.16699999999999998,0.125,0.083,0.208,0.125,0.094,0.7809999999999999,0.0,0.0,0.0,0.0,0.0,0.125,0.083,0.125,0.063,0.417,0.009163802978235968,0.014891179839633447,0.024054982817869417,0.05383734249713632,0.048109965635738834,0.10194730813287514,0.049255441008018326,0.052691867124856816,0.10194730813287514,0.001145475372279496,0.0,0.001145475372279496,0.13287514318442153,0.12600229095074456,0.2588774341351661,0.0,0.0,0.0,0.019473081328751432,0.010309278350515464,0.029782359679266894,0.3573883161512028,0.3837342497136312,0.7411225658648339,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,010403
0.0,0,597.0,768.0,665.0,0,0.0,0.0,32.0,8028.59,0.613,0.212,0.078,0.086,0.011,1006.4,1845.78,5176.41,5.0,65.0,61.0,63.0,84.5,60.0,56.0,57.0,69.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.929,0.0,0.7859999999999999,0.0,1.0,0.907,0.0,964.0,0.0,0.58,0.0,0.08,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.951,1.69,12.16,0.0,0.0,1.44,0.943,1.3,18.48,0.0,0.0,1.46,0.955,0.85,13.49,0.07,0.0,1.79,0.972,0.257,0.314,0.429,35.0,6.0,0.171,0.219,0.0,0.028,0.968,0.235,0.32299999999999995,0.442,49.0,5.0,0.238,0.185,0.0,0.032,0.944,0.237,0.274,0.49,42.0,6.0,0.304,0.153,0.005,0.05,0.436,0.418,0.146,0.22,0.092,0.41,0.59,0.245,0.726,0.029,0.257,0.429,0.314,0.611,0.083,0.306,0.361,0.059,0.059,0.278,0.0,0.028,0.059,0.059,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.304,0.478,0.0,0.0,0.0,0.0,0.0,0.611,0.882,0.882,0.6940000000000001,1.0,0.0033670033670033673,0.0033670033670033673,0.006734006734006735,0.08249158249158249,0.1127946127946128,0.19528619528619529,0.06902356902356903,0.06565656565656566,0.13468013468013468,0.0033670033670033673,0.0,0.0033670033670033673,0.18181818181818185,0.202020202020202,0.3838383838383838,0.0,0.0,0.0,0.02356902356902357,0.020202020202020204,0.043771043771043766,0.28619528619528617,0.32996632996633,0.6161616161616161,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,010406
0.0,0,659.0,614.0,665.0,0,0.0,0.0,26.0,8251.49,0.614,0.219,0.059,0.093,0.015,1001.44,1570.07,5679.98,7.0,54.0,63.0,37.0,66.2,51.0,58.0,33.0,71.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5710000000000001,0.0,0.7140000000000001,0.0,1.0,0.75,0.0,983.0,0.0,0.32,0.0,0.08,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982,0.9,6.27,0.0,0.0,2.09,0.963,1.75,10.83,0.0,0.0,1.83,0.955,0.85,13.49,0.07,0.0,1.79,1.0,0.122,0.293,0.585,41.0,6.0,0.341,0.049,0.0,0.0,1.0,0.185,0.21,0.605,41.0,6.0,0.259,0.063,0.0,0.0,0.944,0.237,0.274,0.49,42.0,6.0,0.304,0.153,0.005,0.05,0.436,0.418,0.146,0.22,0.092,0.41,0.59,0.245,0.726,0.029,0.122,0.585,0.293,0.3,0.3,0.4,0.639,0.75,0.667,0.833,0.667,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.083,0.083,0.231,0.077,0.6920000000000001,0.0,0.0,0.0,0.0,0.0,0.139,0.25,0.333,0.083,0.25,0.004538577912254161,0.0030257186081694407,0.007564296520423602,0.0226928895612708,0.030257186081694407,0.0529500756429652,0.05446293494704992,0.06051437216338881,0.11497730711043873,0.004538577912254161,0.0,0.004538577912254161,0.1059001512859304,0.11497730711043873,0.22087745839636916,0.0,0.0,0.0,0.019667170953101363,0.02118003025718608,0.04084720121028744,0.3963691376701967,0.3827534039334342,0.7791225416036308,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,020306
0.0,0,568.0,614.0,665.0,0,0.0,0.0,24.0,8251.49,0.614,0.219,0.059,0.093,0.015,1001.44,1570.07,5679.98,7.0,65.0,68.0,50.0,91.5,58.0,62.0,43.0,83.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.9,0.0,1.0,0.813,0.0,983.0,0.0,0.32,0.0,0.08,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.974,2.73,16.04,0.0,0.0,3.12,0.963,1.75,10.83,0.0,0.0,1.83,0.955,0.85,13.49,0.07,0.0,1.79,1.0,0.25,0.125,0.625,40.0,5.0,0.175,0.077,0.0,0.0,1.0,0.185,0.21,0.605,41.0,6.0,0.259,0.063,0.0,0.0,0.944,0.237,0.274,0.49,42.0,6.0,0.304,0.153,0.005,0.05,0.436,0.418,0.146,0.22,0.092,0.41,0.59,0.245,0.726,0.029,0.25,0.625,0.125,0.3,0.3,0.4,0.684,0.778,0.444,0.632,0.5,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.077,0.231,0.6920000000000001,0.0,0.0,0.0,0.0,0.0,0.289,0.222,0.556,0.368,0.5,0.01776198934280639,0.015985790408525755,0.03374777975133215,0.008880994671403197,0.012433392539964477,0.021314387211367674,0.01776198934280639,0.01953818827708704,0.03730017761989343,0.0,0.0,0.0,0.0586145648312611,0.05506216696269983,0.11367673179396093,0.0,0.0,0.0,0.014209591474245116,0.007104795737122558,0.021314387211367674,0.45825932504440503,0.4280639431616341,0.8863232682060391,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,020330
0.0,1,257.0,328.0,454.0,0,0.0,0.0,8.0,11538.34,0.58,0.194,0.08,0.1,0.046,1265.8,3203.61,7068.93,7.0,64.0,55.0,64.0,84.2,59.0,50.0,58.0,79.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.7,0.0,1.0,0.852,0.0,959.0,0.0,0.42,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.949,0.0,0.0,0.0,0.0,0.8,0.946,0.1,2.97,0.0,0.0,0.92,0.958,0.32,13.37,0.07,0.0,1.79,1.0,0.13,0.435,0.435,23.0,2.0,0.261,0.07400000000000001,0.0,0.0,0.965,0.198,0.314,0.488,28.0,6.0,0.3720000000000001,0.128,0.012,0.023,0.923,0.245,0.278,0.476,31.0,6.0,0.322,0.128,0.004,0.039,0.436,0.418,0.146,0.22,0.092,0.41,0.59,0.245,0.726,0.029,0.13,0.435,0.435,0.25,0.0,0.75,0.421,0.4,0.4,0.684,0.8,0.0,0.0,0.0,0.0,0.0,0.316,0.0,0.0,0.158,0.0,0.0,0.182,0.818,0.0,0.0,0.0,0.0,0.0,0.263,0.6,0.6,0.158,0.2,0.0,0.0,0.0,0.0,0.003745318352059925,0.003745318352059925,0.12359550561797752,0.15355805243445692,0.2771535580524345,0.0,0.0,0.0,0.12359550561797752,0.1647940074906367,0.2883895131086142,0.0,0.0,0.0,0.0,0.00749063670411985,0.00749063670411985,0.3146067415730337,0.3970037453183521,0.7116104868913857,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,030308
