unit_code,ACTCompositeScore_UNCMin_TwoorMoreRaces,ACTEnglish_ACTBenchmark_TwoorMoreRaces,ACTMath_ACTBenchmark_TwoorMoreRaces,ACTReading_ACTBenchmark_TwoorMoreRaces,ACTScience_ACTBenchmark_TwoorMoreRaces,ACTSubtests_BenchmarksMet_TwoorMoreRaces,ACTWorkKeys_SilverPlus_TwoorMoreRaces,ACTWriting_ACTBenchmark_TwoorMoreRaces,EOCBiology_CACR_TwoorMoreRaces,EOCBiology_GLP_TwoorMoreRaces,EOCEnglish2_CACR_TwoorMoreRaces,EOCEnglish2_GLP_TwoorMoreRaces,EOCMathI_CACR_TwoorMoreRaces,EOCMathI_GLP_TwoorMoreRaces,EOCSubjects_CACR_TwoorMoreRaces,EOCSubjects_GLP_TwoorMoreRaces,EOG/EOCSubjects_CACR_TwoorMoreRaces,EOG/EOCSubjects_GLP_TwoorMoreRaces,EOGGr3_CACR_TwoorMoreRaces,EOGGr3_GLP_TwoorMoreRaces,EOGGr4_CACR_TwoorMoreRaces,EOGGr4_GLP_TwoorMoreRaces,EOGGr5_CACR_TwoorMoreRaces,EOGGr5_GLP_TwoorMoreRaces,EOGGr6_CACR_TwoorMoreRaces,EOGGr6_GLP_TwoorMoreRaces,EOGGr7_CACR_TwoorMoreRaces,EOGGr7_GLP_TwoorMoreRaces,EOGGr8_CACR_TwoorMoreRaces,EOGGr8_GLP_TwoorMoreRaces,EOGMathGr3_CACR_TwoorMoreRaces,EOGMathGr3_GLP_TwoorMoreRaces,EOGMathGr3-8_CACR_TwoorMoreRaces,EOGMathGr3-8_GLP_TwoorMoreRaces,EOGMathGr4_CACR_TwoorMoreRaces,EOGMathGr4_GLP_TwoorMoreRaces,EOGMathGr5_CACR_TwoorMoreRaces,EOGMathGr5_GLP_TwoorMoreRaces,EOGMathGr6_CACR_TwoorMoreRaces,EOGMathGr6_GLP_TwoorMoreRaces,EOGMathGr7_CACR_TwoorMoreRaces,EOGMathGr7_GLP_TwoorMoreRaces,EOGMathGr8_CACR_TwoorMoreRaces,EOGMathGr8_GLP_TwoorMoreRaces,EOGReadingGr3_CACR_TwoorMoreRaces,EOGReadingGr3_GLP_TwoorMoreRaces,EOGReadingGr3-8_CACR_TwoorMoreRaces,EOGReadingGr3-8_GLP_TwoorMoreRaces,EOGReadingGr4_CACR_TwoorMoreRaces,EOGReadingGr4_GLP_TwoorMoreRaces,EOGReadingGr5_CACR_TwoorMoreRaces,EOGReadingGr5_GLP_TwoorMoreRaces,EOGReadingGr6_CACR_TwoorMoreRaces,EOGReadingGr6_GLP_TwoorMoreRaces,EOGReadingGr7_CACR_TwoorMoreRaces,EOGReadingGr7_GLP_TwoorMoreRaces,EOGReadingGr8_CACR_TwoorMoreRaces,EOGReadingGr8_GLP_TwoorMoreRaces,EOGScienceGr5_CACR_TwoorMoreRaces,EOGScienceGr5_GLP_TwoorMoreRaces,EOGScienceGr5&8_CACR_TwoorMoreRaces,EOGScienceGr5&8_GLP_TwoorMoreRaces,EOGScienceGr8_CACR_TwoorMoreRaces,EOGScienceGr8_GLP_TwoorMoreRaces,EOGSubjects_CACR_TwoorMoreRaces,EOGSubjects_GLP_TwoorMoreRaces,GraduationRate_4yr_TwoorMoreRaces,GraduationRate_5yr_TwoorMoreRaces
010,43.3,30.0,18.3,16.7,11.7,19.1,50.0,18.6,36.1,44.4,38.9,51.4,38.9,47.8,38.0,47.9,38.1,49.6,41.4,58.0,37.2,48.1,42.5,53.9,37.3,55.2,33.1,39.5,35.4,43.7,37.0,56.8,34.7,44.7,32.1,42.3,47.9,56.2,35.8,46.3,30.6,37.1,23.2,26.1,45.7,59.3,38.6,50.7,42.3,53.8,38.4,46.6,38.8,64.2,35.5,41.9,29.0,36.2,41.1,58.9,47.5,63.8,54.4,69.1,38.2,50.0,82.6,88.4
010303,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
010304,,,,,,,,,,,,,,,,,63.6,72.7,70.0,80.0,66.7,66.7,50.0,66.7,,,,,,,60.0,80.0,60.0,70.0,0.0,0.0,0.0,0.0,,,,,,,80.0,80.0,70.0,70.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,63.6,72.7,,
010308,,,,,,,,,,,,,,,,,56.3,68.8,0.0,0.0,33.3,50.0,50.0,66.7,,,,,,,0.0,0.0,71.4,71.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,57.1,71.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,56.3,68.8,,
010310,,,,,,,,,,,,,0.0,0.0,0.0,0.0,24.7,36.4,,,,,,,38.5,57.7,20.0,25.0,16.7,26.7,,,15.2,24.2,,,,,30.8,46.2,10.0,10.0,0.0,10.0,,,30.3,45.5,,,,,46.2,69.2,30.0,40.0,10.0,20.0,,,40.0,50.0,40.0,50.0,25.0,36.8,,
010312,,,,,,,,,,,,,,,,,69.7,78.8,60.0,90.0,100.0,100.0,60.0,60.0,,,,,,,60.0,100.0,71.4,85.7,0.0,0.0,60.0,60.0,,,,,,,60.0,80.0,71.4,78.6,0.0,0.0,60.0,60.0,,,,,,,60.0,60.0,60.0,60.0,,,69.7,78.8,,
010320,,,,,,,,,,,,,,,,,69.2,84.6,0.0,0.0,0.0,0.0,66.7,77.8,,,,,,,0.0,0.0,60.0,100.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,69.2,84.6,,
010324,50.0,40.0,20.0,20.0,20.0,28.0,0.0,40.0,50.0,60.0,61.1,72.2,38.5,53.8,51.0,62.7,51.0,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.9,66.7
010326,,,,,,,,,,,,,,,,,0.0,21.4,0.0,33.3,0.0,0.0,0.0,16.7,,,,,,,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,21.4,,
010328,,,,,,,,,,,,,,,,,5.3,31.6,0.0,0.0,16.7,66.7,0.0,0.0,,,,,,,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,12.5,37.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,5.3,31.6,,
