unit_code,pct_GCE_ALL,pct_GCE_LEP,pct_GCE_PRM,pct_GCE_RPF,pct_GCE_SWD,pct_PASSED_EOG,pct_PASSED_LAA,pct_PASSED_RTA,pct_PROMOTED,pct_RETAINED
010304,0.17,,,0.125,,0.625,0.057,,0.8859999999999999,0.114
010308,0.136,,,0.07400000000000001,0.062,0.63,0.07400000000000001,,0.914,0.086
010312,0.114,,,0.065,,0.74,,,0.943,0.057
010320,0.094,,,,,0.736,,,0.9059999999999999,0.094
010326,0.11699999999999999,,,,0.11699999999999999,0.273,0.14300000000000002,,0.636,0.364
010328,0.121,,,0.071,0.051,0.727,,,0.9390000000000001,0.061
010340,0.134,,,0.11599999999999999,,0.7140000000000001,0.054000000000000006,,0.938,0.063
010346,0.083,,,,,0.633,,,0.8170000000000001,0.183
010347,0.162,,,0.1,0.062,0.5920000000000001,,,0.838,0.162
010351,0.085,,,,,0.34,0.17,,0.7340000000000001,0.266
010354,0.075,,,,,0.311,0.20800000000000002,,0.679,0.321
010357,0.022000000000000002,,,,,0.33,0.14300000000000002,,0.626,0.374
010358,0.078,,,,0.067,0.433,0.21100000000000002,,0.878,0.122
010362,0.115,,,,0.064,0.705,0.077,,0.9359999999999999,0.064
010364,0.16399999999999998,,,0.09,,0.507,0.16399999999999998,,0.8959999999999999,0.10400000000000001
010372,0.14300000000000002,,,,,0.5479999999999999,,,0.833,0.16699999999999998
010374,0.153,,,0.08199999999999999,0.071,0.429,0.061,0.051,0.7859999999999999,0.214
010380,0.221,,,0.174,,0.326,,,0.6509999999999999,0.349
010384,0.078,,,,,0.612,,0.057999999999999996,0.8640000000000001,0.136
010392,0.087,,,,,0.696,,,0.848,0.152
01B000,0.07400000000000001,,,,,0.852,,,0.9440000000000001,
01C000,0.326,,,0.196,0.109,0.609,,,0.95,
020304,0.136,,,0.114,,0.705,0.14800000000000002,,0.95,
020308,0.132,,,,0.132,0.604,0.245,,0.95,
020316,0.225,,,0.155,0.07,0.521,0.16899999999999998,,0.95,
020320,0.0,,,,,0.649,0.21600000000000003,,0.95,
020324,0.048,,,,,0.5479999999999999,0.35700000000000004,,0.95,
020328,0.07,,,,,0.628,0.18600000000000003,,0.95,
020332,0.213,,,0.18,,0.672,0.08199999999999999,,0.95,
030308,0.28,,,0.2,,0.68,,,0.95,
030316,0.294,,,0.294,,0.647,,,0.95,
030320,0.282,,,0.19699999999999998,0.085,0.7040000000000001,,,0.95,
040308,0.08,,,,,0.76,,,0.95,
040311,0.233,,,0.14,0.081,0.349,0.163,,0.779,0.221
040316,0.25,,,0.114,0.136,0.568,,,0.932,
040324,0.2,,,,,0.33299999999999996,,,0.6,0.4
040328,0.03,,,,,0.636,0.22699999999999998,,0.9390000000000001,
050310,0.11599999999999999,,,,0.07200000000000001,0.609,0.10099999999999999,,0.884,0.11599999999999999
050330,0.177,,,0.063,0.114,0.608,0.139,,0.924,0.076
050335,0.055999999999999994,,,,0.055999999999999994,0.7,0.14400000000000002,,0.9440000000000001,0.055999999999999994
060304,0.20600000000000002,,,0.147,,0.618,,,0.941,
060316,0.20600000000000002,,,0.17600000000000002,,0.765,,,0.95,
060322,0.156,,,0.133,,0.733,,,0.95,
060328,0.35100000000000003,,,0.162,0.162,0.595,,,0.95,
060332,0.55,,,0.5,,0.35,,,0.95,
06B000,0.375,,,,,,,,0.75,
070308,0.33299999999999996,,,0.33299999999999996,,0.556,,,0.9259999999999999,
070326,0.09,,,0.05,,0.84,,,0.95,
070327,0.121,,,,0.069,0.5710000000000001,,,0.855,0.145
070329,0.036000000000000004,,,,,0.48200000000000004,0.214,,0.821,0.179
070340,0.154,,,,,,,,0.615,0.385
07A000,0.079,,,,,0.895,,,0.95,
080348,0.061,,,,,0.455,0.152,,0.758,0.242
080356,0.021,,,,,0.40399999999999997,,,0.723,0.27699999999999997
080360,0.083,,,,,0.41700000000000004,,,0.6940000000000001,0.306
080362,0.062,,,,,0.385,0.077,,0.662,0.33799999999999997
08A000,0.04,,,,,0.3,,,0.5,0.5
090304,0.027000000000000003,,,,,0.541,,,0.757,0.243
090317,0.16699999999999998,,,0.141,,0.5770000000000001,0.10300000000000001,,0.885,0.115
090318,0.25,,,0.125,,0.625,,,0.917,
090324,0.07400000000000001,,,,,0.593,0.16699999999999998,,0.889,0.111
090328,0.2,,,,,0.467,,,0.667,0.33299999999999996
090333,0.301,,,0.214,0.078,0.33,0.087,,0.7959999999999999,0.204
090352,0.237,,,0.132,,0.579,,,0.9470000000000001,
100302,0.08199999999999999,,,0.052000000000000005,,0.687,,,0.851,0.149
100304,0.013999999999999999,,,,,0.581,,,0.649,0.35100000000000003
100310,0.243,,,0.203,,0.541,,,0.8109999999999999,0.18899999999999997
100320,0.0,,,,,0.489,,,0.522,0.478
100336,0.077,,,0.077,,0.7090000000000001,0.085,,0.889,0.111
100338,0.23800000000000002,,,0.152,0.076,0.59,,,0.848,0.152
100339,0.21600000000000003,,,,0.159,0.591,,,0.8640000000000001,0.136
100340,0.045,,,,,0.685,0.081,,0.838,0.162
100342,0.20800000000000002,,,0.168,,0.634,,,0.861,0.139
100344,0.0,,,,,0.532,,,0.645,0.355
10A000,0.01,,,,,0.792,,,0.8809999999999999,0.11900000000000001
110308,0.054000000000000006,,,,,0.757,,,0.95,
110320,0.191,,,0.091,0.1,0.7,,,0.945,0.055
110324,0.226,,,0.19,,0.595,0.06,,0.8809999999999999,0.11900000000000001
110332,0.204,,,0.09300000000000001,0.111,0.7040000000000001,,,0.907,0.09300000000000001
110348,0.07400000000000001,,,,,0.457,0.198,,0.778,0.222
110356,0.09,,,,0.09,0.685,0.11699999999999999,,0.9279999999999999,0.07200000000000001
110366,0.11800000000000001,,,,0.098,0.735,,,0.941,0.059000000000000004
110368,0.0,,,,,0.687,,,0.746,0.254
110370,0.073,,,,0.061,0.634,0.098,,0.841,0.159
110372,0.02,,,,,0.531,,,0.612,0.38799999999999996
110376,0.11699999999999999,,,,0.11699999999999999,0.563,0.136,,0.8640000000000001,0.136
110379,0.087,,,,0.07200000000000001,0.623,0.225,,0.95,
110384,0.027999999999999997,,,,,0.535,,,0.662,0.33799999999999997
110388,0.11900000000000001,,,,,0.738,,,0.929,
110408,0.136,,,,0.136,0.6,,,0.848,0.152
110410,0.157,,,0.142,,0.614,,,0.85,0.15
110412,0.046,,,,,0.738,,,0.892,0.10800000000000001
110422,0.139,,,,0.08800000000000001,0.715,,,0.92,0.08
110428,0.136,,,,0.091,0.705,0.053,,0.95,
110436,0.105,,,,0.083,0.5710000000000001,0.06,,0.835,0.165
110444,0.233,,,,0.16699999999999998,0.5329999999999999,0.2,,0.95,
111304,0.139,,,,0.139,0.667,,,0.889,
111306,0.111,,,,0.111,0.654,0.17300000000000001,,0.95,
111312,0.065,,,,0.065,0.675,0.091,,0.909,0.091
111332,0.064,,,,0.064,0.795,0.115,,0.95,
111360,0.051,,,,,0.782,0.115,,0.95,
11A000,0.16699999999999998,,,,0.16699999999999998,0.7290000000000001,0.10400000000000001,,0.95,
11B000,0.073,,,,,0.805,,,0.95,
11C000,0.098,,,,0.098,0.804,,,0.95,
11K000,0.055999999999999994,,,,,0.667,,,0.889,
120304,0.156,,,,,0.5,,,0.75,0.25
120312,0.16399999999999998,,,0.096,0.068,0.575,0.068,,0.945,
120316,0.14300000000000002,,,,0.086,0.586,,,0.8140000000000001,0.18600000000000003
120320,0.22699999999999998,,,0.091,0.136,0.561,0.152,,0.95,
120324,0.154,,,0.138,,0.631,0.077,,0.892,0.10800000000000001
120338,0.075,,,,,0.6,0.2,,0.95,
120340,0.115,,,,0.064,0.423,0.192,,0.846,0.154
120344,0.171,,,,,0.657,,,0.943,
120352,0.4,,,,,,,,0.95,
120360,0.233,,,,0.18600000000000003,0.488,0.18600000000000003,,0.93,
120364,0.024,,,,,0.659,0.171,,0.915,0.085
120368,0.10300000000000001,,,,,0.809,,,0.95,
120372,0.081,,,,,0.784,0.135,,0.95,
120374,0.154,,,,0.121,0.736,,,0.945,0.055
120380,0.08800000000000001,,,,,0.647,0.191,,0.95,
120386,0.344,,,0.203,0.141,0.594,,,0.95,
12A000,0.025,,,,,0.725,,,0.825,0.175
130304,0.066,,,,0.059000000000000004,0.539,0.092,,0.7959999999999999,0.204
130308,0.07200000000000001,,,,0.07200000000000001,0.598,0.124,,0.856,0.14400000000000002
130309,0.0,,,,,0.545,0.127,,0.745,0.255
130311,0.062,,,,,0.654,0.07400000000000001,,0.852,0.14800000000000002
130312,0.057,,,,0.05,0.764,0.1,,0.95,0.05
130319,0.016,,,,,0.855,0.102,,0.95,
130321,0.081,,,,0.066,0.551,0.125,,0.816,0.184
130322,0.071,,,,0.071,0.625,0.152,,0.893,0.107
130325,0.094,,,,0.087,0.674,0.094,,0.9059999999999999,0.094
130328,0.0,,,,,0.39299999999999996,,,0.607,0.39299999999999996
130329,0.107,,,,0.107,0.451,0.205,,0.8440000000000001,0.156
130330,0.109,,,,0.109,0.522,0.152,,0.804,0.196
130331,0.073,,,,0.06,0.6729999999999999,0.147,,0.907,0.09300000000000001
130336,0.044000000000000004,,,,,0.7909999999999999,0.063,,0.924,0.076
130338,0.099,,,,0.09300000000000001,0.503,0.086,,0.735,0.265
130340,0.11699999999999999,,,,0.10400000000000001,0.48100000000000004,0.10400000000000001,,0.727,0.273
130342,0.107,,,,0.099,0.496,0.099,,0.7559999999999999,0.244
130344,0.025,,,,,0.55,0.175,,0.825,0.175
130345,0.055999999999999994,,,,0.055999999999999994,0.784,0.055999999999999994,,0.9259999999999999,0.07400000000000001
132308,0.067,,,,,0.5,0.057999999999999996,,0.76,0.24
132312,0.046,,,,,0.414,0.092,,0.6779999999999999,0.322
132328,0.022000000000000002,,,,,0.326,0.11199999999999999,,0.685,0.315
132332,0.185,,,,0.185,0.40700000000000003,0.16,,0.852,0.14800000000000002
132336,0.156,,,,0.08900000000000001,0.344,0.14400000000000002,,0.833,0.16699999999999998
13A000,0.057,,,,,0.7140000000000001,,0.086,0.914,0.086
13B000,0.02,,,,,0.8220000000000001,0.11900000000000001,,0.95,
13C000,0.0,,,,,0.48100000000000004,,,0.593,0.40700000000000003
140304,0.071,,,,0.071,0.586,0.157,,0.914,0.086
140307,0.28600000000000003,,,,,,,,0.857,
140308,0.156,,,0.156,,0.75,,,0.95,
140312,0.08,,,,,0.614,0.159,,0.8859999999999999,0.114
