closed_ind,title1_type_cd,clp_ind,focus_clp_ind,summer_program_ind,asm_no_spg_ind,no_data_spg_ind,student_num,lea_avg_student_num,Grad_project_status,00_Size,01_Size,02_Size,03_Size,04_Size,05_Size,lea_total_expense_num,lea_salary_expense_pct,lea_benefits_expense_pct,lea_services_expense_pct,lea_supplies_expense_pct,lea_instruct_equip_exp_pct,lea_federal_perpupil_num,lea_local_perpupil_num,lea_state_perpupil_num,SPG Score,Reading  SPG Score,Math SPG Score,EVAAS Growth Score,Overall Achievement Score,Read Score,Math Score,Science Score,MathGr3-8_pTarget_PctMet,ReadingGr3-8_pTarget_PctMet,SciGr5&8_pTarget_PctMet,TotalTargets_pTarget_PctMet,lea_sat_avg_score_num,lea_sat_participation_pct,lea_ap_participation_pct,lea_ap_pct_3_or_above,avg_daily_attend_pct,crime_per_c_num,short_susp_per_c_num,long_susp_per_c_num,expelled_per_c_num,stud_internet_comp_num,lea_avg_daily_attend_pct,lea_crime_per_c_num,lea_short_susp_per_c_num,lea_long_susp_per_c_num,lea_expelled_per_c_num,lea_stud_internet_comp_num,digital_media_pct,books_per_student,lea_books_per_student,flicensed_teach_pct,tchyrs_0thru3_pct,tchyrs_4thru10_pct,tchyrs_11plus_pct,class_teach_num,nbpts_num,advance_dgr_pct,_1yr_tchr_trnovr_pct,highqual_class_pct,lea_flicensed_teach_pct,lea_tchyrs_0thru3_pct,lea_tchyrs_4thru10_pct,lea_tchyrs_11plus_pct,lea_class_teach_num,lea_nbpts_num,lea_advance_dgr_pct,lea_1yr_tchr_trnovr_pct,lea_emer_prov_teach_pct,lea_lateral_teach_pct,lea_highqual_class_pct,lea_highqual_class_hp_pct,lea_highqual_class_lp_pct,lea_highqual_class_all_pct,lea_not_highqual_class_hp_pct,lea_not_highqual_class_lp_pct,lea_not_highqual_class_all_pct,0-3 Years_Exp_Pct_Tch,10+ Years_Exp_Pct_Tch,4-10 Years_Exp_Pct_Tch,0-3 Years_LEA_Exp_Pct_Prin,10+ Years_LEA_Exp_Pct_Prin,4-10 Years_LEA_Exp_Pct_Prin,Accomplished_TCHR_Standard 1_Pct,Accomplished_TCHR_Standard 2_Pct,Accomplished_TCHR_Standard 3_Pct,Accomplished_TCHR_Standard 4_Pct,Accomplished_TCHR_Standard 5_Pct,Developing_TCHR_Standard 1_Pct,Developing_TCHR_Standard 2_Pct,Developing_TCHR_Standard 3_Pct,Developing_TCHR_Standard 4_Pct,Developing_TCHR_Standard 5_Pct,Distinguished_TCHR_Standard 1_Pct,Distinguished_TCHR_Standard 2_Pct,Distinguished_TCHR_Standard 3_Pct,Distinguished_TCHR_Standard 4_Pct,Distinguished_TCHR_Standard 5_Pct,Does Not Meet Expected Growth_TCHR_Standard 6_Pct,Exceeds Expected Growth_TCHR_Standard 6_Pct,Meets Expected Growth_TCHR_Standard 6_Pct,Not Demostrated_TCHR_Standard 1_Pct,Not Demostrated_TCHR_Standard 2_Pct,Not Demostrated_TCHR_Standard 3_Pct,Not Demostrated_TCHR_Standard 4_Pct,Not Demostrated_TCHR_Standard 5_Pct,Proficient_TCHR_Standard 1_Pct,Proficient_TCHR_Standard 2_Pct,Proficient_TCHR_Standard 3_Pct,Proficient_TCHR_Standard 4_Pct,Proficient_TCHR_Standard 5_Pct,AsianFemalePct,AsianMalePct,AsianPct,BlackFemalePct,BlackMalePct,BlackPct,HispanicFemalePct,HispanicMalePct,HispanicPct,IndianFemalePct,IndianMalePct,IndianPct,MinorityFemalePct,MinorityMalePct,MinorityPct,PacificIslandFemalePct,PacificIslandMalePct,PacificIslandPct,TwoOrMoreFemalePct,TwoOrMoreMalePct,TwoOrMorePct,WhiteFemalePct,WhiteMalePct,WhitePct,LPS,category_cd_E,category_cd_I,"calendar_type_txt_Regular School, Traditional Calendar plus Year-Round Calendar","calendar_type_txt_Regular School, Year-Round Calendar",sna_pgm_type_cd_X,sna_pgm_type_cd_Y,calendar_only_txt_Traditional Calendar plus Year-Round Calendar,calendar_only_txt_Year-Round Calendar,esea_status_Esea_Pass,esea_status_Non_Esea,SBE Region_Northeast,SBE Region_Northwest,SBE Region_Piedmont-Triad,SBE Region_Sandhills,SBE Region_Southeast,SBE Region_Southwest,SBE Region_Western,SPG Grade_A+NG,SPG Grade_B,SPG Grade_C,SPG Grade_D,SPG Grade_F,SPG Grade_I,Reading SPG Grade_B,Reading SPG Grade_C,Reading SPG Grade_D,Reading SPG Grade_F,Math SPG Grade_B,Math SPG Grade_C,Math SPG Grade_D,Math SPG Grade_F,EVAAS Growth Status_Met,EVAAS Growth Status_NotMet,State Gap Compared_Insufficient Data,State Gap Compared_Less Than,Category_Cd_E,Category_Cd_I,esea_attendance_Met,Byod_YES,_1_to_1_access_YES,lea_avg_age_media_collection_1936,lea_avg_age_media_collection_1988,lea_avg_age_media_collection_1991,lea_avg_age_media_collection_1993,lea_avg_age_media_collection_1994,lea_avg_age_media_collection_1995,lea_avg_age_media_collection_1996,lea_avg_age_media_collection_1997,lea_avg_age_media_collection_1998,lea_avg_age_media_collection_1999,lea_avg_age_media_collection_2000,lea_avg_age_media_collection_2001,lea_avg_age_media_collection_2002,lea_avg_age_media_collection_2003,lea_avg_age_media_collection_2005,lea_avg_age_media_collection_2006,lea_avg_age_media_collection_2007,lea_avg_age_media_collection_2010,unit_code
0.0,0,0,0,0,0,0,528.0,523.0,0,20.0,18.0,19.0,17.0,23.0,27.0,8317.5,0.62,0.208,0.08,0.084,0.008,1066.75,1853.39,5397.36,69.0,66.0,67.0,92.0,63.0,61.0,61.0,80.0,1.0,0.9,1.0,0.963,959.0,0.56,0.12,0.4,0.956,0.19,0.76,0.0,0.0,2.1,0.941,0.3,4.06,0.02,0.0,1.23,0.0001,16.0,15.0,0.971,0.171,0.371,0.457,35.0,7.0,0.229,0.136,1.0,0.973,0.266,0.254,0.479,37.0,5.0,0.255,0.142,0.001,0.015,0.987,0.959,0.959,0.963,0.0409999999999999,0.0409999999999999,0.037000000000000005,0.171,0.457,0.371,0.472,0.083,0.444,0.6940000000000001,0.429,0.35700000000000004,0.722,0.429,0.0,0.0,0.14300000000000002,0.0,0.071,0.083,0.0,0.0,0.056,0.0,0.077,0.308,0.615,0.0,0.0,0.0,0.0,0.0,0.222,0.5710000000000001,0.5,0.222,0.5,0.0018796992481203009,0.0018796992481203009,0.003759398496240601,0.03759398496240601,0.03571428571428571,0.07330827067669173,0.11466165413533835,0.11842105263157895,0.2330827067669173,0.0,0.0,0.0,0.17481203007518795,0.17669172932330826,0.35150375939849626,0.0,0.0,0.0,0.02067669172932331,0.02067669172932331,0.04135338345864661,0.3176691729323308,0.3308270676691729,0.6484962406015038,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,010304
0.0,0,0,0,0,0,0,554.0,523.0,0,18.0,20.0,22.0,19.0,25.0,24.0,8317.5,0.62,0.208,0.08,0.084,0.008,1066.75,1853.39,5397.36,69.0,66.0,73.0,72.5,68.0,63.0,72.0,72.0,1.0,0.75,1.0,0.913,959.0,0.56,0.12,0.4,0.953,0.54,1.62,0.0,0.0,2.02,0.941,0.3,4.06,0.02,0.0,1.23,0.0,24.0,15.0,1.0,0.029,0.235,0.735,33.0,12.0,0.588,0.073,1.0,0.973,0.266,0.254,0.479,37.0,5.0,0.255,0.142,0.001,0.015,0.987,0.959,0.959,0.963,0.0409999999999999,0.0409999999999999,0.037000000000000005,0.029,0.735,0.235,0.472,0.083,0.444,0.743,0.818,0.727,0.857,0.636,0.029,0.091,0.091,0.029,0.091,0.114,0.0,0.0,0.0,0.0,0.0,0.08,0.92,0.0,0.0,0.0,0.0,0.0,0.114,0.091,0.182,0.114,0.273,0.0017857142857142854,0.0017857142857142854,0.0035714285714285718,0.028571428571428567,0.039285714285714285,0.06785714285714285,0.05892857142857143,0.048214285714285716,0.10714285714285714,0.0,0.0017857142857142854,0.0017857142857142854,0.10357142857142858,0.11071428571428572,0.21428571428571427,0.0017857142857142854,0.0017857142857142854,0.0035714285714285718,0.0125,0.017857142857142856,0.030357142857142857,0.3821428571428571,0.4035714285714286,0.7857142857142857,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,010308
0.0,0,0,0,0,0,0,654.0,523.0,0,22.0,21.0,23.0,21.0,18.0,19.0,8317.5,0.62,0.208,0.08,0.084,0.008,1066.75,1853.39,5397.36,74.0,75.0,71.0,86.3,71.0,73.0,68.0,73.0,1.0,1.0,1.0,1.0,959.0,0.56,0.12,0.4,0.957,0.15,1.68,0.15,0.0,1.97,0.941,0.3,4.06,0.02,0.0,1.23,0.0001,15.0,15.0,0.955,0.289,0.333,0.378,45.0,4.0,0.35600000000000004,0.193,0.971,0.973,0.266,0.254,0.479,37.0,5.0,0.255,0.142,0.001,0.015,0.987,0.959,0.959,0.963,0.0409999999999999,0.0409999999999999,0.037000000000000005,0.289,0.378,0.333,0.472,0.083,0.444,0.565,0.625,0.406,0.5870000000000001,0.406,0.043,0.063,0.031,0.043,0.063,0.109,0.031,0.031,0.043,0.094,0.281,0.063,0.6559999999999999,0.0,0.0,0.0,0.0,0.0,0.28300000000000003,0.281,0.531,0.326,0.438,0.02623456790123457,0.02623456790123457,0.05246913580246913,0.07561728395061729,0.06944444444444445,0.14506172839506173,0.07253086419753088,0.061728395061728385,0.13425925925925927,0.0,0.00308641975308642,0.00308641975308642,0.18981481481481485,0.1851851851851852,0.375,0.0,0.0,0.0,0.015432098765432096,0.02469135802469136,0.040123456790123455,0.2916666666666667,0.3333333333333333,0.625,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,010312
0.0,0,0,0,0,0,0,314.0,523.0,0,18.0,16.0,14.0,16.0,19.0,18.0,8317.5,0.62,0.208,0.08,0.084,0.008,1066.75,1853.39,5397.36,73.0,72.0,73.0,91.5,68.0,69.0,68.0,67.0,1.0,1.0,1.0,1.0,959.0,0.56,0.12,0.4,0.946,0.0,7.32,0.0,0.0,1.05,0.941,0.3,4.06,0.02,0.0,1.23,0.0,29.0,15.0,1.0,0.185,0.222,0.593,27.0,8.0,0.333,0.168,0.95,0.973,0.266,0.254,0.479,37.0,5.0,0.255,0.142,0.001,0.015,0.987,0.959,0.959,0.963,0.0409999999999999,0.0409999999999999,0.037000000000000005,0.185,0.593,0.222,0.472,0.083,0.444,0.35700000000000004,0.313,0.25,0.321,0.313,0.036000000000000004,0.063,0.125,0.071,0.063,0.107,0.063,0.063,0.071,0.063,0.125,0.313,0.563,0.0,0.0,0.0,0.0,0.0,0.5,0.563,0.563,0.536,0.563,0.00964630225080386,0.0,0.00964630225080386,0.09967845659163987,0.05787781350482315,0.15755627009646306,0.05144694533762058,0.0707395498392283,0.12218649517684887,0.003215434083601286,0.003215434083601286,0.006430868167202572,0.18006430868167206,0.14469453376205788,0.3247588424437299,0.0,0.0,0.0,0.01607717041800643,0.012861736334405145,0.028938906752411574,0.3086816720257235,0.3665594855305466,0.6752411575562701,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,010320
0.0,1,0,0,0,0,0,529.0,523.0,0,20.0,21.0,21.0,19.0,17.0,21.0,8317.5,0.62,0.208,0.08,0.084,0.008,1066.75,1853.39,5397.36,31.0,33.0,33.0,69.1,22.0,23.0,21.0,18.0,0.5,0.5,0.5,0.515,959.0,0.56,0.12,0.4,0.941,0.19,8.13,0.0,0.0,0.59,0.941,0.3,4.06,0.02,0.0,1.23,0.0,13.0,15.0,0.929,0.476,0.28600000000000003,0.238,42.0,3.0,0.214,0.28600000000000003,0.964,0.973,0.266,0.254,0.479,37.0,5.0,0.255,0.142,0.001,0.015,0.987,0.959,0.959,0.963,0.0409999999999999,0.0409999999999999,0.037000000000000005,0.476,0.238,0.28600000000000003,0.472,0.083,0.444,0.4,0.412,0.265,0.5,0.294,0.075,0.059,0.206,0.1,0.029,0.2,0.118,0.029,0.05,0.118,0.038,0.038,0.923,0.0,0.0,0.0,0.0,0.0,0.325,0.412,0.5,0.35,0.5589999999999999,0.00398406374501992,0.00398406374501992,0.00796812749003984,0.1752988047808765,0.17330677290836655,0.34860557768924305,0.2788844621513944,0.2370517928286853,0.5159362549800797,0.00199203187250996,0.0,0.00199203187250996,0.4701195219123506,0.4223107569721116,0.8924302788844621,0.00199203187250996,0.0,0.00199203187250996,0.00796812749003984,0.00796812749003984,0.01593625498007968,0.0398406374501992,0.06772908366533864,0.10756972111553784,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,010326
0.0,0,0,0,0,0,0,637.0,523.0,0,19.0,22.0,20.0,24.0,24.0,21.0,8317.5,0.62,0.208,0.08,0.084,0.008,1066.75,1853.39,5397.36,62.0,67.0,61.0,68.5,60.0,63.0,61.0,50.0,0.75,0.625,0.5,0.652,959.0,0.56,0.12,0.4,0.951,0.16,2.35,0.0,0.0,2.58,0.941,0.3,4.06,0.02,0.0,1.23,0.0001,18.0,15.0,1.0,0.25,0.2,0.55,40.0,9.0,0.293,0.08800000000000001,0.984,0.973,0.266,0.254,0.479,37.0,5.0,0.255,0.142,0.001,0.015,0.987,0.959,0.959,0.963,0.0409999999999999,0.0409999999999999,0.037000000000000005,0.25,0.55,0.2,0.472,0.083,0.444,0.513,0.5,0.15,0.564,0.25,0.026,0.05,0.1,0.051,0.05,0.026,0.0,0.0,0.026,0.0,0.179,0.107,0.7140000000000001,0.0,0.0,0.0,0.0,0.0,0.436,0.45,0.75,0.359,0.7,0.003194888178913738,0.003194888178913738,0.006389776357827476,0.01597444089456869,0.01757188498402556,0.03354632587859425,0.03194888178913738,0.03514376996805112,0.0670926517571885,0.004792332268370607,0.0,0.004792332268370607,0.07028753993610222,0.06389776357827476,0.134185303514377,0.0,0.001597444089456869,0.001597444089456869,0.014376996805111819,0.006389776357827476,0.020766773162939296,0.41373801916932906,0.4520766773162939,0.8658146964856229,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,010328
0.0,0,0,0,0,0,0,632.0,523.0,0,21.0,20.0,20.0,21.0,26.0,24.0,8317.5,0.62,0.208,0.08,0.084,0.008,1066.75,1853.39,5397.36,60.0,65.0,52.0,79.2,55.0,60.0,48.0,60.0,0.5,0.5710000000000001,0.5710000000000001,0.556,959.0,0.56,0.12,0.4,0.956,0.0,2.37,0.0,0.0,1.9,0.941,0.3,4.06,0.02,0.0,1.23,0.0,20.0,15.0,1.0,0.205,0.231,0.564,38.0,3.0,0.282,0.14300000000000002,1.0,0.973,0.266,0.254,0.479,37.0,5.0,0.255,0.142,0.001,0.015,0.987,0.959,0.959,0.963,0.0409999999999999,0.0409999999999999,0.037000000000000005,0.205,0.564,0.231,0.472,0.083,0.444,0.757,0.833,0.833,0.73,0.833,0.027000000000000003,0.0,0.0,0.027000000000000003,0.0,0.027000000000000003,0.0,0.0,0.0,0.0,0.3,0.033,0.667,0.0,0.0,0.0,0.0,0.0,0.189,0.16699999999999998,0.16699999999999998,0.243,0.16699999999999998,0.008012820512820512,0.00641025641025641,0.014423076923076926,0.04166666666666666,0.07371794871794872,0.1153846153846154,0.05288461538461538,0.049679487179487176,0.10256410256410256,0.0016025641025641025,0.003205128205128205,0.004807692307692308,0.13141025641025642,0.15544871794871795,0.28685897435897434,0.0,0.0,0.0,0.027243589743589744,0.02243589743589744,0.049679487179487176,0.3878205128205128,0.32532051282051283,0.7131410256410257,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,010340
0.0,1,0,0,0,0,0,409.0,523.0,0,21.0,18.0,18.0,20.0,16.0,17.0,8317.5,0.62,0.208,0.08,0.084,0.008,1066.75,1853.39,5397.36,58.0,61.0,55.0,74.9,54.0,56.0,50.0,58.0,0.5710000000000001,0.5710000000000001,0.5,0.5710000000000001,959.0,0.56,0.12,0.4,0.951,0.0,1.47,0.0,0.0,0.9,0.941,0.3,4.06,0.02,0.0,1.23,0.0001,13.0,15.0,0.967,0.32299999999999995,0.194,0.484,30.0,2.0,0.133,0.109,0.958,0.973,0.266,0.254,0.479,37.0,5.0,0.255,0.142,0.001,0.015,0.987,0.959,0.959,0.963,0.0409999999999999,0.0409999999999999,0.037000000000000005,0.32299999999999995,0.484,0.194,0.472,0.083,0.444,0.5479999999999999,0.333,0.111,0.29,0.389,0.0,0.0,0.111,0.0,0.056,0.032,0.056,0.0,0.0,0.056,0.182,0.0,0.818,0.0,0.0,0.0,0.0,0.0,0.419,0.611,0.778,0.71,0.5,0.0024213075060532693,0.0024213075060532693,0.004842615012106539,0.0387409200968523,0.05569007263922518,0.09443099273607747,0.08232445520581114,0.09443099273607747,0.17675544794188866,0.0024213075060532693,0.0024213075060532693,0.004842615012106539,0.14527845036319612,0.17675544794188866,0.3220338983050847,0.0,0.0,0.0,0.01937046004842615,0.021791767554479417,0.04116222760290557,0.33171912832929784,0.34624697336561744,0.6779661016949152,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,010346
0.0,1,0,0,0,0,0,652.0,523.0,0,22.0,21.0,19.0,21.0,27.0,23.0,8317.5,0.62,0.208,0.08,0.084,0.008,1066.75,1853.39,5397.36,63.0,61.0,66.0,72.4,61.0,58.0,63.0,64.0,1.0,0.857,0.5,0.857,959.0,0.56,0.12,0.4,0.949,0.15,3.68,0.0,0.0,1.63,0.941,0.3,4.06,0.02,0.0,1.23,0.0001,24.0,15.0,1.0,0.093,0.18600000000000005,0.721,43.0,6.0,0.18600000000000005,0.094,1.0,0.973,0.266,0.254,0.479,37.0,5.0,0.255,0.142,0.001,0.015,0.987,0.959,0.959,0.963,0.0409999999999999,0.0409999999999999,0.037000000000000005,0.093,0.721,0.18600000000000005,0.472,0.083,0.444,0.615,0.462,0.231,0.6920000000000001,0.385,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.2,0.12,0.68,0.0,0.0,0.0,0.0,0.0,0.359,0.5379999999999999,0.769,0.308,0.615,0.0075872534142640375,0.0075872534142640375,0.015174506828528072,0.04400606980273141,0.059180576631259474,0.10318664643399088,0.09408194233687406,0.13353566009104706,0.2276176024279211,0.006069802731411229,0.004552352048558422,0.010622154779969651,0.17450682852807284,0.2321699544764795,0.4066767830045523,0.0,0.0015174506828528073,0.0015174506828528073,0.02276176024279211,0.025796661608497726,0.048558421851289835,0.2852807283763278,0.3080424886191199,0.5933232169954477,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,010347
0.0,1,0,0,0,0,0,588.0,523.0,0,20.0,23.0,20.0,17.0,22.0,42.0,8317.5,0.62,0.208,0.08,0.084,0.008,1066.75,1853.39,5397.36,45.0,48.0,40.0,85.1,35.0,39.0,29.0,41.0,0.5,0.5,0.5,0.519,959.0,0.56,0.12,0.4,0.949,0.85,9.69,0.0,0.0,0.97,0.941,0.3,4.06,0.02,0.0,1.23,0.0,16.0,15.0,0.952,0.22,0.293,0.488,41.0,3.0,0.19,0.05,1.0,0.973,0.266,0.254,0.479,37.0,5.0,0.255,0.142,0.001,0.015,0.987,0.959,0.959,0.963,0.0409999999999999,0.0409999999999999,0.037000000000000005,0.22,0.488,0.293,0.472,0.083,0.444,0.429,0.591,0.455,0.7140000000000001,0.455,0.0,0.0,0.0,0.0,0.0,0.405,0.0,0.0,0.024,0.136,0.429,0.0,0.5710000000000001,0.0,0.0,0.0,0.0,0.0,0.16699999999999998,0.409,0.545,0.262,0.409,0.008547008547008548,0.0068376068376068385,0.015384615384615384,0.18461538461538465,0.21367521367521367,0.3982905982905983,0.14188034188034188,0.1606837606837607,0.3025641025641025,0.0,0.0017094017094017096,0.0017094017094017096,0.3692307692307693,0.4307692307692308,0.8,0.0017094017094017096,0.0,0.0017094017094017096,0.03247863247863248,0.04786324786324787,0.08034188034188035,0.08034188034188035,0.11965811965811965,0.2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,010351
