closed_ind,title1_type_cd,clp_ind,focus_clp_ind,summer_program_ind,asm_no_spg_ind,no_data_spg_ind,student_num,lea_avg_student_num,st_avg_student_num,Grad_project_status,lea_total_expense_num,lea_salary_expense_pct,lea_benefits_expense_pct,lea_services_expense_pct,lea_supplies_expense_pct,lea_instruct_equip_exp_pct,lea_federal_perpupil_num,lea_local_perpupil_num,lea_state_perpupil_num,SPG Score,EVAAS Growth Score,Overall Achievement Score,TotalTargets_pTarget_PctMet,lea_sat_avg_score_num,lea_sat_participation_pct,lea_ap_participation_pct,lea_ap_pct_3_or_above,avg_daily_attend_pct,crime_per_c_num,short_susp_per_c_num,long_susp_per_c_num,expelled_per_c_num,stud_internet_comp_num,lea_avg_daily_attend_pct,lea_crime_per_c_num,lea_short_susp_per_c_num,lea_long_susp_per_c_num,lea_expelled_per_c_num,lea_stud_internet_comp_num,st_avg_daily_attend_pct,st_crime_per_c_num,st_short_susp_per_c_num,digital_media_pct,books_per_student,lea_books_per_student,st_avg_age_media_collection,st_books_per_student,flicensed_teach_pct,tchyrs_0thru3_pct,tchyrs_4thru10_pct,tchyrs_11plus_pct,class_teach_num,nbpts_num,advance_dgr_pct,_1yr_tchr_trnovr_pct,highqual_class_pct,lea_flicensed_teach_pct,lea_tchyrs_0thru3_pct,lea_tchyrs_4thru10_pct,lea_tchyrs_11plus_pct,lea_class_teach_num,lea_nbpts_num,lea_advance_dgr_pct,lea_1yr_tchr_trnovr_pct,lea_lateral_teach_pct,lea_highqual_class_pct,lea_highqual_class_hp_pct,lea_highqual_class_lp_pct,lea_highqual_class_all_pct,lea_not_highqual_class_hp_pct,lea_not_highqual_class_lp_pct,lea_not_highqual_class_all_pct,st_flicensed_teach_pct,st_tchyrs_0thru3_pct,st_tchyrs_4thru10_pct,st_tchyrs_11plus_pct,st_class_teach_num,st_nbpts_num,st_advance_dgr_pct,st_1yr_tchr_trnovr_pct,st_emer_prov_teach_pct,st_lateral_teach_pct,st_highqual_class_pct,0-3 Years_Exp_Pct_Tch,10+ Years_Exp_Pct_Tch,4-10 Years_Exp_Pct_Tch,0-3 Years_LEA_Exp_Pct_Prin,10+ Years_LEA_Exp_Pct_Prin,4-10 Years_LEA_Exp_Pct_Prin,Accomplished_TCHR_Standard 1_Pct,Accomplished_TCHR_Standard 2_Pct,Accomplished_TCHR_Standard 3_Pct,Accomplished_TCHR_Standard 4_Pct,Accomplished_TCHR_Standard 5_Pct,Developing_TCHR_Standard 1_Pct,Developing_TCHR_Standard 2_Pct,Developing_TCHR_Standard 3_Pct,Developing_TCHR_Standard 4_Pct,Developing_TCHR_Standard 5_Pct,Distinguished_TCHR_Standard 1_Pct,Distinguished_TCHR_Standard 2_Pct,Distinguished_TCHR_Standard 3_Pct,Distinguished_TCHR_Standard 4_Pct,Distinguished_TCHR_Standard 5_Pct,Does Not Meet Expected Growth_TCHR_Standard 6_Pct,Exceeds Expected Growth_TCHR_Standard 6_Pct,Meets Expected Growth_TCHR_Standard 6_Pct,Not Demostrated_TCHR_Standard 1_Pct,Not Demostrated_TCHR_Standard 2_Pct,Not Demostrated_TCHR_Standard 3_Pct,Not Demostrated_TCHR_Standard 4_Pct,Not Demostrated_TCHR_Standard 5_Pct,Proficient_TCHR_Standard 1_Pct,Proficient_TCHR_Standard 2_Pct,Proficient_TCHR_Standard 3_Pct,Proficient_TCHR_Standard 4_Pct,Proficient_TCHR_Standard 5_Pct,AsianFemalePct,AsianMalePct,AsianPct,BlackFemalePct,BlackMalePct,BlackPct,HispanicFemalePct,HispanicMalePct,HispanicPct,IndianFemalePct,IndianMalePct,IndianPct,MinorityFemalePct,MinorityMalePct,MinorityPct,PacificIslandFemalePct,PacificIslandMalePct,PacificIslandPct,TwoOrMoreFemalePct,TwoOrMoreMalePct,TwoOrMorePct,WhiteFemalePct,WhiteMalePct,WhitePct,LPS,category_cd_E,category_cd_H,category_cd_I,category_cd_M,category_cd_T,calendar_type_txt_Hospital School,"calendar_type_txt_Magnet School, Traditional Calendar","calendar_type_txt_Magnet School, Year-Round Calendar","calendar_type_txt_Regular School, Traditional Calendar","calendar_type_txt_Regular School, Traditional Calendar plus Year-Round Calendar","calendar_type_txt_Regular School, Year-Round Calendar","calendar_type_txt_Special Education, Traditional Calendar",sna_pgm_type_cd_H,sna_pgm_type_cd_M,sna_pgm_type_cd_N,sna_pgm_type_cd_R,sna_pgm_type_cd_S,sna_pgm_type_cd_X,sna_pgm_type_cd_Y,school_type_txt_Hospital School,school_type_txt_Magnet School,school_type_txt_Regular School,school_type_txt_Special Education,calendar_only_txt_Traditional Calendar plus Year-Round Calendar,calendar_only_txt_Year-Round Calendar,esea_status_Esea_Pass,esea_status_Non_Esea,SBE District_Northeast,SBE District_Northwest,SBE District_Piedmont-Triad,SBE District_Sandhills,SBE District_Southeast,SBE District_Southwest,SBE District_Western,SPG Grade_A+NG,SPG Grade_B,SPG Grade_C,SPG Grade_D,SPG Grade_F,SPG Grade_I,Reading SPG Grade_B,Reading SPG Grade_C,Reading SPG Grade_D,Reading SPG Grade_F,Math SPG Grade_B,Math SPG Grade_C,Math SPG Grade_D,Math SPG Grade_F,EVAAS Growth Status_Met,EVAAS Growth Status_NotMet,State Gap Compared_Insufficient Data,State Gap Compared_Less Than,Category_Cd_E,Category_Cd_H,Category_Cd_I,Category_Cd_M,Category_Cd_T,esea_attendance_Met,Byod_YES,_1_to_1_access_YES,lea_avg_age_media_collection_1936,lea_avg_age_media_collection_1988,lea_avg_age_media_collection_1991,lea_avg_age_media_collection_1993,lea_avg_age_media_collection_1994,lea_avg_age_media_collection_1995,lea_avg_age_media_collection_1996,lea_avg_age_media_collection_1997,lea_avg_age_media_collection_1998,lea_avg_age_media_collection_1999,lea_avg_age_media_collection_2000,lea_avg_age_media_collection_2001,lea_avg_age_media_collection_2002,lea_avg_age_media_collection_2003,lea_avg_age_media_collection_2005,lea_avg_age_media_collection_2006,lea_avg_age_media_collection_2007,lea_avg_age_media_collection_2010,unit_code
0.0,0,0,0,0,0,0,79.0,972.0,848.0,0,8317.5,0.62,0.208,0.08,0.084,0.008,1066.75,1853.39,5397.36,86.0,0.0,86.0,1.0,959.0,0.56,0.12,0.4,0.962,0.0,0.0,0.0,0.0,0.59,0.938,1.07,14.27,0.09,0.0,1.23,0.95,1.3,14.06,0.0,0.0,15.0,1999.0,18.0,1.0,0.0,0.2,0.8,5.0,1.0,0.0,0.0,0.0,0.902,0.2,0.276,0.524,51.0,6.0,0.212,0.17,0.071,0.93,0.959,0.959,0.963,0.0409999999999999,0.0409999999999999,0.037000000000000005,0.901,0.221,0.242,0.537,54.0,9.0,0.266,0.157,0.004,0.084,0.954,0.0,0.8,0.2,0.472,0.083,0.444,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1282051282051282,0.02564102564102564,0.15384615384615385,0.08974358974358974,0.01282051282051282,0.10256410256410256,0.01282051282051282,0.0,0.01282051282051282,0.2307692307692308,0.05128205128205128,0.28205128205128205,0.0,0.0,0.0,0.0,0.01282051282051282,0.01282051282051282,0.5,0.21794871794871795,0.7179487179487181,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,010303
0.0,0,0,0,0,0,0,528.0,523.0,490.0,0,8317.5,0.62,0.208,0.08,0.084,0.008,1066.75,1853.39,5397.36,69.0,92.0,63.0,0.963,959.0,0.56,0.12,0.4,0.956,0.19,0.76,0.0,0.0,2.1,0.941,0.3,4.06,0.02,0.0,1.23,0.951,0.2,13.8,0.0001,16.0,15.0,1999.0,18.0,0.971,0.171,0.371,0.457,35.0,7.0,0.229,0.136,1.0,0.973,0.266,0.254,0.479,37.0,5.0,0.255,0.142,0.015,0.987,0.959,0.959,0.963,0.0409999999999999,0.0409999999999999,0.037000000000000005,0.977,0.228,0.279,0.493,34.0,5.0,0.309,0.138,0.004,0.013,0.985,0.171,0.457,0.371,0.472,0.083,0.444,0.6940000000000001,0.429,0.35700000000000004,0.722,0.429,0.0,0.0,0.14300000000000002,0.0,0.071,0.083,0.0,0.0,0.056,0.0,0.077,0.308,0.615,0.0,0.0,0.0,0.0,0.0,0.222,0.5710000000000001,0.5,0.222,0.5,0.0018796992481203009,0.0018796992481203009,0.003759398496240601,0.03759398496240601,0.03571428571428571,0.07330827067669173,0.11466165413533835,0.11842105263157895,0.2330827067669173,0.0,0.0,0.0,0.17481203007518795,0.17669172932330826,0.35150375939849626,0.0,0.0,0.0,0.02067669172932331,0.02067669172932331,0.04135338345864661,0.3176691729323308,0.3308270676691729,0.6484962406015038,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,010304
0.0,0,0,0,0,0,0,554.0,523.0,490.0,0,8317.5,0.62,0.208,0.08,0.084,0.008,1066.75,1853.39,5397.36,69.0,72.5,68.0,0.913,959.0,0.56,0.12,0.4,0.953,0.54,1.62,0.0,0.0,2.02,0.941,0.3,4.06,0.02,0.0,1.23,0.951,0.2,13.8,0.0,24.0,15.0,1999.0,18.0,1.0,0.029,0.235,0.735,33.0,12.0,0.588,0.073,1.0,0.973,0.266,0.254,0.479,37.0,5.0,0.255,0.142,0.015,0.987,0.959,0.959,0.963,0.0409999999999999,0.0409999999999999,0.037000000000000005,0.977,0.228,0.279,0.493,34.0,5.0,0.309,0.138,0.004,0.013,0.985,0.029,0.735,0.235,0.472,0.083,0.444,0.743,0.818,0.727,0.857,0.636,0.029,0.091,0.091,0.029,0.091,0.114,0.0,0.0,0.0,0.0,0.0,0.08,0.92,0.0,0.0,0.0,0.0,0.0,0.114,0.091,0.182,0.114,0.273,0.0017857142857142854,0.0017857142857142854,0.0035714285714285718,0.028571428571428567,0.039285714285714285,0.06785714285714285,0.05892857142857143,0.048214285714285716,0.10714285714285714,0.0,0.0017857142857142854,0.0017857142857142854,0.10357142857142858,0.11071428571428572,0.21428571428571427,0.0017857142857142854,0.0017857142857142854,0.0035714285714285718,0.0125,0.017857142857142856,0.030357142857142857,0.3821428571428571,0.4035714285714286,0.7857142857142857,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,010308
0.0,1,0,0,0,0,0,820.0,749.0,659.0,0,8317.5,0.62,0.208,0.08,0.084,0.008,1066.75,1853.39,5397.36,45.0,89.8,34.0,0.596,959.0,0.56,0.12,0.4,0.939,0.73,30.24,0.0,0.0,0.98,0.942,1.3,20.64,0.02,0.0,1.23,0.951,0.87,14.24,0.0,16.0,15.0,1999.0,18.0,0.877,0.293,0.241,0.466,57.0,4.0,0.241,0.157,0.977,0.951,0.221,0.287,0.491,49.0,5.0,0.242,0.157,0.038,0.969,0.959,0.959,0.963,0.0409999999999999,0.0409999999999999,0.037000000000000005,0.927,0.244,0.261,0.495,42.0,6.0,0.28800000000000003,0.163,0.006,0.059,0.962,0.293,0.466,0.241,0.472,0.083,0.444,0.393,0.441,0.441,0.5539999999999999,0.382,0.0,0.0,0.0,0.0,0.0,0.393,0.294,0.265,0.232,0.412,0.189,0.21600000000000005,0.595,0.0,0.0,0.0,0.0,0.0,0.214,0.265,0.294,0.214,0.206,0.004884004884004884,0.0036630036630036634,0.008547008547008548,0.1978021978021978,0.20146520146520147,0.3992673992673993,0.23199023199023197,0.23443223443223446,0.4664224664224664,0.002442002442002442,0.0,0.002442002442002442,0.45299145299145294,0.4578754578754578,0.9108669108669109,0.0,0.0,0.0,0.015873015873015872,0.01831501831501832,0.034188034188034185,0.04884004884004884,0.040293040293040296,0.08913308913308914,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,010310
0.0,0,0,0,0,0,0,654.0,523.0,490.0,0,8317.5,0.62,0.208,0.08,0.084,0.008,1066.75,1853.39,5397.36,74.0,86.3,71.0,1.0,959.0,0.56,0.12,0.4,0.957,0.15,1.68,0.15,0.0,1.97,0.941,0.3,4.06,0.02,0.0,1.23,0.951,0.2,13.8,0.0001,15.0,15.0,1999.0,18.0,0.955,0.289,0.333,0.378,45.0,4.0,0.35600000000000004,0.193,0.971,0.973,0.266,0.254,0.479,37.0,5.0,0.255,0.142,0.015,0.987,0.959,0.959,0.963,0.0409999999999999,0.0409999999999999,0.037000000000000005,0.977,0.228,0.279,0.493,34.0,5.0,0.309,0.138,0.004,0.013,0.985,0.289,0.378,0.333,0.472,0.083,0.444,0.565,0.625,0.406,0.5870000000000001,0.406,0.043,0.063,0.031,0.043,0.063,0.109,0.031,0.031,0.043,0.094,0.281,0.063,0.6559999999999999,0.0,0.0,0.0,0.0,0.0,0.28300000000000003,0.281,0.531,0.326,0.438,0.02623456790123457,0.02623456790123457,0.05246913580246913,0.07561728395061729,0.06944444444444445,0.14506172839506173,0.07253086419753088,0.061728395061728385,0.13425925925925927,0.0,0.00308641975308642,0.00308641975308642,0.18981481481481485,0.1851851851851852,0.375,0.0,0.0,0.0,0.015432098765432096,0.02469135802469136,0.040123456790123455,0.2916666666666667,0.3333333333333333,0.625,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,010312
0.0,0,0,0,0,0,0,314.0,523.0,490.0,0,8317.5,0.62,0.208,0.08,0.084,0.008,1066.75,1853.39,5397.36,73.0,91.5,68.0,1.0,959.0,0.56,0.12,0.4,0.946,0.0,7.32,0.0,0.0,1.05,0.941,0.3,4.06,0.02,0.0,1.23,0.951,0.2,13.8,0.0,29.0,15.0,1999.0,18.0,1.0,0.185,0.222,0.593,27.0,8.0,0.333,0.168,0.95,0.973,0.266,0.254,0.479,37.0,5.0,0.255,0.142,0.015,0.987,0.959,0.959,0.963,0.0409999999999999,0.0409999999999999,0.037000000000000005,0.977,0.228,0.279,0.493,34.0,5.0,0.309,0.138,0.004,0.013,0.985,0.185,0.593,0.222,0.472,0.083,0.444,0.35700000000000004,0.313,0.25,0.321,0.313,0.036000000000000004,0.063,0.125,0.071,0.063,0.107,0.063,0.063,0.071,0.063,0.125,0.313,0.563,0.0,0.0,0.0,0.0,0.0,0.5,0.563,0.563,0.536,0.563,0.00964630225080386,0.0,0.00964630225080386,0.09967845659163987,0.05787781350482315,0.15755627009646306,0.05144694533762058,0.0707395498392283,0.12218649517684887,0.003215434083601286,0.003215434083601286,0.006430868167202572,0.18006430868167206,0.14469453376205788,0.3247588424437299,0.0,0.0,0.0,0.01607717041800643,0.012861736334405145,0.028938906752411574,0.3086816720257235,0.3665594855305466,0.6752411575562701,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,010320
0.0,0,1,1,0,0,0,1219.0,972.0,848.0,0,8317.5,0.62,0.208,0.08,0.084,0.008,1066.75,1853.39,5397.36,66.0,73.1,64.0,0.7240000000000001,959.0,0.56,0.12,0.4,0.935,0.49,21.99,0.0,0.0,1.64,0.938,1.07,14.27,0.09,0.0,1.23,0.95,1.3,14.06,0.0,7.0,15.0,1999.0,18.0,0.91,0.194,0.343,0.463,67.0,9.0,0.16399999999999998,0.196,0.943,0.902,0.2,0.276,0.524,51.0,6.0,0.212,0.17,0.071,0.93,0.959,0.959,0.963,0.0409999999999999,0.0409999999999999,0.037000000000000005,0.901,0.221,0.242,0.537,54.0,9.0,0.266,0.157,0.004,0.084,0.954,0.194,0.463,0.343,0.472,0.083,0.444,0.635,0.519,0.222,0.635,0.185,0.032,0.037000000000000005,0.037000000000000005,0.048,0.07400000000000001,0.127,0.0,0.0,0.063,0.0,0.14300000000000002,0.262,0.595,0.0,0.0,0.0,0.0,0.0,0.206,0.444,0.741,0.254,0.741,0.0015923566878980893,0.003980891719745223,0.005573248407643312,0.09952229299363058,0.11942675159235668,0.21894904458598727,0.05732484076433121,0.06050955414012739,0.1178343949044586,0.0031847133757961785,0.003980891719745223,0.007165605095541401,0.18152866242038213,0.2070063694267516,0.3885350318471338,0.0007961783439490446,0.0023885350318471337,0.0031847133757961785,0.01910828025477707,0.016719745222929936,0.035828025477707005,0.28582802547770697,0.32563694267515925,0.6114649681528662,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,010324
0.0,1,0,0,0,0,0,529.0,523.0,490.0,0,8317.5,0.62,0.208,0.08,0.084,0.008,1066.75,1853.39,5397.36,31.0,69.1,22.0,0.515,959.0,0.56,0.12,0.4,0.941,0.19,8.13,0.0,0.0,0.59,0.941,0.3,4.06,0.02,0.0,1.23,0.951,0.2,13.8,0.0,13.0,15.0,1999.0,18.0,0.929,0.476,0.28600000000000003,0.238,42.0,3.0,0.214,0.28600000000000003,0.964,0.973,0.266,0.254,0.479,37.0,5.0,0.255,0.142,0.015,0.987,0.959,0.959,0.963,0.0409999999999999,0.0409999999999999,0.037000000000000005,0.977,0.228,0.279,0.493,34.0,5.0,0.309,0.138,0.004,0.013,0.985,0.476,0.238,0.28600000000000003,0.472,0.083,0.444,0.4,0.412,0.265,0.5,0.294,0.075,0.059,0.206,0.1,0.029,0.2,0.118,0.029,0.05,0.118,0.038,0.038,0.923,0.0,0.0,0.0,0.0,0.0,0.325,0.412,0.5,0.35,0.5589999999999999,0.00398406374501992,0.00398406374501992,0.00796812749003984,0.1752988047808765,0.17330677290836655,0.34860557768924305,0.2788844621513944,0.2370517928286853,0.5159362549800797,0.00199203187250996,0.0,0.00199203187250996,0.4701195219123506,0.4223107569721116,0.8924302788844621,0.00199203187250996,0.0,0.00199203187250996,0.00796812749003984,0.00796812749003984,0.01593625498007968,0.0398406374501992,0.06772908366533864,0.10756972111553784,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,010326
0.0,0,0,0,0,0,0,637.0,523.0,490.0,0,8317.5,0.62,0.208,0.08,0.084,0.008,1066.75,1853.39,5397.36,62.0,68.5,60.0,0.652,959.0,0.56,0.12,0.4,0.951,0.16,2.35,0.0,0.0,2.58,0.941,0.3,4.06,0.02,0.0,1.23,0.951,0.2,13.8,0.0001,18.0,15.0,1999.0,18.0,1.0,0.25,0.2,0.55,40.0,9.0,0.293,0.08800000000000001,0.984,0.973,0.266,0.254,0.479,37.0,5.0,0.255,0.142,0.015,0.987,0.959,0.959,0.963,0.0409999999999999,0.0409999999999999,0.037000000000000005,0.977,0.228,0.279,0.493,34.0,5.0,0.309,0.138,0.004,0.013,0.985,0.25,0.55,0.2,0.472,0.083,0.444,0.513,0.5,0.15,0.564,0.25,0.026,0.05,0.1,0.051,0.05,0.026,0.0,0.0,0.026,0.0,0.179,0.107,0.7140000000000001,0.0,0.0,0.0,0.0,0.0,0.436,0.45,0.75,0.359,0.7,0.003194888178913738,0.003194888178913738,0.006389776357827476,0.01597444089456869,0.01757188498402556,0.03354632587859425,0.03194888178913738,0.03514376996805112,0.0670926517571885,0.004792332268370607,0.0,0.004792332268370607,0.07028753993610222,0.06389776357827476,0.134185303514377,0.0,0.001597444089456869,0.001597444089456869,0.014376996805111819,0.006389776357827476,0.020766773162939296,0.41373801916932906,0.4520766773162939,0.8658146964856229,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,010328
0.0,0,0,0,0,0,0,632.0,523.0,490.0,0,8317.5,0.62,0.208,0.08,0.084,0.008,1066.75,1853.39,5397.36,60.0,79.2,55.0,0.556,959.0,0.56,0.12,0.4,0.956,0.0,2.37,0.0,0.0,1.9,0.941,0.3,4.06,0.02,0.0,1.23,0.951,0.2,13.8,0.0,20.0,15.0,1999.0,18.0,1.0,0.205,0.231,0.564,38.0,3.0,0.282,0.14300000000000002,1.0,0.973,0.266,0.254,0.479,37.0,5.0,0.255,0.142,0.015,0.987,0.959,0.959,0.963,0.0409999999999999,0.0409999999999999,0.037000000000000005,0.977,0.228,0.279,0.493,34.0,5.0,0.309,0.138,0.004,0.013,0.985,0.205,0.564,0.231,0.472,0.083,0.444,0.757,0.833,0.833,0.73,0.833,0.027000000000000003,0.0,0.0,0.027000000000000003,0.0,0.027000000000000003,0.0,0.0,0.0,0.0,0.3,0.033,0.667,0.0,0.0,0.0,0.0,0.0,0.189,0.16699999999999998,0.16699999999999998,0.243,0.16699999999999998,0.008012820512820512,0.00641025641025641,0.014423076923076926,0.04166666666666666,0.07371794871794872,0.1153846153846154,0.05288461538461538,0.049679487179487176,0.10256410256410256,0.0016025641025641025,0.003205128205128205,0.004807692307692308,0.13141025641025642,0.15544871794871795,0.28685897435897434,0.0,0.0,0.0,0.027243589743589744,0.02243589743589744,0.049679487179487176,0.3878205128205128,0.32532051282051283,0.7131410256410257,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,010340
