unit_code,ACTCompositeScore_UNCMin_Female,ACTEnglish_ACTBenchmark_Female,ACTMath_ACTBenchmark_Female,ACTReading_ACTBenchmark_Female,ACTScience_ACTBenchmark_Female,ACTSubtests_BenchmarksMet_Female,ACTWorkKeys_SilverPlus_Female,ACTWriting_ACTBenchmark_Female,EOCBiology_CACR_Female,EOCBiology_GLP_Female,EOCEnglish2_CACR_Female,EOCEnglish2_GLP_Female,EOCMathI_CACR_Female,EOCMathI_GLP_Female,EOCSubjects_CACR_Female,EOCSubjects_GLP_Female,EOG/EOCSubjects_CACR_Female,EOG/EOCSubjects_GLP_Female,EOGGr3_CACR_Female,EOGGr3_GLP_Female,EOGGr4_CACR_Female,EOGGr4_GLP_Female,EOGGr5_CACR_Female,EOGGr5_GLP_Female,EOGGr6_CACR_Female,EOGGr6_GLP_Female,EOGGr7_CACR_Female,EOGGr7_GLP_Female,EOGGr8_CACR_Female,EOGGr8_GLP_Female,EOGMathGr3_CACR_Female,EOGMathGr3_GLP_Female,EOGMathGr3-8_CACR_Female,EOGMathGr3-8_GLP_Female,EOGMathGr4_CACR_Female,EOGMathGr4_GLP_Female,EOGMathGr5_CACR_Female,EOGMathGr5_GLP_Female,EOGMathGr6_CACR_Female,EOGMathGr6_GLP_Female,EOGMathGr7_CACR_Female,EOGMathGr7_GLP_Female,EOGMathGr8_CACR_Female,EOGMathGr8_GLP_Female,EOGReadingGr3_CACR_Female,EOGReadingGr3_GLP_Female,EOGReadingGr3-8_CACR_Female,EOGReadingGr3-8_GLP_Female,EOGReadingGr4_CACR_Female,EOGReadingGr4_GLP_Female,EOGReadingGr5_CACR_Female,EOGReadingGr5_GLP_Female,EOGReadingGr6_CACR_Female,EOGReadingGr6_GLP_Female,EOGReadingGr7_CACR_Female,EOGReadingGr7_GLP_Female,EOGReadingGr8_CACR_Female,EOGReadingGr8_GLP_Female,EOGScienceGr5_CACR_Female,EOGScienceGr5_GLP_Female,EOGScienceGr5&8_CACR_Female,EOGScienceGr5&8_GLP_Female,EOGScienceGr8_CACR_Female,EOGScienceGr8_GLP_Female,EOGSubjects_CACR_Female,EOGSubjects_GLP_Female,GraduationRate_4yr_Female,GraduationRate_5yr_Female
00A000,,,,,,,,,34.6,38.5,,,32.4,49.5,34.9,46.2,42.0,53.4,49.5,63.1,37.9,46.3,42.0,48.9,42.3,57.2,40.6,53.1,45.5,56.9,41.5,50.9,28.1,37.0,25.5,31.9,31.3,34.4,25.0,40.6,25.0,36.6,26.8,31.7,58.0,76.0,55.6,68.1,50.0,60.4,50.0,59.4,59.2,73.5,56.3,69.6,56.1,66.7,45.0,53.3,50.8,66.1,53.7,72.4,43.2,54.6,,
00B000,,,,,,,,,37.5,37.5,67.9,71.4,14.3,28.6,34.7,42.6,38.1,47.7,45.8,54.9,34.0,43.4,39.8,54.0,34.0,43.2,36.4,40.6,39.6,50.9,32.4,45.1,22.5,29.5,24.5,28.3,25.4,30.5,14.8,24.7,22.6,28.0,18.7,23.1,59.2,64.8,51.4,62.1,43.4,58.5,52.5,72.9,53.1,61.7,50.0,53.2,49.5,64.8,41.4,58.6,47.0,62.4,50.5,64.8,38.4,48.2,,
010,55.2,38.5,22.8,26.4,18.2,26.7,66.8,27.8,36.7,47.2,44.6,54.6,50.2,60.1,44.2,54.4,43.5,53.3,43.4,55.9,43.3,52.5,45.8,56.2,41.6,49.1,39.5,47.7,44.1,54.1,40.6,55.7,40.6,48.2,41.5,46.9,49.0,55.3,37.0,43.0,37.1,43.2,38.3,44.4,46.1,56.2,42.7,54.5,45.2,58.0,38.0,52.9,46.3,55.2,41.8,52.2,38.9,52.5,50.5,60.3,52.8,62.9,55.0,65.5,43.3,53.0,86.1,87.2
010303,84.2,63.2,31.6,42.1,21.1,38.9,,36.8,68.0,80.0,80.0,80.0,64.0,72.0,70.7,77.3,70.7,77.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0
010304,,,,,,,,,,,,,,,,,46.7,58.2,36.1,56.9,58.8,67.6,43.2,51.5,,,,,,,30.6,47.2,55.0,61.8,70.6,72.5,56.8,61.4,,,,,,,41.7,66.7,38.2,57.3,47.1,62.7,25.0,43.2,,,,,,,47.7,50.0,47.7,50.0,,,46.7,58.2,,
010308,,,,,,,,,,,,,,,,,55.9,67.0,48.3,63.6,46.8,54.8,65.4,74.5,,,,,,,40.7,59.3,53.9,63.1,45.2,48.4,74.5,76.5,,,,,,,55.9,67.8,52.5,66.7,48.4,61.3,51.0,68.6,,,,,,,70.6,78.4,70.6,78.4,,,55.9,67.0,,
010310,,,,,,,,,,,,,89.3,100.0,89.3,100.0,24.4,32.9,,,,,,,18.2,25.2,15.7,22.4,29.0,39.6,,,17.1,22.2,,,,,9.9,14.0,9.4,14.2,30.2,36.7,,,25.3,34.3,,,,,26.4,36.4,22.0,30.7,27.1,35.7,,,29.7,46.4,29.7,46.4,22.5,31.0,,
010312,,,,,,,,,,,,,,,,,60.3,72.4,55.5,71.1,50.9,61.4,71.2,81.4,,,,,,,48.4,65.6,57.8,68.8,56.1,61.4,71.2,80.8,,,,,,,62.5,76.6,59.5,72.8,45.6,61.4,71.2,80.8,,,,,,,71.2,82.7,71.2,82.7,,,60.3,72.4,,
010320,,,,,,,,,,,,,,,,,60.3,71.9,36.7,43.3,64.3,71.4,68.3,86.7,,,,,,,40.0,46.7,65.1,69.8,71.4,71.4,75.0,85.0,,,,,,,33.3,40.0,49.2,68.3,57.1,71.4,50.0,85.0,,,,,,,80.0,90.0,80.0,90.0,,,60.3,71.9,,
010324,59.6,46.1,32.9,27.8,24.5,33.3,85.7,35.1,43.5,51.7,42.5,47.9,58.4,69.5,48.3,56.6,48.3,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,90.7
