unit_code,ACTCompositeScore_UNCMin_Hispanic,ACTEnglish_ACTBenchmark_Hispanic,ACTMath_ACTBenchmark_Hispanic,ACTReading_ACTBenchmark_Hispanic,ACTScience_ACTBenchmark_Hispanic,ACTSubtests_BenchmarksMet_Hispanic,ACTWorkKeys_SilverPlus_Hispanic,ACTWriting_ACTBenchmark_Hispanic,EOCBiology_CACR_Hispanic,EOCBiology_GLP_Hispanic,EOCEnglish2_CACR_Hispanic,EOCEnglish2_GLP_Hispanic,EOCMathI_CACR_Hispanic,EOCMathI_GLP_Hispanic,EOCSubjects_CACR_Hispanic,EOCSubjects_GLP_Hispanic,EOG/EOCSubjects_CACR_Hispanic,EOG/EOCSubjects_GLP_Hispanic,EOGGr3_CACR_Hispanic,EOGGr3_GLP_Hispanic,EOGGr4_CACR_Hispanic,EOGGr4_GLP_Hispanic,EOGGr5_CACR_Hispanic,EOGGr5_GLP_Hispanic,EOGGr6_CACR_Hispanic,EOGGr6_GLP_Hispanic,EOGGr7_CACR_Hispanic,EOGGr7_GLP_Hispanic,EOGGr8_CACR_Hispanic,EOGGr8_GLP_Hispanic,EOGMathGr3_CACR_Hispanic,EOGMathGr3_GLP_Hispanic,EOGMathGr3-8_CACR_Hispanic,EOGMathGr3-8_GLP_Hispanic,EOGMathGr4_CACR_Hispanic,EOGMathGr4_GLP_Hispanic,EOGMathGr5_CACR_Hispanic,EOGMathGr5_GLP_Hispanic,EOGMathGr6_CACR_Hispanic,EOGMathGr6_GLP_Hispanic,EOGMathGr7_CACR_Hispanic,EOGMathGr7_GLP_Hispanic,EOGMathGr8_CACR_Hispanic,EOGMathGr8_GLP_Hispanic,EOGReadingGr3_CACR_Hispanic,EOGReadingGr3_GLP_Hispanic,EOGReadingGr3-8_CACR_Hispanic,EOGReadingGr3-8_GLP_Hispanic,EOGReadingGr4_CACR_Hispanic,EOGReadingGr4_GLP_Hispanic,EOGReadingGr5_CACR_Hispanic,EOGReadingGr5_GLP_Hispanic,EOGReadingGr6_CACR_Hispanic,EOGReadingGr6_GLP_Hispanic,EOGReadingGr7_CACR_Hispanic,EOGReadingGr7_GLP_Hispanic,EOGReadingGr8_CACR_Hispanic,EOGReadingGr8_GLP_Hispanic,EOGScienceGr5_CACR_Hispanic,EOGScienceGr5_GLP_Hispanic,EOGScienceGr5&8_CACR_Hispanic,EOGScienceGr5&8_GLP_Hispanic,EOGScienceGr8_CACR_Hispanic,EOGScienceGr8_GLP_Hispanic,EOGSubjects_CACR_Hispanic,EOGSubjects_GLP_Hispanic,GraduationRate_4yr_Hispanic,GraduationRate_5yr_Hispanic
00A000,,,,,,,,,18.8,18.8,,,30.0,40.0,25.0,30.6,31.5,40.8,26.1,52.2,45.0,55.0,27.5,33.3,25.0,35.0,33.3,40.7,36.1,45.4,16.7,33.3,21.2,27.1,30.0,40.0,23.5,23.5,10.0,20.0,25.9,33.3,21.9,21.9,36.4,72.7,42.7,53.8,60.0,70.0,35.3,41.2,40.0,50.0,40.7,48.1,46.9,56.3,23.5,35.3,34.0,50.0,39.4,57.6,32.3,42.1,,
00B000,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.3,43.8,22.7,31.8,31.8,31.8,20.0,30.0,0.0,0.0,42.9,50.0,55.6,63.0,9.1,27.3,23.7,30.5,18.2,18.2,10.0,10.0,0.0,0.0,28.6,35.7,0.0,0.0,36.4,36.4,45.8,54.2,45.5,45.5,30.0,50.0,0.0,0.0,57.1,64.3,0.0,0.0,20.0,30.0,47.4,52.6,0.0,0.0,36.5,43.8,,
010,40.1,16.2,11.7,14.2,10.0,13.7,79.3,16.4,32.6,41.9,31.0,41.3,37.7,50.8,34.0,45.1,32.3,42.6,34.4,46.4,30.3,38.6,34.4,46.2,29.0,37.7,28.5,38.0,32.6,42.0,37.2,52.0,32.2,40.2,31.2,36.4,41.3,47.8,27.5,34.4,27.4,34.0,27.3,34.2,31.6,40.7,28.0,39.6,29.4,40.8,22.2,38.5,30.6,40.9,29.6,41.9,25.1,34.9,39.8,52.4,42.6,54.7,45.7,57.1,31.9,42.0,73.5,80.0
010303,0.0,0.0,0.0,0.0,0.0,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,77.8,63.0,77.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
010304,,,,,,,,,,,,,,,,,31.2,46.0,26.2,38.1,20.8,29.2,38.4,57.6,,,,,,,23.8,38.1,38.5,48.7,33.3,37.5,51.5,63.6,,,,,,,28.6,38.1,21.8,41.0,8.3,20.8,27.3,57.6,,,,,,,36.4,51.5,36.4,51.5,,,31.2,46.0,,
010308,,,,,,,,,,,,,,,,,45.5,60.2,34.6,50.0,40.0,50.0,54.8,71.4,,,,,,,30.8,38.5,51.4,54.1,50.0,50.0,71.4,71.4,,,,,,,38.5,61.5,32.4,56.8,30.0,50.0,28.6,57.1,,,,,,,64.3,85.7,64.3,85.7,,,45.5,60.2,,
010310,,,,,,,,,,,,,90.3,93.5,90.3,93.5,26.6,34.5,,,,,,,20.0,26.3,18.7,25.6,30.5,40.4,,,20.8,26.4,,,,,17.5,22.5,14.5,17.6,29.4,37.8,,,23.5,31.6,,,,,22.5,30.0,22.9,33.6,25.0,31.3,,,37.4,52.5,37.4,52.5,24.5,32.5,,
010312,,,,,,,,,,,,,,,,,41.6,52.8,36.8,50.0,45.8,54.2,44.4,55.6,,,,,,,36.8,42.1,37.5,47.5,41.7,50.0,0.0,0.0,,,,,,,36.8,57.9,45.0,57.5,50.0,58.3,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,41.6,52.8,,
010320,,,,,,,,,,,,,,,,,68.6,68.6,0.0,0.0,64.3,64.3,80.0,80.0,,,,,,,0.0,0.0,73.3,73.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,53.3,53.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,68.6,68.6,,
010324,44.8,23.3,13.3,10.3,17.2,16.3,81.8,17.2,43.8,56.3,38.2,52.9,38.1,50.0,39.8,52.8,39.8,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.4,80.6
