unit_code,ACTCompositeScore_UNCMin_Male,ACTEnglish_ACTBenchmark_Male,ACTMath_ACTBenchmark_Male,ACTReading_ACTBenchmark_Male,ACTScience_ACTBenchmark_Male,ACTSubtests_BenchmarksMet_Male,ACTWorkKeys_SilverPlus_Male,ACTWriting_ACTBenchmark_Male,EOCBiology_CACR_Male,EOCBiology_GLP_Male,EOCEnglish2_CACR_Male,EOCEnglish2_GLP_Male,EOCMathI_CACR_Male,EOCMathI_GLP_Male,EOCSubjects_CACR_Male,EOCSubjects_GLP_Male,EOG/EOCSubjects_CACR_Male,EOG/EOCSubjects_GLP_Male,EOGGr3_CACR_Male,EOGGr3_GLP_Male,EOGGr4_CACR_Male,EOGGr4_GLP_Male,EOGGr5_CACR_Male,EOGGr5_GLP_Male,EOGGr6_CACR_Male,EOGGr6_GLP_Male,EOGGr7_CACR_Male,EOGGr7_GLP_Male,EOGGr8_CACR_Male,EOGGr8_GLP_Male,EOGMathGr3_CACR_Male,EOGMathGr3_GLP_Male,EOGMathGr3-8_CACR_Male,EOGMathGr3-8_GLP_Male,EOGMathGr4_CACR_Male,EOGMathGr4_GLP_Male,EOGMathGr5_CACR_Male,EOGMathGr5_GLP_Male,EOGMathGr6_CACR_Male,EOGMathGr6_GLP_Male,EOGMathGr7_CACR_Male,EOGMathGr7_GLP_Male,EOGMathGr8_CACR_Male,EOGMathGr8_GLP_Male,EOGReadingGr3_CACR_Male,EOGReadingGr3_GLP_Male,EOGReadingGr3-8_CACR_Male,EOGReadingGr3-8_GLP_Male,EOGReadingGr4_CACR_Male,EOGReadingGr4_GLP_Male,EOGReadingGr5_CACR_Male,EOGReadingGr5_GLP_Male,EOGReadingGr6_CACR_Male,EOGReadingGr6_GLP_Male,EOGReadingGr7_CACR_Male,EOGReadingGr7_GLP_Male,EOGReadingGr8_CACR_Male,EOGReadingGr8_GLP_Male,EOGScienceGr5_CACR_Male,EOGScienceGr5_GLP_Male,EOGScienceGr5&8_CACR_Male,EOGScienceGr5&8_GLP_Male,EOGScienceGr8_CACR_Male,EOGScienceGr8_GLP_Male,EOGSubjects_CACR_Male,EOGSubjects_GLP_Male,GraduationRate_4yr_Male,GraduationRate_5yr_Male
00A000,,,,,,,,,41.9,45.2,,,37.5,48.9,40.1,48.0,41.0,49.9,35.4,50.0,19.6,26.8,43.4,54.0,32.9,43.8,42.9,48.8,48.4,56.5,31.0,42.9,28.8,34.5,14.3,14.3,39.1,43.8,21.9,30.1,30.7,32.7,28.4,35.8,40.0,57.5,48.0,59.2,25.0,39.3,48.4,59.4,43.8,57.5,54.9,64.7,53.7,61.1,42.6,59.0,55.1,67.3,63.2,72.6,41.1,50.2,,
00B000,,,,,,,,,0.0,0.0,76.9,76.9,21.4,40.5,38.1,50.8,31.6,41.0,25.4,39.8,24.2,34.1,29.4,36.3,29.4,38.9,32.6,40.6,40.6,49.3,16.9,35.6,21.2,29.6,18.2,27.3,25.0,30.9,16.7,25.6,24.6,31.9,26.0,28.8,33.9,44.1,36.9,47.1,30.3,40.9,30.9,39.7,42.2,52.2,40.6,49.3,41.1,53.4,32.4,38.2,43.9,52.5,54.9,66.2,31.1,40.3,,
010,47.1,29.6,23.2,22.7,17.6,22.8,70.9,20.7,41.2,48.3,34.8,43.7,45.8,58.2,40.9,50.6,41.5,50.4,43.0,53.6,39.3,47.0,46.5,55.2,40.2,48.3,35.8,44.0,42.4,50.9,45.4,57.3,41.1,48.0,40.8,45.7,49.9,55.5,39.0,46.4,35.8,41.0,35.7,41.7,40.7,49.8,37.4,47.5,37.8,48.3,35.3,46.4,41.5,50.2,35.8,47.0,33.8,43.5,54.4,63.9,56.1,65.9,57.7,67.8,41.7,50.3,76.1,82.3
010303,80.0,60.0,60.0,40.0,30.0,46.0,,40.0,80.0,93.3,64.3,100.0,64.3,71.4,69.8,88.4,69.8,88.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,91.7
010304,,,,,,,,,,,,,,,,,51.8,60.9,46.9,56.1,47.8,55.4,57.3,67.3,,,,,,,40.8,57.1,53.8,63.4,54.3,60.9,66.0,72.0,,,,,,,53.1,55.1,46.9,54.5,41.3,50.0,46.0,58.0,,,,,,,60.0,72.0,60.0,72.0,,,51.8,60.9,,
010308,,,,,,,,,,,,,,,,,59.3,68.3,60.9,75.0,55.0,63.0,61.0,67.8,,,,,,,65.2,76.1,65.2,71.0,64.0,66.0,66.1,71.2,,,,,,,56.5,73.9,50.3,61.9,46.0,60.0,49.2,54.2,,,,,,,67.8,78.0,67.8,78.0,,,59.3,68.3,,
010310,,,,,,,,,,,,,80.0,100.0,80.0,100.0,24.7,30.9,,,,,,,20.7,23.6,17.2,23.4,28.9,36.6,,,18.9,23.5,,,,,18.7,21.1,13.9,18.2,24.4,31.3,,,22.0,28.1,,,,,22.8,26.0,20.4,28.5,22.9,29.8,,,39.7,49.2,39.7,49.2,23.1,29.1,,
010312,,,,,,,,,,,,,,,,,60.8,67.2,53.5,59.6,68.3,74.6,60.1,66.7,,,,,,,56.1,64.9,65.1,69.9,71.4,74.6,67.4,69.6,,,,,,,50.9,54.4,56.0,63.9,65.1,74.6,50.0,60.9,,,,,,,63.0,69.6,63.0,69.6,,,60.8,67.2,,
010320,,,,,,,,,,,,,,,,,58.3,67.9,67.9,76.8,42.3,55.8,64.6,70.8,,,,,,,71.4,82.1,65.7,70.0,50.0,50.0,81.3,81.3,,,,,,,64.3,71.4,45.7,62.9,34.6,61.5,31.3,50.0,,,,,,,81.3,81.3,81.3,81.3,,,58.3,67.9,,
010324,53.4,39.7,28.2,26.7,19.8,28.9,93.2,30.0,52.1,58.7,38.0,47.6,43.4,56.0,44.2,53.9,44.2,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.1,84.4
010326,,,,,,,,,,,,,,,,,21.9,30.9,28.8,41.3,15.7,20.6,22.9,33.3,,,,,,,40.0,60.0,25.2,37.4,13.7,19.6,25.0,37.5,,,,,,,17.5,22.5,14.6,21.1,17.6,21.6,6.3,18.8,,,,,,,37.5,43.8,37.5,43.8,,,21.9,30.9,,
010328,,,,,,,,,,,,,,,,,58.2,67.9,66.9,77.1,58.3,62.5,52.3,63.8,,,,,,,74.6,79.7,62.7,66.7,61.1,61.1,51.7,56.9,,,,,,,59.3,74.6,50.3,66.0,55.6,63.9,37.9,58.6,,,,,,,67.2,75.9,67.2,75.9,,,58.2,67.9,,
010340,,,,,,,,,,,,,,,,,49.7,57.8,55.5,60.2,37.3,47.3,54.1,63.7,,,,,,,59.4,64.1,50.0,56.0,34.5,40.0,55.1,63.3,,,,,,,51.6,56.3,45.2,55.4,40.0,54.5,42.9,55.1,,,,,,,64.6,72.9,64.6,72.9,,,49.7,57.8,,
010346,,,,,,,,,,,,,,,,,44.0,55.2,44.4,55.6,46.6,55.2,42.3,55.0,,,,,,,41.7,61.1,39.2,53.9,37.9,44.8,37.8,54.1,,,,,,,47.2,50.0,46.1,52.9,55.2,65.5,37.8,45.9,,,,,,,51.4,64.9,51.4,64.9,,,44.0,55.2,,
010347,,,,,,,,,,,,,,,,,48.4,59.1,50.9,63.8,38.7,44.4,54.9,68.1,,,,,,,46.6,65.5,48.8,58.9,37.1,43.5,66.7,70.8,,,,,,,55.2,62.1,45.8,54.2,40.3,45.2,41.7,56.3,,,,,,,56.3,77.1,56.3,77.1,,,48.4,59.1,,
010348,27.4,16.4,13.7,8.2,11.0,12.6,70.4,13.9,33.1,37.7,22.4,33.6,23.6,35.4,26.5,35.7,26.5,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.6,84.0
010350,,,,,,,,,,,,,66.7,75.0,66.7,75.0,25.4,32.6,,,,,,,25.3,34.2,17.4,24.2,28.3,34.7,,,19.2,24.8,,,,,25.3,31.6,14.4,21.2,19.0,22.9,,,22.3,30.5,,,,,25.3,36.8,20.3,27.1,21.9,28.6,,,44.2,52.9,44.2,52.9,24.1,31.2,,
010351,,,,,,,,,,,,,,,,,24.3,33.3,14.3,22.9,30.9,37.3,28.2,39.1,,,,,,,14.3,25.7,22.4,29.5,38.2,43.6,17.2,20.7,,,,,,,14.3,20.0,19.7,29.5,23.6,30.9,22.4,39.7,,,,,,,44.8,56.9,44.8,56.9,,,24.3,33.3,,
010353,,,,,,,,,,,,,100.0,100.0,100.0,100.0,53.0,60.8,,,,,,,53.6,63.3,47.0,55.2,54.0,60.9,,,51.5,57.3,,,,,58.2,68.4,52.6,56.9,45.4,49.2,,,43.1,54.2,,,,,49.0,58.2,41.4,53.4,40.3,51.9,,,76.2,81.5,76.2,81.5,51.9,59.9,,
010354,,,,,,,,,,,,,,,,,28.9,37.9,30.0,43.3,30.2,40.7,27.4,32.6,,,,,,,31.1,46.7,30.8,38.3,32.6,37.2,28.9,31.1,,,,,,,28.9,40.0,27.1,38.3,27.9,44.2,24.4,31.1,,,,,,,28.9,35.6,28.9,35.6,,,28.9,37.9,,
010357,,,,,,,,,,,,,,,,,19.6,29.5,16.0,29.0,22.0,28.0,21.2,31.3,,,,,,,16.0,30.0,23.4,32.3,24.4,29.3,33.3,39.4,,,,,,,16.0,28.0,16.1,25.8,19.5,26.8,12.1,21.2,,,,,,,18.2,33.3,18.2,33.3,,,19.6,29.5,,
010358,,,,,,,,,,,,,,,,,24.3,35.0,26.4,45.3,19.1,23.6,26.7,36.0,,,,,,,34.0,50.9,25.3,34.2,14.5,16.4,28.0,36.0,,,,,,,18.9,39.6,22.8,36.1,23.6,30.9,26.0,38.0,,,,,,,26.0,34.0,26.0,34.0,,,24.3,35.0,,
010360,41.9,12.2,10.8,16.2,9.5,10.3,68.9,0.0,47.5,52.5,18.9,27.3,26.4,40.5,31.0,40.3,31.0,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.9,69.1
010362,,,,,,,,,,,,,,,,,61.8,68.9,63.0,69.0,52.8,61.3,68.2,75.0,,,,,,,68.0,74.0,63.9,68.0,58.5,62.3,65.9,68.2,,,,,,,58.0,64.0,53.1,63.9,47.2,60.4,54.5,68.2,,,,,,,84.1,88.6,84.1,88.6,,,61.8,68.9,,
010364,,,,,,,,,,,,,,,,,36.5,43.3,31.5,40.7,34.6,40.4,40.2,46.1,,,,,,,33.3,40.7,37.9,44.8,26.9,30.8,50.0,58.8,,,,,,,29.6,40.7,28.7,35.6,42.3,50.0,17.6,20.6,,,,,,,52.9,58.8,52.9,58.8,,,36.5,43.3,,
010372,,,,,,,,,,,,,,,,,45.3,57.0,46.9,53.1,44.4,55.6,45.0,60.0,,,,,,,50.0,62.5,44.4,57.4,38.9,50.0,45.0,60.0,,,,,,,43.8,43.8,40.7,50.0,50.0,61.1,30.0,45.0,,,,,,,60.0,75.0,60.0,75.0,,,45.3,57.0,,
010374,,,,,,,,,,,,,,,,,34.0,41.1,30.0,39.1,40.6,47.9,32.6,37.8,,,,,,,27.3,41.8,33.8,40.5,39.6,43.8,35.6,35.6,,,,,,,32.7,36.4,31.8,37.8,41.7,52.1,20.0,24.4,,,,,,,42.2,53.3,42.2,53.3,,,34.0,41.1,,
