closed_ind,title1_type_cd,clp_ind,focus_clp_ind,summer_program_ind,asm_no_spg_ind,no_data_spg_ind,student_num,lea_avg_student_num,st_avg_student_num,Grad_project_status,00_Size,01_Size,02_Size,03_Size,04_Size,05_Size,06_Size,07_Size,08_Size,Biology_Size,English II_Size,Math I_Size,lea_total_expense_num,lea_salary_expense_pct,lea_benefits_expense_pct,lea_services_expense_pct,lea_supplies_expense_pct,lea_instruct_equip_exp_pct,lea_federal_perpupil_num,lea_local_perpupil_num,lea_state_perpupil_num,SPG Score,Reading SPG Grade,Math SPG Grade,EVAAS Growth Score,Overall Achievement Score,Reading Score,Math Score,Science Score,Math I Score,English II Score,Biology Score,ACT Score,ACT WorkKeys Score,Passing Math III,4-Year Cohort Graduation Rate Score,ACT_pTarget_PctMet,ACTWorkKeys_pTarget_PctMet,CurrentYearEOC_pTarget_PctMet,MathGr10_pTarget_PctMet,MathGr3-8_pTarget_PctMet,ReadingGr10_pTarget_PctMet,ReadingGr3-8_pTarget_PctMet,SciGr11_pTarget_PctMet,SciGr5&8_pTarget_PctMet,TotalTargets_pTarget_PctMet,sat_avg_score_num,lea_sat_avg_score_num,sat_participation_pct,lea_sat_participation_pct,ap_participation_pct,lea_ap_participation_pct,ap_pct_3_or_above,lea_ap_pct_3_or_above,ib_participation_pct,ib_pct_4_or_above,lea_ib_pct_4_or_above,total_specialized_courses,ap_ib_courses,cte_courses,univ_college_courses,lea_total_specialized_courses,lea_ap_ib_courses,lea_cte_courses,lea_univ_college_courses,st_total_specialized_courses,st_ap_ib_courses,st_cte_courses,st_univ_college_courses,ALL_All Students (Total or Subtotal_ENROLL_sch_pct,ECODIS_Economically Disadvantaged_ENROLL_sch_pct,F_Female_ENROLL_sch_pct,LEP_Limited English Proficiency_ENROLL_sch_pct,M_Male_ENROLL_sch_pct,MA_Asian_ENROLL_sch_pct,MAN_American Indian_ENROLL_sch_pct,MB_Black_ENROLL_sch_pct,MHL_Hispanic_ENROLL_sch_pct,MM_Multiracial_ENROLL_sch_pct,MNP_Pacific Islander_ENROLL_sch_pct,MW_White_ENROLL_sch_pct,WDIS_Students With Disabilities_ENROLL_sch_pct,avg_daily_attend_pct,crime_per_c_num,short_susp_per_c_num,long_susp_per_c_num,expelled_per_c_num,stud_internet_comp_num,lea_avg_daily_attend_pct,lea_crime_per_c_num,lea_short_susp_per_c_num,lea_long_susp_per_c_num,lea_expelled_per_c_num,lea_stud_internet_comp_num,st_avg_daily_attend_pct,st_crime_per_c_num,st_short_susp_per_c_num,st_long_susp_per_c_num,digital_media_pct,avg_age_media_collection,books_per_student,lea_avg_age_media_collection,lea_books_per_student,wap_num,wap_per_classroom,lea_wap_num,lea_wap_per_classroom,flicensed_teach_pct,tchyrs_0thru3_pct,tchyrs_4thru10_pct,tchyrs_11plus_pct,class_teach_num,nbpts_num,advance_dgr_pct,_1yr_tchr_trnovr_pct,emer_prov_teach_pct,lateral_teach_pct,highqual_class_pct,lea_flicensed_teach_pct,lea_tchyrs_0thru3_pct,lea_tchyrs_4thru10_pct,lea_tchyrs_11plus_pct,lea_class_teach_num,lea_nbpts_num,lea_advance_dgr_pct,lea_1yr_tchr_trnovr_pct,lea_emer_prov_teach_pct,lea_lateral_teach_pct,lea_highqual_class_pct,lea_highqual_class_hp_pct,lea_highqual_class_lp_pct,lea_highqual_class_all_pct,lea_not_highqual_class_hp_pct,lea_not_highqual_class_lp_pct,lea_not_highqual_class_all_pct,st_flicensed_teach_pct,st_tchyrs_0thru3_pct,st_tchyrs_4thru10_pct,st_tchyrs_11plus_pct,st_class_teach_num,st_nbpts_num,st_advance_dgr_pct,st_1yr_tchr_trnovr_pct,st_emer_prov_teach_pct,st_lateral_teach_pct,st_highqual_class_pct,0-3 Years_Exp_Pct_Tch,10+ Years_Exp_Pct_Tch,4-10 Years_Exp_Pct_Tch,0-3 Years_LEA_Exp_Pct_Prin,10+ Years_LEA_Exp_Pct_Prin,4-10 Years_LEA_Exp_Pct_Prin,Accomplished_TCHR_Standard 1_Pct,Accomplished_TCHR_Standard 2_Pct,Accomplished_TCHR_Standard 3_Pct,Accomplished_TCHR_Standard 4_Pct,Accomplished_TCHR_Standard 5_Pct,Developing_TCHR_Standard 1_Pct,Developing_TCHR_Standard 2_Pct,Developing_TCHR_Standard 3_Pct,Developing_TCHR_Standard 4_Pct,Developing_TCHR_Standard 5_Pct,Distinguished_TCHR_Standard 1_Pct,Distinguished_TCHR_Standard 2_Pct,Distinguished_TCHR_Standard 3_Pct,Distinguished_TCHR_Standard 4_Pct,Distinguished_TCHR_Standard 5_Pct,Does Not Meet Expected Growth_TCHR_Student Growth_Pct,Exceeds Expected Growth_TCHR_Student Growth_Pct,Meets Expected Growth_TCHR_Student Growth_Pct,Not Demostrated_TCHR_Standard 1_Pct,Not Demostrated_TCHR_Standard 2_Pct,Not Demostrated_TCHR_Standard 3_Pct,Not Demostrated_TCHR_Standard 4_Pct,Not Demostrated_TCHR_Standard 5_Pct,Proficient_TCHR_Standard 1_Pct,Proficient_TCHR_Standard 2_Pct,Proficient_TCHR_Standard 3_Pct,Proficient_TCHR_Standard 4_Pct,Proficient_TCHR_Standard 5_Pct,AsianFemalePct,AsianMalePct,AsianPct,BlackFemalePct,BlackMalePct,BlackPct,HispanicFemalePct,HispanicMalePct,HispanicPct,IndianFemalePct,IndianMalePct,IndianPct,MinorityFemalePct,MinorityMalePct,MinorityPct,PacificIslandFemalePct,PacificIslandMalePct,PacificIslandPct,TwoOrMoreFemalePct,TwoOrMoreMalePct,TwoOrMorePct,WhiteFemalePct,WhiteMalePct,WhitePct,LPS,category_cd_I,category_cd_M,category_cd_T,"calendar_type_txt_Regular School, Year-Round Calendar",sna_pgm_type_cd_Y,calendar_only_txt_Year-Round Calendar,esea_status_Esea_Pass,esea_status_Non_Esea,State Board Region_Northeast Region,State Board Region_Northwest Region,State Board Region_Piedmont Triad Region,State Board Region_SandHills Region,State Board Region_Southeast Region,State Board Region_Southwest Region,State Board Region_Western Region,SPG Grade_A+NG,SPG Grade_B,SPG Grade_C,SPG Grade_D,SPG Grade_F,Reading SPG Score_B,Reading SPG Score_C,Reading SPG Score_D,Reading SPG Score_F,Math SPG Score_B,Math SPG Score_C,Math SPG Score_D,Math SPG Score_F,EVAAS Growth Status_Met,EVAAS Growth Status_NotMet,Category_Cd_I,Category_Cd_M,Category_Cd_T,Byod_Yes,_1_to_1_access_Yes,unit_code
0.0,1,0,0,0,0,0,787.0,722.0,634.0,0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,20.0,25.0,0.0,0.0,27.0,8517.96,0.631,0.212,0.07400000000000001,0.07400000000000001,0.009000000000000001,1155.92,1832.54,5529.5,42.0,41.0,35.0,80.0,32.0,31.0,23.0,48.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7140000000000001,0.926,0.0,961.0,0.0,0.51,0.0,0.15,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.934,2.03,43.33,0.13,0.0,0.9,0.944,1.09,24.71,0.02,0.0,1.24,0.951,0.83,14.64,0.06,0.1,2002.0,17.6399993896484,1999.0,14.24,49.0,0.92,1380.0,0.92,0.835,0.262,0.197,0.541,61.0,4.0,0.23,0.175,0.0,0.165,0.981,0.92,0.207,0.29,0.503,50.0,4.0,0.239,0.13,0.003,0.075,0.95,0.924,0.914,0.94,0.076,0.086,0.0600000000000001,0.923,0.244,0.251,0.506,41.0,5.0,0.268,0.151,0.004,0.068,0.962,0.262,0.541,0.197,0.417,0.16699999999999998,0.417,0.441,0.632,0.561,0.475,0.509,0.017,0.018000000000000002,0.0,0.0,0.018000000000000002,0.4920000000000001,0.316,0.386,0.424,0.439,0.125,0.15,0.725,0.0,0.0,0.0,0.0,0.0,0.051,0.035,0.053,0.102,0.035,0.0063613231552162855,0.0063613231552162855,0.012722646310432571,0.18320610687022898,0.17811704834605604,0.361323155216285,0.2608142493638677,0.2417302798982188,0.5025445292620865,0.001272264631043257,0.0,0.001272264631043257,0.4732824427480916,0.4427480916030535,0.916030534351145,0.0,0.0,0.0,0.021628498727735368,0.01653944020356234,0.03816793893129771,0.043256997455470736,0.040712468193384234,0.08396946564885496,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,010310
0.0,1,0,0,0,0,0,623.0,722.0,634.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,17.0,0.0,0.0,21.0,8517.96,0.631,0.212,0.07400000000000001,0.07400000000000001,0.009000000000000001,1155.92,1832.54,5529.5,45.0,45.0,38.0,86.6,35.0,35.0,26.0,50.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,961.0,0.0,0.51,0.0,0.15,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944,2.41,48.64,0.0,0.0,0.89,0.944,1.09,24.71,0.02,0.0,1.24,0.951,0.83,14.64,0.06,0.1,1999.0,15.129997253417999,1999.0,14.24,48.0,1.14,1380.0,0.92,0.85,0.315,0.37,0.315,54.0,4.0,0.241,0.2,0.0,0.131,0.976,0.92,0.207,0.29,0.503,50.0,4.0,0.239,0.13,0.003,0.075,0.95,0.924,0.914,0.94,0.076,0.086,0.0600000000000001,0.923,0.244,0.251,0.506,41.0,5.0,0.268,0.151,0.004,0.068,0.962,0.315,0.315,0.37,0.417,0.16699999999999998,0.417,0.306,0.388,0.34700000000000003,0.327,0.34700000000000003,0.0,0.0,0.0,0.02,0.02,0.122,0.061,0.041,0.041,0.041,0.182,0.182,0.636,0.0,0.0,0.0,0.0,0.0,0.5710000000000001,0.551,0.612,0.612,0.5920000000000001,0.008025682182985553,0.009630818619582664,0.01765650080256822,0.14606741573033707,0.12359550561797752,0.2696629213483146,0.20545746388443015,0.23113964686998395,0.43659711075441415,0.003210272873194221,0.004815409309791332,0.008025682182985553,0.3852327447833066,0.3900481540930979,0.7752808988764045,0.0,0.0,0.0,0.02247191011235955,0.02086677367576244,0.04333868378812199,0.10112359550561796,0.12359550561797752,0.2247191011235955,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,010350
0.0,0,0,0,0,0,0,641.0,722.0,634.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,26.0,24.0,0.0,0.0,19.0,8517.96,0.631,0.212,0.07400000000000001,0.07400000000000001,0.009000000000000001,1155.92,1832.54,5529.5,70.0,60.0,67.0,100.0,62.0,56.0,59.0,84.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,961.0,0.0,0.51,0.0,0.15,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.945,1.25,17.94,0.0,0.0,0.89,0.944,1.09,24.71,0.02,0.0,1.24,0.951,0.83,14.64,0.06,0.0,1999.0,24.199996948242198,1999.0,14.24,58.0,1.32,1380.0,0.92,0.975,0.175,0.35,0.475,40.0,5.0,0.15,0.126,0.0,0.025,0.912,0.92,0.207,0.29,0.503,50.0,4.0,0.239,0.13,0.003,0.075,0.95,0.924,0.914,0.94,0.076,0.086,0.0600000000000001,0.923,0.244,0.251,0.506,41.0,5.0,0.268,0.151,0.004,0.068,0.962,0.175,0.475,0.35,0.417,0.16699999999999998,0.417,0.615,0.619,0.429,0.564,0.524,0.051,0.0,0.048,0.051,0.048,0.128,0.095,0.048,0.077,0.095,0.0,0.5710000000000001,0.429,0.0,0.0,0.0,0.0,0.0,0.205,0.28600000000000003,0.476,0.308,0.333,0.00308641975308642,0.0015432098765432098,0.0046296296296296285,0.05555555555555555,0.06944444444444445,0.125,0.10493827160493828,0.11728395061728394,0.2222222222222222,0.0015432098765432098,0.00308641975308642,0.0046296296296296285,0.1851851851851852,0.2222222222222222,0.4074074074074074,0.0,0.0015432098765432098,0.0015432098765432098,0.020061728395061727,0.029320987654320983,0.04938271604938271,0.25771604938271603,0.3348765432098765,0.5925925925925926,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,010353
0.0,0,0,0,0,0,0,770.0,722.0,634.0,0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,27.0,0.0,0.0,25.0,8517.96,0.631,0.212,0.07400000000000001,0.07400000000000001,0.009000000000000001,1155.92,1832.54,5529.5,57.0,58.0,53.0,59.2,57.0,54.0,51.0,66.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,961.0,0.0,0.51,0.0,0.15,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.942,0.39,17.14,0.0,0.0,1.51,0.944,1.09,24.71,0.02,0.0,1.24,0.951,0.83,14.64,0.06,0.0,2003.0,12.0099945068359,1999.0,14.24,52.0,0.98,1380.0,0.92,0.899,0.24,0.2,0.56,50.0,2.0,0.26,0.111,0.02,0.081,0.897,0.92,0.207,0.29,0.503,50.0,4.0,0.239,0.13,0.003,0.075,0.95,0.924,0.914,0.94,0.076,0.086,0.0600000000000001,0.923,0.244,0.251,0.506,41.0,5.0,0.268,0.151,0.004,0.068,0.962,0.24,0.56,0.2,0.417,0.16699999999999998,0.417,0.6940000000000001,0.621,0.586,0.735,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.303,0.5760000000000001,0.0,0.0,0.0,0.0,0.0,0.306,0.379,0.414,0.265,0.483,0.0025906735751295338,0.0051813471502590676,0.007772020725388602,0.01683937823834197,0.028497409326424868,0.04533678756476684,0.054404145077720206,0.058290155440414514,0.11269430051813473,0.0025906735751295338,0.0012953367875647669,0.003886010362694301,0.08937823834196891,0.10492227979274613,0.19430051813471505,0.0,0.0,0.0,0.01295336787564767,0.0116580310880829,0.024611398963730567,0.3886010362694301,0.4170984455958549,0.8056994818652851,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,010390
0.0,1,0,0,0,0,0,804.0,722.0,634.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,26.0,26.0,0.0,0.0,23.0,8517.96,0.631,0.212,0.07400000000000001,0.07400000000000001,0.009000000000000001,1155.92,1832.54,5529.5,48.0,51.0,42.0,57.9,46.0,48.0,34.0,60.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,961.0,0.0,0.51,0.0,0.15,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.947,1.0,31.72,0.0,0.0,1.24,0.944,1.09,24.71,0.02,0.0,1.24,0.951,0.83,14.64,0.06,0.01,2004.0,10.099998474121099,1999.0,14.24,63.0,1.11,1380.0,0.92,1.0,0.175,0.281,0.544,57.0,4.0,0.246,0.07,0.0,0.0,0.974,0.92,0.207,0.29,0.503,50.0,4.0,0.239,0.13,0.003,0.075,0.95,0.924,0.914,0.94,0.076,0.086,0.0600000000000001,0.923,0.244,0.251,0.506,41.0,5.0,0.268,0.151,0.004,0.068,0.962,0.175,0.544,0.281,0.417,0.16699999999999998,0.417,0.706,0.78,0.82,0.8240000000000001,0.7,0.0,0.02,0.0,0.02,0.0,0.118,0.1,0.04,0.059,0.08,0.364,0.242,0.394,0.0,0.0,0.0,0.0,0.0,0.17600000000000002,0.1,0.14,0.098,0.22,0.014796547472256475,0.013563501849568432,0.028360049321824912,0.18249075215782984,0.16769420468557336,0.35018495684340323,0.1282367447595561,0.14180024660912455,0.27003699136868065,0.0,0.0012330456226880395,0.0012330456226880395,0.3588162762022195,0.3538840937114673,0.7127003699136868,0.0,0.003699136868064119,0.003699136868064119,0.03329223181257707,0.025893958076448828,0.0591861898890259,0.1442663378545006,0.14303329223181258,0.2872996300863132,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,010394
0.0,0,0,0,0,0,0,878.0,722.0,634.0,0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,25.0,24.0,0.0,0.0,28.0,8517.96,0.631,0.212,0.07400000000000001,0.07400000000000001,0.009000000000000001,1155.92,1832.54,5529.5,64.0,66.0,55.0,66.5,63.0,65.0,52.0,81.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,961.0,0.0,0.51,0.0,0.15,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.23,5.81,0.0,0.0,1.6,0.944,1.09,24.71,0.02,0.0,1.24,0.951,0.83,14.64,0.06,0.01,2004.0,12.879997253417999,1999.0,14.24,56.0,1.17,1380.0,0.92,0.962,0.075,0.34,0.585,53.0,6.0,0.34,0.079,0.0,0.038,0.975,0.92,0.207,0.29,0.503,50.0,4.0,0.239,0.13,0.003,0.075,0.95,0.924,0.914,0.94,0.076,0.086,0.0600000000000001,0.923,0.244,0.251,0.506,41.0,5.0,0.268,0.151,0.004,0.068,0.962,0.075,0.585,0.34,0.417,0.16699999999999998,0.417,0.608,0.8079999999999999,0.731,0.8240000000000001,0.731,0.0,0.0,0.0,0.0,0.0,0.235,0.038,0.154,0.118,0.154,0.158,0.158,0.684,0.0,0.0,0.0,0.0,0.0,0.157,0.154,0.115,0.059,0.115,0.005714285714285714,0.004571428571428572,0.010285714285714285,0.052571428571428575,0.04914285714285714,0.10171428571428573,0.055999999999999994,0.04914285714285714,0.10514285714285716,0.0034285714285714284,0.001142857142857143,0.004571428571428572,0.1337142857142857,0.11428571428571427,0.248,0.0,0.0,0.0,0.016,0.010285714285714285,0.026285714285714287,0.35314285714285715,0.3988571428571429,0.752,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,010403
0.0,0,0,0,0,0,0,552.0,722.0,634.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,23.0,24.0,0.0,0.0,29.0,8517.96,0.631,0.212,0.07400000000000001,0.07400000000000001,0.009000000000000001,1155.92,1832.54,5529.5,71.0,62.0,70.0,84.9,68.0,62.0,65.0,83.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,961.0,0.0,0.51,0.0,0.15,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.957,0.54,9.42,0.0,0.0,1.27,0.944,1.09,24.71,0.02,0.0,1.24,0.951,0.83,14.64,0.06,0.01,1999.0,14.5499954223633,1999.0,14.24,43.0,1.05,1380.0,0.92,0.945,0.189,0.324,0.486,37.0,6.0,0.162,0.129,0.0,0.055,0.914,0.92,0.207,0.29,0.503,50.0,4.0,0.239,0.13,0.003,0.075,0.95,0.924,0.914,0.94,0.076,0.086,0.0600000000000001,0.923,0.244,0.251,0.506,41.0,5.0,0.268,0.151,0.004,0.068,0.962,0.189,0.486,0.324,0.417,0.16699999999999998,0.417,0.278,0.229,0.171,0.278,0.114,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.25,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.6940000000000001,0.7709999999999999,0.8290000000000001,0.722,0.8859999999999999,0.005454545454545455,0.00909090909090909,0.014545454545454544,0.09272727272727273,0.11636363636363635,0.20909090909090908,0.06545454545454546,0.07818181818181819,0.14363636363636365,0.003636363636363637,0.0018181818181818184,0.005454545454545455,0.19272727272727272,0.2290909090909091,0.4218181818181818,0.0,0.0,0.0,0.025454545454545452,0.02363636363636364,0.04909090909090909,0.26545454545454544,0.31272727272727274,0.5781818181818181,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,010406
0.0,0,0,0,0,0,0,601.0,543.0,634.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.0,22.0,0.0,0.0,27.0,8505.53,0.632,0.22,0.055,0.079,0.014,923.51,1518.55,6063.47,57.0,56.0,49.0,72.6,53.0,55.0,41.0,76.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1002.0,0.0,0.34,0.0,0.09,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977,0.83,14.81,0.0,0.0,1.53,0.963,0.65,13.46,0.0,0.0,1.08,0.951,0.83,14.64,0.06,0.01,2001.0,22.549987792968803,1997.0,19.64,53.0,1.13,463.0,1.2,1.0,0.22,0.244,0.537,41.0,5.0,0.39,0.22,0.0,0.0,0.969,1.0,0.23,0.17600000000000002,0.595,37.0,6.0,0.338,0.184,0.0,0.0,0.978,1.0,1.0,0.983,0.0,0.0,0.017,0.923,0.244,0.251,0.506,41.0,5.0,0.268,0.151,0.004,0.068,0.962,0.22,0.537,0.244,0.5,0.2,0.3,0.725,0.643,0.5,0.8,0.5710000000000001,0.05,0.14300000000000002,0.071,0.0,0.071,0.075,0.071,0.0,0.0,0.0,0.28600000000000003,0.19,0.524,0.0,0.0,0.0,0.0,0.0,0.15,0.14300000000000002,0.429,0.2,0.35700000000000004,0.008278145695364239,0.011589403973509934,0.019867549668874173,0.02152317880794702,0.024834437086092717,0.046357615894039736,0.06456953642384106,0.07947019867549669,0.14403973509933773,0.0016556291390728475,0.0016556291390728475,0.0033112582781456954,0.11423841059602648,0.1456953642384106,0.2599337748344371,0.0,0.0,0.0,0.018211920529801324,0.02814569536423841,0.046357615894039736,0.369205298013245,0.3708609271523179,0.7400662251655629,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,020306
0.0,0,0,0,0,0,0,484.0,543.0,634.0,0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,21.0,21.0,0.0,0.0,18.0,8505.53,0.632,0.22,0.055,0.079,0.014,923.51,1518.55,6063.47,67.0,65.0,55.0,89.7,61.0,62.0,46.0,89.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1002.0,0.0,0.34,0.0,0.09,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.971,0.41,11.78,0.0,0.0,1.17,0.963,0.65,13.46,0.0,0.0,1.08,0.951,0.83,14.64,0.06,0.0,1998.0,19.6399993896484,1997.0,19.64,52.0,1.13,463.0,1.2,1.0,0.242,0.091,0.667,33.0,7.0,0.273,0.14300000000000002,0.0,0.0,0.99,1.0,0.23,0.17600000000000002,0.595,37.0,6.0,0.338,0.184,0.0,0.0,0.978,1.0,1.0,0.983,0.0,0.0,0.017,0.923,0.244,0.251,0.506,41.0,5.0,0.268,0.151,0.004,0.068,0.962,0.242,0.667,0.091,0.5,0.2,0.3,0.8440000000000001,0.667,0.333,0.813,0.667,0.0,0.0,0.0,0.0,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.313,0.688,0.0,0.0,0.0,0.0,0.0,0.094,0.333,0.667,0.188,0.333,0.018711018711018712,0.014553014553014554,0.033264033264033266,0.002079002079002079,0.0062370062370062365,0.008316008316008316,0.018711018711018712,0.02494802494802495,0.04365904365904366,0.0,0.0,0.0,0.0498960498960499,0.058212058212058215,0.10810810810810813,0.0,0.0,0.0,0.010395010395010396,0.012474012474012476,0.02286902286902287,0.4511434511434512,0.4407484407484408,0.8918918918918919,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,020330
0.0,1,0,0,0,0,0,235.0,309.0,475.0,0,12.0,11.0,16.0,27.0,20.0,22.0,23.0,23.0,18.0,0.0,0.0,0.0,11936.48,0.611,0.2,0.087,0.092,0.01,1487.57,2467.21,7981.7,62.0,57.0,62.0,81.9,58.0,52.0,56.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,964.0,0.0,0.29,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.957,0.0,2.55,0.0,0.0,0.89,0.947,0.22,7.24,0.0,0.0,0.79,0.957,0.24,8.76,0.06,0.0,1997.0,74.989990234375,1999.0,42.08,21.0,0.91,111.0,0.93,0.955,0.273,0.273,0.455,22.0,4.0,0.409,0.244,0.045,0.0,0.98,0.964,0.226,0.28600000000000003,0.488,28.0,5.0,0.405,0.163,0.012,0.012,0.872,0.805,0.0,0.86,0.195,0.0,0.14,0.895,0.255,0.254,0.491,32.0,5.0,0.262,0.127,0.003,0.046,0.894,0.273,0.455,0.273,0.75,0.0,0.25,0.684,0.632,0.684,0.737,0.684,0.0,0.0,0.0,0.0,0.0,0.053,0.211,0.105,0.0,0.0,0.067,0.333,0.6,0.0,0.0,0.0,0.0,0.0,0.263,0.158,0.211,0.263,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.12916666666666668,0.16666666666666666,0.2958333333333333,0.0,0.0,0.0,0.14166666666666666,0.17083333333333334,0.3125,0.0,0.0,0.0,0.0125,0.0041666666666666675,0.016666666666666666,0.31666666666666665,0.37083333333333335,0.6875,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,030308
