unit_code,ACTCompositeScore_UNCMin_AIG,ACTEnglish_ACTBenchmark_AIG,ACTMath_ACTBenchmark_AIG,ACTReading_ACTBenchmark_AIG,ACTScience_ACTBenchmark_AIG,ACTSubtests_BenchmarksMet_AIG,ACTWorkKeys_SilverPlus_AIG,ACTWriting_ACTBenchmark_AIG,EOCBiology_CACR_AIG,EOCBiology_GLP_AIG,EOCEnglish2_CACR_AIG,EOCEnglish2_GLP_AIG,EOCMathI_CACR_AIG,EOCMathI_GLP_AIG,EOCSubjects_CACR_AIG,EOCSubjects_GLP_AIG,EOG/EOCSubjects_CACR_AIG,EOG/EOCSubjects_GLP_AIG,EOGGr3_CACR_AIG,EOGGr3_GLP_AIG,EOGGr4_CACR_AIG,EOGGr4_GLP_AIG,EOGGr5_CACR_AIG,EOGGr5_GLP_AIG,EOGGr6_CACR_AIG,EOGGr6_GLP_AIG,EOGGr7_CACR_AIG,EOGGr7_GLP_AIG,EOGGr8_CACR_AIG,EOGGr8_GLP_AIG,EOGMathGr3_CACR_AIG,EOGMathGr3_GLP_AIG,EOGMathGr3-8_CACR_AIG,EOGMathGr3-8_GLP_AIG,EOGMathGr4_CACR_AIG,EOGMathGr4_GLP_AIG,EOGMathGr5_CACR_AIG,EOGMathGr5_GLP_AIG,EOGMathGr6_CACR_AIG,EOGMathGr6_GLP_AIG,EOGMathGr7_CACR_AIG,EOGMathGr7_GLP_AIG,EOGMathGr8_CACR_AIG,EOGMathGr8_GLP_AIG,EOGReadingGr3_CACR_AIG,EOGReadingGr3_GLP_AIG,EOGReadingGr3-8_CACR_AIG,EOGReadingGr3-8_GLP_AIG,EOGReadingGr4_CACR_AIG,EOGReadingGr4_GLP_AIG,EOGReadingGr5_CACR_AIG,EOGReadingGr5_GLP_AIG,EOGReadingGr6_CACR_AIG,EOGReadingGr6_GLP_AIG,EOGReadingGr7_CACR_AIG,EOGReadingGr7_GLP_AIG,EOGReadingGr8_CACR_AIG,EOGReadingGr8_GLP_AIG,EOGScienceGr5_CACR_AIG,EOGScienceGr5_GLP_AIG,EOGScienceGr5&8_CACR_AIG,EOGScienceGr5&8_GLP_AIG,EOGScienceGr8_CACR_AIG,EOGScienceGr8_GLP_AIG,EOGSubjects_CACR_AIG,EOGSubjects_GLP_AIG,GraduationRate_4yr_AIG,GraduationRate_5yr_AIG
00A000,,,,,,,,,76.5,88.2,82.4,88.2,81.1,86.5,80.3,87.3,84.9,91.2,0.0,0.0,95.0,95.0,79.6,93.9,85.7,91.1,89.0,91.5,84.9,91.2,0.0,0.0,74.8,83.4,100.0,100.0,75.0,87.5,75.0,85.7,78.0,82.9,67.9,77.4,0.0,0.0,94.7,100.0,90.0,90.0,88.2,100.0,100.0,100.0,100.0,100.0,92.5,100.0,75.0,93.8,89.9,100.0,94.3,100.0,85.8,91.9,,
00B000,0.0,0.0,0.0,0.0,0.0,26.7,,0.0,0.0,0.0,0.0,0.0,78.6,78.6,81.0,85.7,73.5,83.1,0.0,0.0,0.0,0.0,90.0,90.0,50.0,62.5,90.0,100.0,66.7,83.3,0.0,0.0,52.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.7,91.7,0.0,0.0,71.0,82.3,,
010,100.0,80.8,72.8,68.9,54.2,65.4,100.0,50.3,89.2,94.0,92.7,100.0,94.6,100.0,92.7,100.0,94.3,100.0,100.0,100.0,94.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.2,94.9,100.0,100.0,93.1,100.0,93.1,100.0,90.2,100.0,100.0,100.0,100.0,100.0,89.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0
010303,0.0,0.0,0.0,0.0,0.0,73.3,,0.0,91.4,94.3,91.2,100.0,100.0,100.0,94.2,100.0,94.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
010304,,,,,,,,,,,,,,,,,94.8,100.0,0.0,0.0,100.0,100.0,94.4,100.0,,,,,,,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,0.0,0.0,88.9,100.0,90.9,100.0,87.5,100.0,,,,,,,100.0,100.0,100.0,100.0,,,94.8,100.0,,
010308,,,,,,,,,,,,,,,,,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,,,,,,,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,100.0,100.0,100.0,100.0,,,100.0,100.0,,
010310,,,,,,,,,,,,,100.0,100.0,100.0,100.0,92.5,100.0,,,,,,,90.9,100.0,84.6,92.3,94.4,100.0,,,88.1,100.0,,,,,100.0,100.0,76.9,84.6,88.9,100.0,,,90.5,100.0,,,,,81.8,100.0,92.3,100.0,94.4,100.0,,,100.0,100.0,100.0,100.0,91.2,100.0,,
010312,,,,,,,,,,,,,,,,,100.0,100.0,0.0,0.0,93.2,100.0,100.0,100.0,,,,,,,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,0.0,0.0,91.8,100.0,90.9,100.0,92.0,100.0,,,,,,,100.0,100.0,100.0,100.0,,,100.0,100.0,,
010320,,,,,,,,,,,,,,,,,88.3,93.5,100.0,100.0,100.0,100.0,80.0,88.9,,,,,,,0.0,0.0,93.5,93.5,0.0,0.0,86.7,86.7,,,,,,,0.0,0.0,87.1,100.0,0.0,0.0,73.3,93.3,,,,,,,80.0,86.7,80.0,86.7,,,88.3,93.5,,
010324,100.0,80.0,76.9,69.2,60.0,70.8,100.0,67.7,91.7,100.0,93.3,100.0,92.1,100.0,92.3,100.0,92.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0
