unit_code,ACTCompositeScore_UNCMin_SWD,ACTEnglish_ACTBenchmark_SWD,ACTMath_ACTBenchmark_SWD,ACTReading_ACTBenchmark_SWD,ACTScience_ACTBenchmark_SWD,ACTSubtests_BenchmarksMet_SWD,ACTWorkKeys_SilverPlus_SWD,ACTWriting_ACTBenchmark_SWD,EOCBiology_CACR_SWD,EOCBiology_GLP_SWD,EOCEnglish2_CACR_SWD,EOCEnglish2_GLP_SWD,EOCMathI_CACR_SWD,EOCMathI_GLP_SWD,EOCSubjects_CACR_SWD,EOCSubjects_GLP_SWD,EOG/EOCSubjects_CACR_SWD,EOG/EOCSubjects_GLP_SWD,EOGGr3_CACR_SWD,EOGGr3_GLP_SWD,EOGGr4_CACR_SWD,EOGGr4_GLP_SWD,EOGGr5_CACR_SWD,EOGGr5_GLP_SWD,EOGGr6_CACR_SWD,EOGGr6_GLP_SWD,EOGGr7_CACR_SWD,EOGGr7_GLP_SWD,EOGGr8_CACR_SWD,EOGGr8_GLP_SWD,EOGMathGr3_CACR_SWD,EOGMathGr3_GLP_SWD,EOGMathGr3-8_CACR_SWD,EOGMathGr3-8_GLP_SWD,EOGMathGr4_CACR_SWD,EOGMathGr4_GLP_SWD,EOGMathGr5_CACR_SWD,EOGMathGr5_GLP_SWD,EOGMathGr6_CACR_SWD,EOGMathGr6_GLP_SWD,EOGMathGr7_CACR_SWD,EOGMathGr7_GLP_SWD,EOGMathGr8_CACR_SWD,EOGMathGr8_GLP_SWD,EOGReadingGr3_CACR_SWD,EOGReadingGr3_GLP_SWD,EOGReadingGr3-8_CACR_SWD,EOGReadingGr3-8_GLP_SWD,EOGReadingGr4_CACR_SWD,EOGReadingGr4_GLP_SWD,EOGReadingGr5_CACR_SWD,EOGReadingGr5_GLP_SWD,EOGReadingGr6_CACR_SWD,EOGReadingGr6_GLP_SWD,EOGReadingGr7_CACR_SWD,EOGReadingGr7_GLP_SWD,EOGReadingGr8_CACR_SWD,EOGReadingGr8_GLP_SWD,EOGScienceGr5_CACR_SWD,EOGScienceGr5_GLP_SWD,EOGScienceGr5&8_CACR_SWD,EOGScienceGr5&8_GLP_SWD,EOGScienceGr8_CACR_SWD,EOGScienceGr8_GLP_SWD,EOGSubjects_CACR_SWD,EOGSubjects_GLP_SWD,GraduationRate_4yr_SWD,GraduationRate_5yr_SWD
00A000,,,,,,,,,0.0,0.0,16.7,22.2,7.4,18.5,9.3,16.7,15.0,19.6,0.0,0.0,7.7,15.4,24.1,27.6,18.8,18.8,16.7,20.4,18.3,23.9,0.0,0.0,7.4,11.6,7.7,15.4,0.0,0.0,12.5,12.5,7.4,14.8,0.0,8.7,0.0,0.0,19.6,23.7,7.7,15.4,20.0,30.0,25.0,25.0,25.9,25.9,20.8,29.2,40.0,40.0,32.4,35.3,29.2,33.3,16.4,20.4,,
00B000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,14.7,14.7,18.2,20.5,12.9,19.1,5.0,15.0,11.8,26.5,5.6,8.3,7.9,10.5,18.4,26.3,16.2,22.1,0.0,10.0,5.0,11.0,5.9,17.6,0.0,0.0,5.3,5.3,10.5,15.8,0.0,13.0,10.0,20.0,13.1,22.2,17.6,35.3,0.0,8.3,10.5,15.8,26.3,36.8,9.1,13.6,16.7,16.7,28.6,31.4,34.8,39.1,12.0,18.8,,
010,8.5,0.0,0.0,0.0,0.0,0.0,31.1,0.0,17.1,20.7,5.4,12.4,6.7,13.9,9.9,15.8,10.9,15.8,15.5,20.5,12.3,17.4,15.0,20.9,9.6,13.7,5.2,8.2,8.7,12.8,16.5,22.0,10.0,14.4,13.3,17.9,11.5,17.2,11.5,17.0,0.0,6.5,0.0,6.5,14.5,19.0,9.8,13.9,11.3,16.9,12.0,18.2,7.7,10.4,7.5,10.0,6.0,8.8,21.5,27.3,18.5,25.4,15.5,23.5,11.2,15.8,62.0,65.2
010303,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
010304,,,,,,,,,,,,,,,,,6.6,11.5,8.3,8.3,9.1,18.2,0.0,7.4,,,,,,,0.0,0.0,0.0,11.5,9.1,18.2,0.0,0.0,,,,,,,0.0,0.0,7.7,11.5,9.1,18.2,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,6.6,11.5,,
010308,,,,,,,,,,,,,,,,,11.8,18.3,0.0,0.0,10.7,14.3,20.5,33.3,,,,,,,0.0,0.0,10.0,17.5,14.3,21.4,15.4,30.8,,,,,,,0.0,0.0,7.5,12.5,7.1,7.1,15.4,30.8,,,,,,,30.8,38.5,30.8,38.5,,,11.8,18.3,,
010310,,,,,,,,,,,,,0.0,0.0,0.0,0.0,7.1,11.0,,,,,,,0.0,5.3,0.0,0.0,15.0,20.6,,,5.4,8.1,,,,,0.0,5.3,0.0,0.0,13.5,16.2,,,0.0,7.3,,,,,0.0,5.3,0.0,0.0,8.3,13.9,,,23.5,32.4,23.5,32.4,7.1,11.0,,
010312,,,,,,,,,,,,,,,,,25.8,29.0,36.7,40.0,10.0,13.3,30.3,33.3,,,,,,,40.0,40.0,24.4,24.4,13.3,13.3,18.2,18.2,,,,,,,33.3,40.0,22.0,29.3,6.7,13.3,27.3,36.4,,,,,,,45.5,45.5,45.5,45.5,,,25.8,29.0,,
010320,,,,,,,,,,,,,,,,,16.7,28.6,30.0,40.0,0.0,0.0,16.7,33.3,,,,,,,0.0,0.0,11.8,23.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,17.6,23.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,16.7,28.6,,
010324,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,20.0,0.0,20.0,13.5,21.6,12.1,20.6,12.1,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.8,70.0
