title1_type_cd,clp_ind,focus_clp_ind,summer_program_ind,asm_no_spg_ind,no_data_spg_ind,student_num,lea_avg_student_num,Grad_project_status,00_Size,01_Size,02_Size,03_Size,04_Size,05_Size,lea_total_expense_num,lea_salary_expense_pct,lea_services_expense_pct,lea_supplies_expense_pct,lea_instruct_equip_exp_pct,lea_federal_perpupil_num,lea_local_perpupil_num,lea_state_perpupil_num,SPG Score,Reading SPG Score,Math SPG Score,EVAAS Growth Score,Overall Achievement Score,Reading Score,Math Score,Science Score,MathGr3-8_pTarget_PctMet,ReadingGr3-8_pTarget_PctMet,SciGr5&8_pTarget_PctMet,TotalTargets_pTarget_PctMet,lea_sat_avg_score_num,lea_sat_participation_pct,lea_ap_participation_pct,lea_ap_pct_3_or_above,avg_daily_attend_pct,crime_per_c_num,short_susp_per_c_num,long_susp_per_c_num,expelled_per_c_num,stud_internet_comp_num,lea_avg_daily_attend_pct,lea_crime_per_c_num,lea_short_susp_per_c_num,lea_long_susp_per_c_num,lea_expelled_per_c_num,lea_stud_internet_comp_num,digital_media_pct,avg_age_media_collection,books_per_student,lea_avg_age_media_collection,lea_books_per_student,wap_num,wap_per_classroom,lea_wap_num,lea_wap_per_classroom,flicensed_teach_pct,tchyrs_0thru3_pct,tchyrs_4thru10_pct,tchyrs_11plus_pct,class_teach_num,nbpts_num,advance_dgr_pct,_1yr_tchr_trnovr_pct,lea_flicensed_teach_pct,lea_tchyrs_0thru3_pct,lea_tchyrs_4thru10_pct,lea_tchyrs_11plus_pct,lea_class_teach_num,lea_nbpts_num,lea_advance_dgr_pct,lea_1yr_tchr_trnovr_pct,lea_emer_prov_teach_pct,lea_lateral_teach_pct,0-3 Years_Exp_Pct_Tch,10+ Years_Exp_Pct_Tch,4-10 Years_Exp_Pct_Tch,0-3 Years_LEA_Exp_Pct_Prin,10+ Years_LEA_Exp_Pct_Prin,4-10 Years_LEA_Exp_Pct_Prin,Accomplished_TCHR_Standard 1_Pct,Accomplished_TCHR_Standard 2_Pct,Accomplished_TCHR_Standard 3_Pct,Accomplished_TCHR_Standard 4_Pct,Accomplished_TCHR_Standard 5_Pct,Developing_TCHR_Standard 1_Pct,Developing_TCHR_Standard 2_Pct,Developing_TCHR_Standard 3_Pct,Developing_TCHR_Standard 4_Pct,Developing_TCHR_Standard 5_Pct,Distinguished_TCHR_Standard 1_Pct,Distinguished_TCHR_Standard 2_Pct,Distinguished_TCHR_Standard 3_Pct,Distinguished_TCHR_Standard 4_Pct,Distinguished_TCHR_Standard 5_Pct,Does Not Meet Expected Growth_TCHR_Student Growth_Pct,Exceeds Expected Growth_TCHR_Student Growth_Pct,Meets Expected Growth_TCHR_Student Growth_Pct,Not Demostrated_TCHR_Standard 1_Pct,Not Demostrated_TCHR_Standard 2_Pct,Not Demostrated_TCHR_Standard 3_Pct,Not Demostrated_TCHR_Standard 4_Pct,Not Demostrated_TCHR_Standard 5_Pct,Proficient_TCHR_Standard 1_Pct,Proficient_TCHR_Standard 2_Pct,Proficient_TCHR_Standard 3_Pct,Proficient_TCHR_Standard 4_Pct,Proficient_TCHR_Standard 5_Pct,AsianFemalePct,AsianMalePct,AsianPct,BlackFemalePct,BlackMalePct,BlackPct,HispanicFemalePct,HispanicMalePct,HispanicPct,IndianFemalePct,IndianMalePct,IndianPct,MinorityFemalePct,MinorityMalePct,MinorityPct,PacificIslandFemalePct,PacificIslandMalePct,PacificIslandPct,TwoOrMoreFemalePct,TwoOrMoreMalePct,TwoOrMorePct,WhiteFemalePct,WhiteMalePct,WhitePct,pct_eds,LPS_14,LPS_15,LPS_16,LPS_17,RLPS,category_cd_E,category_cd_I,"calendar_type_txt_Regular School, Year-Round Calendar",sna_pgm_type_cd_Y,calendar_only_txt_Year-Round Calendar,esea_status_Esea_Pass,esea_status_Non_Esea,SBE District_Northeast,SBE District_Northwest,SBE District_Piedmont-Triad,SBE District_Sandhills,SBE District_Southeast,SBE District_Southwest,SBE District_Western,SPG Grade_A+NG,SPG Grade_B,SPG Grade_C,SPG Grade_D,SPG Grade_F,SPG Grade_I,Reading SPG Grade_B,Reading SPG Grade_C,Reading SPG Grade_D,Reading SPG Grade_F,Math SPG Grade_B,Math SPG Grade_C,Math SPG Grade_D,Math SPG Grade_F,EVAAS Growth Status_Met,EVAAS Growth Status_NotMet,State Gap Compared_Y,Category_Cd_E,Category_Cd_I,Byod_Yes,_1_to_1_access_Yes,SRC_devices_sent_home_Yes,SRC_Grades_Devices_Sent_Home_3,SRC_Grades_Devices_Sent_Home_3:04:05,SRC_Grades_Devices_Sent_Home_4:05,SRC_Grades_Devices_Sent_Home_4:05:06,SRC_Grades_Devices_Sent_Home_5,SRC_Grades_Devices_Sent_Home_6:07:08,SRC_Grades_Devices_Sent_Home_6:7:8:9:10:11:12,SRC_Grades_Devices_Sent_Home_7,SRC_Grades_Devices_Sent_Home_8,SRC_Grades_Devices_Sent_Home_9:10:11:12,SRC_Grades_Devices_Sent_Home_K:1:2:3:4:5,SRC_Grades_Devices_Sent_Home_K:1:2:3:4:5:6:7:8,SRC_Grades_Devices_Sent_Home_PK,unit_code
0,0,0,0,0,0,575.0,528.0,0,21.0,19.0,19.0,22.0,24.0,28.0,8588.32,0.84,0.078,0.071,0.011,1013.9,1826.43,5747.99,68.0,63.0,72.0,88.1,63.0,58.0,67.0,66.0,1.0,1.0,1.0,1.0,1041.0,0.494,0.16,0.35,0.953,0.17,2.43,0.0,0.0,1.53,0.938,0.43,7.5,0.0,0.0,1.12,0.01,2002.0,15.27,2000.0,14.19,49.0,1.29,2129.0,1.41,0.972,0.194,0.25,0.556,36.0,6.0,0.194,0.028,0.976,0.251,0.26,0.489,37.0,4.0,0.236,0.131,0.0,0.022,0.194,0.556,0.25,0.333,0.139,0.528,0.75,0.773,0.636,0.75,0.682,0.025,0.045,0.0,0.0,0.0,0.125,0.045,0.045,0.125,0.045,0.154,0.269,0.5770000000000001,0.0,0.0,0.0,0.0,0.0,0.1,0.136,0.318,0.125,0.273,0.005244755244755245,0.006993006993006993,0.012237762237762238,0.04895104895104895,0.0472027972027972,0.09615384615384616,0.11363636363636365,0.12062937062937062,0.2342657342657343,0.0,0.0,0.0,0.1993006993006993,0.19230769230769232,0.3916083916083916,0.0,0.0,0.0,0.03146853146853147,0.017482517482517484,0.04895104895104895,0.2744755244755245,0.3339160839160839,0.6083916083916084,0.483,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,010304
0,0,0,0,0,0,611.0,528.0,0,19.0,20.0,20.0,19.0,27.0,26.0,8588.32,0.84,0.078,0.071,0.011,1013.9,1826.43,5747.99,63.0,55.0,68.0,86.6,58.0,51.0,61.0,69.0,1.0,1.0,1.0,1.0,1041.0,0.494,0.16,0.35,0.948,0.0,3.44,0.0,0.0,1.2,0.938,0.43,7.5,0.0,0.0,1.12,0.0,2000.0,20.69,2000.0,14.19,46.0,1.12,2129.0,1.41,1.0,0.171,0.14300000000000002,0.6859999999999999,35.0,9.0,0.457,0.03,0.976,0.251,0.26,0.489,37.0,4.0,0.236,0.131,0.0,0.022,0.171,0.6859999999999999,0.14300000000000002,0.333,0.139,0.528,0.525,0.607,0.607,0.7,0.464,0.0,0.0,0.0,0.0,0.0,0.2,0.107,0.107,0.075,0.25,0.14300000000000002,0.14300000000000002,0.7140000000000001,0.0,0.0,0.0,0.0,0.0,0.275,0.28600000000000003,0.28600000000000003,0.225,0.28600000000000003,0.0,0.0,0.0,0.04269293924466338,0.045977011494252866,0.08866995073891626,0.09359605911330048,0.059113300492610835,0.15270935960591134,0.0016420361247947454,0.0016420361247947454,0.003284072249589491,0.15763546798029554,0.12479474548440064,0.2824302134646962,0.0016420361247947454,0.0,0.0016420361247947454,0.0180623973727422,0.0180623973727422,0.0361247947454844,0.33825944170771755,0.3793103448275862,0.7175697865353038,0.48,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,010308
0,0,0,0,0,0,701.0,528.0,0,20.0,20.0,21.0,22.0,24.0,23.0,8588.32,0.84,0.078,0.071,0.011,1013.9,1826.43,5747.99,63.0,61.0,65.0,57.4,64.0,63.0,62.0,74.0,1.0,1.0,1.0,1.0,1041.0,0.494,0.16,0.35,0.946,0.14,4.56,0.0,0.0,1.7,0.938,0.43,7.5,0.0,0.0,1.12,0.0,2007.0,13.34,2000.0,14.19,49.0,1.14,2129.0,1.41,1.0,0.244,0.289,0.467,45.0,4.0,0.289,0.08900000000000001,0.976,0.251,0.26,0.489,37.0,4.0,0.236,0.131,0.0,0.022,0.244,0.467,0.289,0.333,0.139,0.528,0.6890000000000001,0.7,0.5670000000000001,0.6890000000000001,0.5329999999999999,0.022,0.033,0.067,0.022,0.067,0.17800000000000002,0.067,0.033,0.133,0.133,0.161,0.0,0.8390000000000001,0.0,0.0,0.0,0.0,0.0,0.111,0.2,0.333,0.156,0.267,0.03039073806078148,0.03039073806078148,0.06078147612156296,0.09985528219971056,0.09117221418234443,0.191027496382055,0.07091172214182344,0.0593342981186686,0.13024602026049206,0.0,0.0028943560057887122,0.0028943560057887122,0.2170767004341534,0.20549927641099852,0.422575976845152,0.0,0.0,0.0,0.015918958031837915,0.02170767004341534,0.037626628075253264,0.2995658465991317,0.2778581765557164,0.5774240231548481,0.386,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,010312
0,0,0,0,0,0,340.0,528.0,0,21.0,18.0,21.0,16.0,22.0,18.0,8588.32,0.84,0.078,0.071,0.011,1013.9,1826.43,5747.99,72.0,72.0,71.0,81.7,69.0,69.0,69.0,70.0,1.0,1.0,1.0,1.0,1041.0,0.494,0.16,0.35,0.944,0.29,11.18,0.0,0.0,1.02,0.938,0.43,7.5,0.0,0.0,1.12,0.01,1999.0,22.74,2000.0,14.19,34.0,1.26,2129.0,1.41,0.964,0.276,0.207,0.517,28.0,6.0,0.345,0.111,0.976,0.251,0.26,0.489,37.0,4.0,0.236,0.131,0.0,0.022,0.276,0.517,0.207,0.333,0.139,0.528,0.406,0.435,0.391,0.531,0.304,0.0,0.043,0.0,0.0,0.0,0.25,0.217,0.13,0.156,0.217,0.188,0.125,0.688,0.0,0.0,0.0,0.0,0.0,0.344,0.304,0.478,0.313,0.478,0.011764705882352941,0.0029411764705882357,0.014705882352941175,0.09117647058823528,0.1176470588235294,0.2088235294117647,0.04411764705882353,0.07058823529411765,0.11470588235294114,0.0,0.0029411764705882357,0.0029411764705882357,0.1676470588235294,0.21176470588235294,0.3794117647058824,0.0,0.0,0.0,0.020588235294117647,0.017647058823529408,0.03823529411764706,0.2911764705882353,0.32941176470588235,0.6205882352941177,0.495,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,010320
1,0,0,0,0,0,538.0,528.0,0,16.0,19.0,21.0,21.0,22.0,24.0,8588.32,0.84,0.078,0.071,0.011,1013.9,1826.43,5747.99,47.0,43.0,52.0,77.1,40.0,33.0,46.0,41.0,1.0,1.0,1.0,1.0,1041.0,0.494,0.16,0.35,0.939,1.3,17.66,0.0,0.0,0.76,0.938,0.43,7.5,0.0,0.0,1.12,0.0,1998.0,14.98,2000.0,14.19,50.0,1.35,2129.0,1.41,0.977,0.512,0.256,0.233,43.0,1.0,0.209,0.18600000000000005,0.976,0.251,0.26,0.489,37.0,4.0,0.236,0.131,0.0,0.022,0.512,0.233,0.256,0.333,0.139,0.528,0.438,0.61,0.439,0.521,0.415,0.0,0.0,0.0,0.021,0.0,0.229,0.122,0.146,0.188,0.146,0.038,0.115,0.846,0.0,0.0,0.0,0.0,0.0,0.333,0.268,0.415,0.271,0.439,0.0,0.0,0.0,0.1485148514851485,0.20198019801980202,0.3504950495049505,0.2435643564356436,0.27920792079207923,0.5227722772277228,0.0019801980198019802,0.0,0.0019801980198019802,0.4178217821782178,0.4950495049504951,0.9128712871287128,0.0019801980198019802,0.0019801980198019802,0.0039603960396039604,0.02178217821782178,0.01188118811881188,0.033663366336633666,0.04158415841584159,0.045544554455445536,0.08712871287128712,0.703,1,1,0,1,3,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,010326
0,0,0,0,0,0,555.0,528.0,0,20.0,18.0,21.0,22.0,27.0,21.0,8588.32,0.84,0.078,0.071,0.011,1013.9,1826.43,5747.99,71.0,69.0,71.0,74.5,71.0,67.0,70.0,84.0,1.0,1.0,1.0,1.0,1041.0,0.494,0.16,0.35,0.955,0.54,0.9,0.0,0.0,1.51,0.938,0.43,7.5,0.0,0.0,1.12,0.01,2000.0,21.85,2000.0,14.19,58.0,1.38,2129.0,1.41,1.0,0.139,0.278,0.583,36.0,7.0,0.306,0.125,0.976,0.251,0.26,0.489,37.0,4.0,0.236,0.131,0.0,0.022,0.139,0.583,0.278,0.333,0.139,0.528,0.6,0.524,0.14300000000000002,0.625,0.28600000000000003,0.0,0.0,0.0,0.0,0.0,0.025,0.095,0.095,0.0,0.048,0.115,0.231,0.654,0.0,0.0,0.0,0.0,0.0,0.375,0.381,0.762,0.375,0.667,0.0018050541516245488,0.0018050541516245488,0.0036101083032490976,0.016245487364620937,0.021660649819494584,0.03790613718411552,0.02527075812274368,0.034296028880866435,0.059566787003610115,0.005415162454873646,0.0018050541516245488,0.007220216606498195,0.06137184115523465,0.07220216606498195,0.13357400722021662,0.0,0.0,0.0,0.01263537906137184,0.01263537906137184,0.02527075812274368,0.3989169675090253,0.4675090252707581,0.8664259927797834,0.304,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,010328
0,0,0,0,0,0,723.0,528.0,0,22.0,19.0,19.0,21.0,25.0,22.0,8588.32,0.84,0.078,0.071,0.011,1013.9,1826.43,5747.99,61.0,59.0,59.0,70.7,58.0,58.0,53.0,73.0,1.0,1.0,1.0,1.0,1041.0,0.494,0.16,0.35,0.953,0.14,2.9,0.0,0.0,2.15,0.938,0.43,7.5,0.0,0.0,1.12,0.0,2000.0,16.84,2000.0,14.19,48.0,1.17,2129.0,1.41,0.977,0.205,0.295,0.5,44.0,5.0,0.341,0.094,0.976,0.251,0.26,0.489,37.0,4.0,0.236,0.131,0.0,0.022,0.205,0.5,0.295,0.333,0.139,0.528,0.682,0.7859999999999999,0.7140000000000001,0.795,0.679,0.0,0.0,0.0,0.0,0.0,0.227,0.071,0.071,0.045,0.036000000000000004,0.273,0.121,0.606,0.0,0.0,0.0,0.0,0.0,0.091,0.14300000000000002,0.214,0.159,0.28600000000000003,0.00684931506849315,0.010958904109589041,0.01780821917808219,0.06164383561643835,0.07123287671232878,0.13287671232876713,0.10410958904109588,0.10547945205479453,0.2095890410958904,0.0013698630136986301,0.0027397260273972607,0.00410958904109589,0.19452054794520549,0.2095890410958904,0.4041095890410959,0.0,0.0,0.0,0.02054794520547945,0.019178082191780826,0.039726027397260284,0.3232876712328767,0.2726027397260274,0.5958904109589042,0.479,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,010340
1,0,0,0,0,0,382.0,528.0,0,23.0,17.0,17.0,16.0,20.0,18.0,8588.32,0.84,0.078,0.071,0.011,1013.9,1826.43,5747.99,55.0,57.0,56.0,63.8,53.0,54.0,52.0,54.0,1.0,1.0,1.0,1.0,1041.0,0.494,0.16,0.35,0.948,0.0,1.83,0.0,0.0,0.83,0.938,0.43,7.5,0.0,0.0,1.12,0.0,2001.0,15.27,2000.0,14.19,49.0,1.48,2129.0,1.41,0.965,0.207,0.379,0.414,29.0,1.0,0.172,0.0,0.976,0.251,0.26,0.489,37.0,4.0,0.236,0.131,0.0,0.022,0.207,0.414,0.379,0.333,0.139,0.528,0.625,0.7,0.4,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.2,0.05,0.75,0.0,0.0,0.0,0.0,0.0,0.344,0.3,0.6,0.5,0.4,0.0026109660574412533,0.0,0.0026109660574412533,0.033942558746736295,0.046997389033942565,0.08093994778067885,0.10182767624020887,0.13054830287206268,0.23237597911227156,0.0,0.0,0.0,0.15404699738903396,0.19843342036553524,0.3524804177545692,0.0,0.0,0.0,0.015665796344647518,0.020887728459530026,0.03655352480417755,0.3394255874673629,0.3080939947780679,0.6475195822454308,0.616,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,010346
1,0,0,0,0,0,699.0,528.0,0,19.0,20.0,22.0,19.0,22.0,21.0,8588.32,0.84,0.078,0.071,0.011,1013.9,1826.43,5747.99,57.0,52.0,60.0,71.8,53.0,50.0,54.0,59.0,1.0,1.0,1.0,1.0,1041.0,0.494,0.16,0.35,0.941,1.0,12.3,0.0,0.0,1.12,0.938,0.43,7.5,0.0,0.0,1.12,0.08,1998.0,18.2,2000.0,14.19,58.0,1.23,2129.0,1.41,0.956,0.174,0.28300000000000003,0.5429999999999999,45.0,7.0,0.152,0.113,0.976,0.251,0.26,0.489,37.0,4.0,0.236,0.131,0.0,0.022,0.174,0.5429999999999999,0.28300000000000003,0.333,0.139,0.528,0.44,0.387,0.355,0.56,0.258,0.02,0.032,0.032,0.02,0.032,0.1,0.129,0.0,0.04,0.032,0.207,0.172,0.621,0.0,0.0,0.0,0.0,0.0,0.44,0.452,0.613,0.38,0.677,0.004310344827586207,0.010057471264367816,0.014367816091954025,0.08189655172413793,0.06321839080459771,0.14511494252873566,0.1278735632183908,0.11637931034482757,0.2442528735632184,0.0014367816091954025,0.005747126436781609,0.0071839080459770105,0.24281609195402296,0.21982758620689652,0.4626436781609196,0.0,0.0,0.0,0.027298850574712645,0.02442528735632184,0.05172413793103448,0.2744252873563218,0.2629310344827586,0.5373563218390804,0.593,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,010347
1,0,0,0,0,0,476.0,528.0,0,21.0,19.0,18.0,19.0,18.0,19.0,8588.32,0.84,0.078,0.071,0.011,1013.9,1826.43,5747.99,55.0,49.0,55.0,91.4,46.0,40.0,46.0,61.0,1.0,1.0,1.0,1.0,1041.0,0.494,0.16,0.35,0.943,0.42,9.87,0.0,0.0,0.83,0.938,0.43,7.5,0.0,0.0,1.12,0.0,2000.0,16.8,2000.0,14.19,41.0,1.21,2129.0,1.41,0.973,0.108,0.378,0.514,37.0,2.0,0.135,0.189,0.976,0.251,0.26,0.489,37.0,4.0,0.236,0.131,0.0,0.022,0.108,0.514,0.378,0.333,0.139,0.528,0.55,0.593,0.37,0.525,0.407,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.025,0.0,0.28,0.12,0.6,0.0,0.0,0.0,0.0,0.0,0.425,0.407,0.63,0.45,0.593,0.002079002079002079,0.008316008316008316,0.010395010395010396,0.17463617463617465,0.21621621621621626,0.3908523908523909,0.15592515592515593,0.14137214137214138,0.2972972972972973,0.0,0.002079002079002079,0.002079002079002079,0.36174636174636177,0.4074844074844075,0.7692307692307693,0.0,0.0,0.0,0.029106029106029108,0.0395010395010395,0.06860706860706861,0.0997920997920998,0.13097713097713098,0.2307692307692308,0.625,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,010351
